V001 0.407 AndII -V080 0.370
V002 0.546 AndII -V071 0.543
V003 0.520 AndII -V098 0.516
V004 0.540 AndII -V064 0.692
V005 0.583 AndII -V081 0.580
V006 0.590 AndII -V094 0.521
V007 0.481 AndII -V091 0.533
V008 0.552 AndII -V103 0.619
V009 0.547 AndII -V063 0.619
V010 0.605 AndII -V112 0.600
V011 0.778 AndII -V060 0.689
V012 0.514 AndII -V086 0.515
V013 0.544 AndII -V068 0.547
V014 0.578 AndII -V083 0.881
V015 0.470 AndII -V069 0.577
V016 0.346                   not variable
V017 0.575 AndII -V119 0.574
V018 0.700 AndII -V131 0.690
V019 0.489 AndII -V120 0.534
V020 0.508 AndII -V123 0.574
V021 0.456 AndII -V130 0.563
V022 0.398 AndII -V155 0.344
V023 0.540 AndII -V143 0.371
V024 0.697 AndII -V146 0.616
V025 0.519 AndII -V166 0.525
V026 0.696 AndII -V150 0.379
V027 0.509 AndII -V151 0.630
V028 0.549 AndII -V163 0.356
V029 0.385 AndII -V178 0.389
V030 0.545 AndII -V147 0.612
V031 0.505 AndII -V168 0.637
V032 0.651 AndII -V167 0.656
V033 0.517 AndII -V188 0.584
V034 0.449 AndII -V186 0.549
V035 0.483 AndII -V185 0.603
V036 0.538 AndII -V177 0.546
V037 0.751                   not variable
V038 0.695 AndII -V198 0.609
V039 0.509 AndII -V182 0.526
V040 0.665 AndII -V212 0.582
V041 0.566 AndII -V190 0.651
V042 0.341 AndII -V205 0.571
V043 0.490                   it falls into ACS gap
V044 0.572 AndII -V152 0.546
V045 0.797 AndII -V192 0.645
V046 0.620 AndII -V148 0.548
V047 0.763 AndII -V171 0.667
V048 0.736 AndII -V106 0.643
V049 0.544 AndII -V127 0.347
V050 0.575 AndII -V122 0.373
V051 0.673 AndII -V179 0.669
V052 0.472 AndII -V136 0.584
V053 0.316 AndII -V111 0.361
V054 0.454 AndII -V144 0.554
V055 0.595 AndII -V126 0.587
V056 0.604 AndII -V138 0.601
V057 0.496 AndII -V169 0.496
V058 0.282 AndII -V157 0.300
V059 0.557 AndII -V125 0.630
V060 0.560 AndII -V142 0.559
V061 0.442 AndII -V116 0.545
V062 0.466 AndII -V162 0.520
V063 0.502 AndII -V133 0.559
V064 0.530 AndII -V164 0.529
V065 0.686 AndII -V161 0.602
V066 0.467 AndII -V128 0.521
V067 0.466 AndII -V137 0.518
V068 0.736 AndII -V093 0.565
V069 0.430 AndII -V102 0.431
V070 0.707                   not variable
V071 0.474 AndII -V153 0.580
V072 0.469 AndII -V087 0.592
V073 0.698 AndII -V118 0.538
