Galaxy,Star,Period (Days)
AndI,V001,0.569
AndI,V002,0.5670000000000001
AndI,V003,0.29600000000000004
AndI,V004,0.598
AndI,V005,0.585
AndI,V006,0.349
AndI,V007,0.35200000000000004
AndI,V008,0.7909999999999999
AndI,V009,0.353
AndI,V010,0.581
AndI,V011,0.479
AndI,V012,0.623
AndI,V013,0.515
AndI,V014,0.359
AndI,V015,0.703
AndI,V016,0.644
AndI,V017,0.64
AndI,V018,0.301
AndI,V019,0.564
AndI,V020,0.574
AndI,V021,0.532
AndI,V022,0.638
AndI,V023,0.614
AndI,V024,0.568
AndI,V025,0.639
AndI,V026,0.326
AndI,V027,0.5329999999999999
AndI,V028,0.35700000000000004
AndI,V029,0.524
AndI,V030,0.596
AndI,V031,0.574
AndI,V032,0.5710000000000001
AndI,V033,0.59
AndI,V034,0.35200000000000004
AndI,V035,0.596
AndI,V036,0.5710000000000001
AndI,V037,0.55
AndI,V038,0.537
AndI,V039,0.622
AndI,V040,0.505
AndI,V041,0.578
AndI,V042,0.534
AndI,V043,0.5710000000000001
AndI,V044,0.532
AndI,V045,0.429
AndI,V046,0.504
AndI,V047,0.8029999999999999
AndI,V048,0.635
AndI,V049,0.55
AndI,V050,0.337
AndI,V051,0.672
AndI,V052,0.561
AndI,V053,0.616
AndI,V054,0.33399999999999996
AndI,V055,0.596
AndI,V056,0.56
AndI,V057,0.6920000000000001
AndI,V058,0.36
AndI,V059,0.595
AndI,V060,0.578
AndI,V061,0.332
AndI,V062,0.654
AndI,V063,0.6579999999999999
AndI,V064,0.662
AndI,V065,0.675
AndI,V066,0.669
AndI,V067,0.568
AndI,V068,0.59
AndI,V069,0.5820000000000001
AndI,V070,0.645
AndI,V071,0.29600000000000004
AndI,V072,0.5479999999999999
AndI,V073,0.575
AndI,V074,0.62
AndI,V075,0.563
AndI,V076,0.71
AndI,V077,0.48100000000000004
AndI,V078,0.614
AndI,V079,0.524
AndI,V080,0.5920000000000001
AndI,V081,0.642
AndI,V082,0.36200000000000004
AndI,V083,0.616
AndI,V084,0.366
AndI,V085,0.35600000000000004
AndI,V086,0.546
AndI,V087,0.568
AndI,V088,0.755
AndI,V089,0.69
AndI,V090,0.815
AndI,V091,0.59
AndI,V092,0.7
AndI,V093,0.313
AndI,V094,0.531
AndI,V095,0.848
AndI,V096,0.511
AndI,V097,0.33899999999999997
AndI,V098,0.602
AndI,V099,0.518
AndI,V100,0.57
AndI,V101,0.578
AndI,V102,0.36200000000000004
AndI,V103,0.6459999999999999
AndI,V104,0.528
AndI,V105,0.638
AndI,V106,0.635
AndI,V107,0.366
AndI,V108,0.643
AndI,V109,0.37200000000000005
AndI,V110,0.327
AndI,V111,0.54
AndI,V112,0.364
AndI,V113,0.47700000000000004
AndI,V114,0.253
AndI,V115,0.625
AndI,V116,0.35700000000000004
AndI,V117,0.301
AndI,V118,0.349
AndI,V119,0.696
AndI,V120,0.65
AndI,V121,0.635
AndI,V122,0.7709999999999999
AndI,V123,0.596
AndI,V124,0.649
AndI,V125,0.611
AndI,V126,0.35100000000000003
AndI,V127,0.589
AndI,V128,0.518
AndI,V129,0.545
AndI,V130,0.449
AndI,V131,0.581
AndI,V132,0.639
AndI,V133,0.637
AndI,V134,0.366
AndI,V135,0.33799999999999997
AndI,V136,0.6920000000000001
AndI,V137,0.599
AndI,V138,0.561
AndI,V139,0.5920000000000001
AndI,V140,0.615
AndI,V141,0.6759999999999999
AndI,V142,0.612
AndI,V143,0.358
AndI,V144,0.578
AndI,V145,0.619
AndI,V146,0.515
AndI,V147,0.35200000000000004
AndI,V148,0.29600000000000004
AndI,V149,0.614
AndI,V150,0.562
AndI,V151,0.569
AndI,V152,0.27399999999999997
AndI,V153,0.569
AndI,V154,0.746
AndI,V155,0.575
AndI,V156,0.483
AndI,V157,0.355
AndI,V158,0.815
AndI,V159,0.612
AndI,V160,0.509
AndI,V161,0.5770000000000001
AndI,V162,0.35
