Star,HJD-2400000.0,Magnitude,Uncertainty in Magnitude,Passband
V001,2457832.508222,20.986,0.022000000000000002,g
V001,2457832.513068,20.994,0.022000000000000002,g
V001,2457832.517926,21.005,0.022000000000000002,g
V001,2457832.522774,20.988000000000003,0.022000000000000002,g
V001,2457832.527616,20.989,0.022000000000000002,g
V001,2457832.534881,21.011999999999997,0.023,g
V001,2457832.549964,21.044,0.023,g
V001,2457832.5650529996,21.041,0.023,g
V001,2457832.580134,21.002,0.022000000000000002,g
V001,2457832.595302,20.799,0.019,g
V001,2457832.610393,20.467,0.016,g
V001,2457832.625527,20.359,0.016,g
V001,2457832.640576,20.146,0.013999999999999999,g
V001,2457832.65564,19.999000000000002,0.013000000000000001,g
V001,2457832.668273,19.956,0.013000000000000001,g
V001,2457832.681981,19.98,0.013000000000000001,g
V001,2457832.686836,19.980999999999998,0.013000000000000001,g
V001,2457832.691683,20.016,0.013000000000000001,g
V001,2457832.6965119997,20.031,0.013000000000000001,g
V001,2457832.701347,20.055999999999997,0.013999999999999999,g
V001,2457832.706168,20.069000000000003,0.013999999999999999,g
V001,2457832.710996,20.090999999999998,0.013999999999999999,g
V001,2457832.715828,20.109,0.013999999999999999,g
V001,2457832.720653,20.124000000000002,0.013999999999999999,g
V001,2457832.725472,20.149,0.013999999999999999,g
V001,2457832.730314,20.167,0.013999999999999999,g
V001,2457832.735134,20.17,0.013999999999999999,g
V001,2457832.739984,20.203,0.013999999999999999,g
V001,2457832.744808,20.207,0.015,g
V001,2457832.749625,20.243,0.015,g
V001,2457832.75446,20.226,0.015,g
V001,2457832.759309,20.262,0.015,g
V001,2457832.7641419997,20.274,0.015,g
V001,2457832.7689759997,20.312,0.015,g
V001,2457832.7738200002,20.32,0.015,g
V001,2457832.778649,20.322,0.015,g
V001,2457832.783468,20.398,0.016,g
V001,2457832.788294,20.397000000000002,0.016,g
V001,2457832.7931150002,20.352999999999998,0.016,g
V001,2457832.797948,20.395,0.016,g
V001,2457832.802775,20.374000000000002,0.016,g
V001,2457832.807598,20.407,0.016,g
V001,2457832.8124240004,20.48,0.017,g
V001,2457832.853848,20.521,0.017,g
V001,2457832.885758,20.641,0.018000000000000002,g
V001,2457833.506645,20.221,0.015,g
V001,2457833.511469,20.234,0.015,g
V001,2457833.516303,20.256,0.015,g
V001,2457833.521147,20.281,0.015,g
V001,2457833.525969,20.295,0.015,g
V001,2457833.533236,20.325,0.015,g
V001,2457833.548341,20.338,0.015,g
V001,2457833.5634439997,20.389,0.016,g
V001,2457833.579099,20.413,0.016,g
V001,2457833.595009,20.476,0.016,g
V001,2457833.610574,20.495,0.017,g
V001,2457833.62566,20.537,0.017,g
V001,2457833.6407669997,20.569000000000003,0.017,g
V001,2457833.655864,20.613000000000003,0.017,g
V001,2457833.680384,20.64,0.018000000000000002,g
V001,2457833.6967080003,20.682,0.018000000000000002,g
V001,2457833.7015580004,20.684,0.018000000000000002,g
V001,2457833.706401,20.709,0.018000000000000002,g
V001,2457833.711248,20.71,0.018000000000000002,g
V001,2457833.716092,20.715999999999998,0.018000000000000002,g
V001,2457833.7209509998,20.715999999999998,0.018000000000000002,g
V001,2457833.72578,20.719,0.018000000000000002,g
V001,2457833.7306,20.738000000000003,0.019,g
V001,2457833.7354389997,20.76,0.019,g
V001,2457833.740275,20.759,0.019,g
V001,2457833.745127,20.78,0.019,g
V001,2457833.749984,20.785,0.019,g
V001,2457833.754846,20.77,0.019,g
V001,2457833.759695,20.811,0.019,g
V001,2457833.764529,20.843000000000004,0.02,g
V001,2457833.769378,20.818,0.02,g
V001,2457833.774202,20.858,0.02,g
V001,2457833.779057,20.85,0.02,g
V001,2457833.783887,20.851999999999997,0.02,g
V001,2457833.788702,20.853,0.02,g
V001,2457833.793538,20.86,0.02,g
V001,2457833.79838,20.872,0.02,g
V001,2457833.803214,20.899,0.021,g
V001,2457833.808038,20.875,0.02,g
V001,2457833.8128759996,20.891,0.021,g
V001,2457833.817727,20.904,0.021,g
V001,2457833.822558,20.936999999999998,0.021,g
V001,2457833.827382,20.915,0.021,g
V001,2457833.832242,20.921,0.021,g
V001,2457833.837115,20.932,0.021,g
V001,2457833.8419810003,20.919,0.021,g
V001,2457833.8468130003,20.932,0.021,g
V001,2457833.8516349997,20.941999999999997,0.021,g
V001,2457833.856472,20.961,0.022000000000000002,g
V001,2457833.8613259997,20.92,0.021,g
V001,2457833.866171,20.948,0.022000000000000002,g
V001,2457833.871011,20.943,0.021,g
V001,2457833.87587,20.969,0.022000000000000002,g
V001,2457834.498655,20.857,0.02,g
V001,2457834.503476,20.813000000000002,0.02,g
V001,2457834.5083029997,20.807,0.019,g
V001,2457834.5131220003,20.801,0.019,g
V001,2457834.517945,20.8,0.019,g
V001,2457834.522773,20.802,0.019,g
V001,2457834.5275990004,20.824,0.02,g
V001,2457834.532451,20.853,0.02,g
V001,2457834.537267,20.854,0.02,g
V001,2457834.5420790003,20.824,0.02,g
V001,2457834.549357,20.826,0.02,g
V001,2457834.564434,20.875999999999998,0.02,g
V001,2457834.579512,20.912,0.021,g
V001,2457834.595784,20.904,0.021,g
V001,2457834.610918,20.928,0.021,g
V001,2457834.626148,20.916999999999998,0.021,g
V001,2457834.641411,20.915,0.021,g
V001,2457834.65653,20.908,0.021,g
V001,2457834.671612,20.929000000000002,0.021,g
V001,2457834.686704,20.947,0.021,g
V001,2457834.701822,20.941999999999997,0.021,g
V001,2457834.716974,20.93,0.021,g
V001,2457834.732447,20.949,0.022000000000000002,g
V001,2457834.74516,20.895,0.021,g
V001,2457834.749991,20.898000000000003,0.021,g
V001,2457834.7548490004,20.895,0.021,g
V001,2457834.759715,20.877,0.02,g
V001,2457834.764544,20.874000000000002,0.02,g
V001,2457834.769403,20.897,0.021,g
V001,2457834.774245,20.888,0.021,g
V001,2457834.779052,20.916,0.021,g
V001,2457834.783878,20.898000000000003,0.021,g
V001,2457834.788714,20.916,0.021,g
V001,2457834.793542,20.94,0.021,g
V001,2457834.798412,20.921,0.021,g
V001,2457834.803265,20.936,0.021,g
V001,2457834.8080869997,21.043000000000003,0.023,g
V001,2457834.812936,20.996,0.022000000000000002,g
V001,2457834.817786,20.956999999999997,0.022000000000000002,g
V001,2457834.8226400004,21.031,0.023,g
V001,2457834.827507,21.026,0.023,g
V001,2457834.832372,21.044,0.023,g
V001,2457834.837236,21.058000000000003,0.023,g
V001,2457834.842092,21.055,0.023,g
V001,2457834.846928,21.08,0.024,g
V001,2457834.851773,21.065,0.023,g
V001,2457834.856594,21.029,0.023,g
V001,2457834.8614290003,21.057,0.023,g
V001,2457834.866275,21.075,0.024,g
V001,2457834.8711180002,21.019000000000002,0.023,g
V001,2457848.782917,20.249000000000002,0.015,g
V001,2457848.787741,20.262999999999998,0.015,g
V001,2457848.792572,20.264,0.015,g
V001,2457848.797384,20.285999999999998,0.015,g
V001,2457848.8022060003,20.302,0.015,g
V001,2457848.8070400003,20.33,0.015,g
V001,2457848.811882,20.358,0.016,g
V001,2457848.816726,20.381,0.016,g
V001,2457848.821577,20.394000000000002,0.016,g
V001,2457832.510638,20.53,0.017,i
V001,2457832.515505,20.538,0.017,i
V001,2457832.520359,20.551,0.017,i
V001,2457832.525214,20.579,0.017,i
V001,2457832.530026,20.573,0.017,i
V001,2457832.537309,20.6,0.017,i
V001,2457832.55238,20.587,0.017,i
V001,2457832.567489,20.590999999999998,0.017,i
V001,2457832.5825779997,20.555,0.017,i
V001,2457832.59772,20.405,0.015,i
V001,2457832.612839,20.26,0.013999999999999999,i
