Star,Period
V001,0.7633058
V002,0.6043024
V003,0.6009024
V004,0.4091809
V005,0.5989511
V008,0.6497012
V010,0.6113311
V012,0.6404212
V013,0.6486312
V014,0.6090211
V015,0.5912911
V020,0.6170524
V021,0.5960023
V022,0.6362525
V023,0.6122524
V025,0.6093524
V029,0.399751
V033,0.4284515
V035,0.6309025
V046,0.5931521
V050,0.5839523
V052,0.6290411
V056,0.5666522
V057,0.6324525
V065,0.6500526
V066,0.6203024
V068,0.6525526
V070,0.6222525
V072,0.3913809
V073,0.6457655
V076,0.4063514
V077,0.6132524
V078,0.6190025
V083,0.6208012
V092,0.4149109
V097,0.3067604
V098,0.5095519
