V001 ,11:48:46.94 ,−18:37:28.8 ,0.7633058 ,20.925 ,0.984 ,20.553 ,0.820 ,19.950 ,0.503 ,Peculiar ,0.7633 ,
V002 ,11:48:59.49 ,−18:10: 9.8 ,0.6043024 ,21.432 ,0.913 ,20.966 ,0.759 ,20.406 ,0.546 ,RRab ,0.6053 ,
V003 ,11:48:38.77 ,−18:31:40.2 ,0.6009024 ,21.217 ,1.019 ,20.920 ,0.834 ,20.349 ,0.515 ,RRab ,0.6009 ,
V004 ,11:48:51.17 ,−18:16:34.1 ,0.4091809 ,21.260 ,0.477 ,20.906 ,0.470 ,20.403 ,0.218 ,RRc ,0.4189 ,
V005 ,11:48:51.89 ,−18:31:56.7 ,0.5989511 ,21.227 ,1.229 ,20.904 ,0.966 ,20.335 ,0.575 ,RRab ,0.5989 ,
V008 ,11:48:47.01 ,−18:31:30.5 ,0.6497012 ,21.217 ,0.679 ,20.907 ,0.504 ,20.305 ,0.372 ,RRab ,0.6496 ,a 
V010 ,11:47:51.72 ,−18:11:12.1 ,0.6113311 ,21.228 ,1.068 ,20.850 ,0.851 ,20.213 ,0.745 ,RRab ,0.6212 ,b 
V012 ,11:48:41.01 ,−18:31:45.4 ,0.6404212 ,21.375 ,0.766 ,20.968 ,0.687 ,20.340 ,0.492 ,RRab ,0.6415 ,c 
V013 ,11:48:51.59 ,−18:41:34.0 ,0.6486312 ,21.314 ,0.851 ,20.884 ,0.665 ,20.301 ,0.430 ,RRab ,0.6474 ,
V014 ,11:48:39.64 ,−18:09:24.1 ,0.6090211 ,21.310 ,0.735 ,20.906 ,0.816 ,20.329 ,0.390 ,RRab ,0.6081 ,c 
V015 ,11:47:57.04 ,−18:08:39.6 ,0.5912911 ,21.289 ,0.917 ,20.904 ,0.624 ,20.280 ,0.424 ,RRab ,0.6378 ,b; d ; e 
V020 ,11:48:35.41 ,−18:30:54.6 ,0.6170524 ,21.370 ,0.673 ,20.956 ,0.491 ,20.301 ,0.315 ,RRab ,0.6201 ,f; a 
V021 ,11:49:05.76 ,−18:32:02.9 ,0.5960023 ,21.432 ,0.581 ,21.053 ,0.645 ,20.416 ,0.562 ,RRab ,0.641 ,
V022 ,11:48:14.91 ,−18:15:09.1 ,0.6362525 ,21.096 ,1.603 ,20.816 ,1.133 ,20.361 ,0.435 ,RRab ,0.6001 ,b; e 
V023 ,11:48:10.63 ,−18:17:42.7 ,0.6122524 ,21.323 ,1.055 ,20.944 ,0.808 ,20.448 ,0.071 ,RRab ,0.6147 ,b; e 
V025 ,11:49:05.83 ,−18:40:46.9 ,0.6093524 ,21.310 ,1.080 ,20.909 ,0.826 ,20.366 ,0.516 ,RRab ,0.6083 ,a 
V029 ,11:49:23.49 ,−18:20:08.5 ,0.3997510 ,21.204 ,0.320 ,20.827 ,0.382 ,20.279 ,0.172 ,RRd ,0.4212 ,
V033 ,11:49:45.65 ,−18:32:56.2 ,0.4284515 ,21.219 ,0.603 ,20.949 ,0.335 ,20.345 ,0.264 ,RRd ,0.4174 ,
