V1 ,177.19560 ,−18.62472 ,0.76343 ,157 ,1.12 ,20.76 ,158 ,0.61 ,20.37 ,0.034 ,AC 
V2 ,177.24786 ,−18.16946 ,0.60442 ,125 ,1.17 ,21.08 ,125 ,0.51 ,20.78 ,0.032 ,ab 
V3 ,177.16149 ,−18.52788 ,0.60078 ,156 ,1.06 ,21.00 ,157 ,0.53 ,20.73 ,0.033 ,ab 
V4 ,177.21320 ,−18.27621 ,0.41651 ,155 ,0.80 ,21.00 ,158 ,0.37 ,20.73 ,0.032 ,d 
V5 ,177.21616 ,−18.53250 ,0.59900 ,152 ,1.29 ,21.08 ,157 ,0.61 ,20.75 ,0.033 ,ab 
V6 ,177.26842 ,−18.03395 ,0.40436 ,157 ,0.70 ,21.03 ,158 ,0.33 ,20.77 ,0.034 ,d 
V7 ,177.12839 ,−17.69956 ,0.59112 ,125 ,0.68 ,20.89 ,124 ,0.33 ,20.66 ,0.029 ,ab 
V8 ,177.19582 ,−18.52521 ,0.64982 ,157 ,0.63 ,21.00 ,158 ,0.26 ,20.72 ,0.033 ,ab 
V9 ,176.50267 ,−18.82727 ,0.59209 ,92 ,1.35 ,21.05 ,94 ,0.64 ,20.77 ,0.039 ,ab 
V10 ,176.96547 ,−18.18674 ,0.62107 ,90 ,0.98 ,20.93 ,92 ,0.48 ,20.64 ,0.036 ,ab 
V11 ,177.19876 ,−17.96955 ,0.67417 ,154 ,0.69 ,21.00 ,158 ,0.34 ,20.66 ,0.031 ,ab 
V12 ,177.17085 ,−18.52933 ,0.64053 ,157 ,0.52 ,21.06 ,158 ,0.27 ,20.73 ,0.033 ,ab 
V13 ,177.21498 ,−18.69282 ,0.64841 ,156 ,0.75 ,20.97 ,158 ,0.34 ,20.66 ,0.035 ,ab 
V14 ,177.16512 ,−18.15677 ,0.60836 ,91 ,0.69 ,21.05 ,87 ,0.35 ,20.74 ,0.032 ,ab 
V15 ,176.98760 ,−18.14437 ,0.63772 ,65 ,0.87 ,21.01 ,63 ,0.41 ,20.68 ,0.036 ,ab 
V16 ,177.14011 ,−18.07523 ,0.60167 ,158 ,0.82 ,21.01 ,157 ,0.34 ,20.73 ,0.032 ,ab 
V17 ,176.89240 ,−18.65649 ,0.62346 ,123 ,0.83 ,21.07 ,123 ,0.39 ,20.74 ,0.041 ,ab 
V18 ,176.88820 ,−18.10849 ,0.62832 ,155 ,0.73 ,21.05 ,157 ,0.36 ,20.72 ,0.038 ,ab 
V19 ,177.01731 ,−18.07904 ,0.63046 ,158 ,0.82 ,21.04 ,158 ,0.40 ,20.73 ,0.035 ,ab 
V20 ,177.14748 ,−18.51524 ,0.62306 ,89 ,0.79 ,21.02 ,92 ,0.37 ,20.72 ,0.034 ,ab 
V21 ,177.27399 ,−18.53421 ,0.63792 ,157 ,0.58 ,21.12 ,157 ,0.28 ,20.79 ,0.033 ,ab 
V22 ,177.06211 ,−18.25257 ,0.59772 ,155 ,1.27 ,20.99 ,156 ,0.61 ,20.73 ,0.033 ,ab 
V23 ,177.04428 ,−18.29525 ,0.61414 ,155 ,1.01 ,21.04 ,154 ,0.47 ,20.72 ,0.033 ,ab 
V25 ,177.27432 ,−18.67974 ,0.60938 ,91 ,0.66 ,21.08 ,92 ,0.35 ,20.78 ,0.035 ,ab 
V26 ,177.93807 ,−18.49433 ,0.77390 ,123 ,0.76 ,20.65 ,125 ,0.35 ,20.27 ,0.034 ,AC 
V27 ,177.60977 ,−17.98442 ,0.64729 ,97 ,0.77 ,20.98 ,99 ,0.37 ,20.66 ,0.034 ,ab 
V28 ,177.56619 ,−18.16064 ,0.62493 ,122 ,0.88 ,21.04 ,125 ,0.41 ,20.75 ,0.033 ,ab 
V29 ,177.34787 ,−18.33577 ,0.41992 ,124 ,0.75 ,20.97 ,124 ,0.37 ,20.70 ,0.032 ,d 
V30 ,178.06358 ,−17.99346 ,0.42438 ,113 ,0.68 ,20.99 ,117 ,0.44 ,20.75 ,0.032 ,d 
V31 ,177.93793 ,−18.12586 ,0.62490 ,157 ,0.64 ,20.97 ,157 ,0.31 ,20.65 ,0.032 ,ab 
V32 ,177.62062 ,−18.27896 ,0.60514 ,155 ,0.63 ,21.05 ,158 ,0.31 ,20.74 ,0.032 ,ab 
V33 ,177.44019 ,−18.54901 ,0.42092 ,158 ,0.79 ,21.03 ,158 ,0.38 ,20.77 ,0.033 ,d 
V34 ,177.68722 ,−18.58766 ,0.42521 ,157 ,0.64 ,20.98 ,158 ,0.33 ,20.70 ,0.037 ,d 
V35 ,177.48457 ,−18.62868 ,0.63159 ,158 ,0.82 ,20.96 ,157 ,0.40 ,20.66 ,0.034 ,ab 
V36 ,177.75522 ,−18.53922 ,0.68097 ,156 ,0.43 ,21.03 ,157 ,0.24 ,20.68 ,0.037 ,ab 
V37 ,178.26864 ,−17.92536 ,0.59212 ,150 ,0.61 ,20.95 ,151 ,0.24 ,20.70 ,0.034 ,ab 
V38 ,177.67416 ,−18.67226 ,0.62239 ,91 ,0.88 ,21.10 ,91 ,0.42 ,20.78 ,0.036 ,ab 
