M101  d 2011fe  4847  3776 12880       2013 Mar 03
N1015   2009ig 14364 39336 12880       2013 Jun 30
N1309 d 2002fk  6991  3002 11570,12880 2010 Jul 24
N1365 d 2012fr  3618  3180 12880       2013 Aug 06
N1448   2001el  6035 17562 12880       2013 Sep 15
N2442   2015F   6035 20976 13646       2016 Jan 21
N3021 d 1995al  4426  2962 11570,12880 2010 Jun 03
N3370 d 1994ae  4376  2982 11570,12880 2010 Apr 04
N3447   2012ht  4529 19114 12880       2013 Dec 15
N3972   2011by  6635 19932 13647       2015 Apr 19
N3982 d 1998aq  4018  1400 11570       2009 Aug 04
N4038 d 2007sr  6795  2064 11577       2010 Jan 22
N4258 d Anchor 34199  6120 11570       2009 Dec 03
N4424   2012cg  3623 17782 12880       2014 Jan 08
N4536 d 1981B   2565  2600 11570       2010 Jul 19
N4639 d 1990N   5379  1600 11570       2009 Aug 07
N5584   2007af  4929 59940 11570       2010 Apr 04
N5917   2005cf  7235 23469 12880       2013 May 20
N7250   2013dy  5435 18158 12880       2013 Oct 12
U9391   2003du 13711 39336 12880       2012 Dec 14
