V001 0.834 AndIII-V073 1.003
V002 0.590 AndIII-V069 0.591
V003 0.773                   it falls into ACS gap
V004 0.629 AndIII-V065 0.559
V005 0.650 AndIII-V067 0.632
V006 0.678 AndIII-V105 0.818
V007 0.480 AndIII-V075 0.428
V008 1.510                   strange; we found <F475W>~23.88 and <F814W>~23.82 and A_{F475W}~1.95 and A_{F814W}~1.96 while Pritzl et al. obtained <V>~23.30 and A_{V}~0.89
V009 0.501 AndIII-V100 0.645
V010 0.678 AndIII-V074 0.592
V011 0.302 AndIII-V072 0.304
V012 0.434 AndIII-V089 0.598
V013 0.652 AndIII-V066 0.652
V014 0.666 AndIII-V092 0.584
V015 0.630 AndIII-V077 0.670
V016 0.620 AndIII-V096 0.616
V017 0.686 AndIII-V078 0.601
V018 0.613 AndIII-V101 0.605
V019 0.646 AndIII-V099 0.640
V020 0.661 AndIII-V063 0.604
V021 0.772 AndIII-V082 0.647
V022 0.455 AndIII-V106 0.633
V023 0.616 AndIII-V079 0.619
V024 0.624 AndIII-V085 0.622
V025 0.761 AndIII-V026 0.641
V026 0.652 AndIII-V014 0.646
V027 0.491 AndIII-V016 0.614
V028 0.702 AndIII-V049 0.615
V029 0.648 AndIII-V053 0.645
V030 0.740 AndIII-V056 0.638
V031 0.634 AndIII-V025 0.634
V032 0.617 AndIII-V038 0.615
V033 0.686 AndIII-V055 0.683
V034 0.617 AndIII-V058 0.387
V035 0.283 AndIII-V021 0.281
V036 0.440 AndIII-V012 0.601
V037 0.676 AndIII-V035 0.589
V038 0.714 AndIII-V050 0.627
V039 0.620 AndIII-V007 0.706
V040 0.407 AndIII-V020 0.406
V041 0.671 AndIII-V034 0.388
V042 0.643 AndIII-V023 0.639
V043 0.362 AndIII-V048 0.365
V044 0.537 AndIII-V027 0.602
V045 0.749 AndIII-V051 0.653
V046 0.353 AndIII-V043 0.352
V047 0.657 AndIII-V040 0.651
V048 0.613 AndIII-V018 0.413
V049 0.720 AndIII-V030 0.630
V050 0.354 AndIII-V019 0.328
V051 0.693 AndIII-V011 0.607
V052 0.447 AndIII-V022 0.365
V053 0.534 AndIII-V039 0.533
V054 0.623 AndIII-V041 0.625
V055 0.599 AndIII-V031 0.596
V056 0.496 AndIII-V046 0.640
