scl-CEMV053  -      -     00 58 52.18 -33 50 13.4 0.08027222   21.638 21.307 20.870 0.414 0.266 0.128 2 0
scl-CEMV138  -      -     00 59 27.90 -33 49 35.4 0.06268482   22.433 22.206 21.683 0.683 0.535 1.098 2 0
scl-CEMV186  -      -     00 59 38.98 -33 50 14.0 0.04709882   22.291 22.134 21.874 0.318 0.279 0.213 2 0
scl-CEMV224  -      -     00 59 47.17 -33 38 16.3 0.07575704   22.138 21.932 21.425 0.437 0.318 0.493 2 0
scl-CEMV227  -      -     00 59 49.29 -33 46 16.6 0.08574464   21.632 21.378 21.096 0.703 0.475 0.386 2 0
scl-CEMV231  -      -     00 59 51.03 -33 41 05.4 0.10634337   21.967 21.624 21.208 0.511 0.511 0.286 2 0
scl-CEMV270  -      -     00 59 56.29 -33 42 00.3 0.05859806   22.491 22.221 21.825 0.450 0.404 0.318 2 0
scl-CEMV285  -      -     00 59 58.67 -33 42 19.8 0.07370760   22.425 22.181 21.775 0.842 0.647 0.503 2 0
scl-CEMV286  -      -     00 59 58.62 -33 50 09.7 0.05043523   22.689 22.516 22.257 0.273 0.320 0.126 2 0
scl-CEMV317  -      -     01 00 03.08 -33 44 46.9 0.06004051   22.515 22.307 22.004 0.845 0.775 0.400 2 0
scl-CEMV325  -      -     01 00 04.57 -33 52 15.4 0.05413676   22.363 22.126 21.793 0.209 0.234 0.174 2 0
scl-CEMV334  -      -     01 00 05.75 -33 43 33.8 0.05398612   22.539 22.248 21.897 0.304 0.253 0.090 2 0
scl-CEMV347  -      -     01 00 07.56 -33 39 51.0 0.05561832   22.726 22.381 22.159 0.631 0.582 0.482 2 0
scl-CEMV364  -      -     01 00 11.00 -33 40 51.2 0.04454330   22.723 22.514 22.181 0.525 0.446 0.226 2 0
scl-CEMV366  -      -     01 00 11.57 -33 41 27.5 0.05656062   22.534 22.184 21.773 0.082 0.326 0.449 2 0
scl-CEMV383  -      -     01 00 15.43 -33 44 05.1 0.09018717   21.689 21.414 21.048 0.350 0.342 0.211 2 0
scl-CEMV394  -      -     01 00 18.03 -33 47 48.5 0.08420236   22.168 21.926 21.596 0.724 0.515 0.398 2 0
scl-CEMV410  -      -     01 00 20.06 -33 46 50.6 0.06548483   21.989 21.796 21.459 0.578 0.473 0.250 2 0
scl-CEMV437  -      -     01 00 28.18 -33 50 11.3 0.06370454   22.434 22.260 21.845 0.592 0.386 0.618 2 0
scl-CEMV500  -      -     01 00 40.84 -33 51 15.3 0.06184286   22.551 22.329 22.051 0.768 0.728 0.399 2 0
scl-CEMV538  -      -     01 00 55.95 -33 31 40.1 0.05790988   22.464 22.173 21.783 0.285 0.236 0.075 2 0
scl-CEMV540  -      -     01 00 56.73 -33 40 14.0 0.06031101   22.659 22.341 22.028 0.303 0.289 0.207 2 0
scl-CEMV541  -      -     01 00 56.60 -33 43 29.8 0.06464694   22.424 22.242 21.854 0.507 0.369 0.439 2 0
