V1 RRab 0.515750 23.72 22.79 21.60 - - 1.62 - - C 10 07 13.92 +12 21 50.8
V2 RRab 0.627407 22.99 22.53 22.14 - 1.14 1.17 0.96 - A 10 07 18.89 +12 13 10.2
V3 RRab 0.554130 23.04 22.61 22.31 - 0.84 1.03 - - B 10 07 28.27 +12 14 40.4
V4 RRab 0.638565 22.88 22.53 22.50 - 1.01 0.93 - - B 10 07 33.35 +12 21 56.1
V5 RRab 0.593564 23.25 22.75 22.46 22.16 1.10 0.95 0.60 - B 10 07 36.68 +12 18 49.1
V6 RRab 0.698670 23.13 22.61 22.28 21.74 1.00 0.88 0.75 - C 10 07 38.33 +12 12 40.3
V7 RRab 0.6024018 23.04 22.75 22.57 22.25 0.96 0.79 0.23 - A 10 07 40.62 +12 18 55.6
V8 RRab 0.537169 23.15 22.59 22.20 22.15 1.14 0.94 - - B 10 07 44.43 +12 13 07.5
V9 RRab 0.574817 22.81 22.69 22.65 22.34 1.17 1.22 0.36 - A 10 07 44.44 +12 17 17.4
V10 RRab 0.681396 23.00 22.61 22.41 - 0.45 0.37 0.32 - B 10 07 46.57 +12 20 15.0
V11 RRab 0.515261 23.05 22.64 22.44 22.45 1.24 1.18 - - B 10 07 48.43 +12 18 56.8
V13 RRab 0.636654 23.13 22.64 22.47 - 0.58 0.46 0.40 - A 10 07 52.04 +12 15 34.6
V14 RRab 0.708036 23.15 22.90 22.70 22.44 0.84 0.60 0.18 - C 10 07 55.61 +12 20 53.9
V15 RRab 0.630248 23.10 22.72 22.56 - 0.79 0.68 0.38 - A 10 07 55.99 +12 14 13.6
V16 RRab 0.601348 23.04 22.78 22.35 - 1.00 0.90 0.68 - A 10 07 56.41 +12 19 47.1
V17 RRc 0.3131235 23.00 22.74 22.36 - 0.72 0.49 - - A 10 07 56.48 +12 13 54.4
V18 RRab 0.628029 23.02 22.70 22.41 - 1.05 0.79 0.45 - A 10 07 56.55 +12 18 16.1
V19 RRab 0.607947 23.08 22.66 22.39 - 0.90 0.83 0.34 - A 10 07 58.54 +12 18 00.0
V21 RRab 0.659662 22.88 22.67 22.56 22.04 0.98 0.85 0.37 - B 10 08 00.69 +12 24 54.3
V22 RRab 0.557603 23.00 22.70 22.50 22.19 1.03 0.97 0.42 - B 10 08 01.08 +12 17 54.0
V23 RRc 0.2737468 23.05 22.69 22.54 22.16 0.45 0.37 0.32 - B 10 08 01.44 +12 20 09.2
