AndI 0 45 39.8 38 2 28.0 24.36
AndII 1 16 29.8 33 25 9.0 24.07
AndIII 0 35 33.8 36 29 52.0 24.37
AndXI 0 46 20.0 33 48 5.0 24.33
AndXIII 0 51 51.0 33 0 16.0 24.62
AndXV 1 14 18.7 38 7 3.0 23.98
AndXVI 0 59 29.8 32 22 36.0 23.39
AndXXVIII 22 32 41.2 31 12 58.0 24.1
BootesI 14 0 6.0 14 30 0.0 19.11
CanesVenaticiI 13 28 3.5 33 33 21.0 21.69
CanesVenaticiII 12 57 10.0 34 19 15.0 21.02
CarinaI 6 41 36.7 -50 57 58.0 20.11
CarinaII 7 36 25.6 -57 59 57.0 17.79
Cetus 0 26 11.0 -11 2 40.0 24.39
ComaBerenices 12 26 59.0 23 54 15.0 18.2
CraterII 11 49 14.4 -18 24 47.0 20.35
Draco 17 20 12.4 57 54 55.0 19.4
ESO294-G010 0 26 33.4 -41 51 19.0 26.40
ESO410-G005	0 15 31.4 -32 10 47.0 26.33
Fornax 2 39 59.3 -34 26 57.0 20.84
GrusI 22 56 42.4 -50 9 48.0 20.4
Hercules 16 31 2.0 12 47 30.0 20.6
IC1613 1 4 47.8 2 7 4.0 24.39
LeoA 9 59 26.5 30 44 47.0 24.51
LeoI 10 8 28.1 12 18 23.0 22.02
LeoIV 11 32 57.0 0 32 0.0 20.94
LeoP 10 21 45.1 18 5 17.0 26.04
LeoT 9 34 53.4 17 3 5.0 23.1
NGC147 0 33 12.1 48 30 32.0 24.15
NGC185 0 38 58.0 48 20 15.0 23.95
PhoenixI 1 51 6.3 -44 26 41.0 23.09
PhoenixII 23 39 59.4 -54 24 22.0 19.6
SagittariusII 19 52 40.5 -22 4 5.0 19.13
Sculptor 1 0 9.4 -33 42 33.0 19.67
SegueII 2 19 16.0 20 10 31.0 17.7
Tucana 22 41 49.6 -64 25 10.0 24.74
UrsaMajorI 10 34 52.8 51 55 12.0 19.93
UrsaMajorII 8 51 30.0 63 7 48.0 17.5
M31 00 42 44.33 41 16 07.5 24.45
M33 01 33 50.90 30 39 35.8 24.62
