OGLE-LMC-RRLYR-00001  18.772 19.455  0.6347521 0.0000010  6000.13200  0.533  0.545 4.395  0.351 2.747
OGLE-LMC-RRLYR-00002  18.844 19.472  0.6255179 0.0000026  6000.20402  0.311  0.447 4.738  0.206 3.168
OGLE-LMC-RRLYR-00003  18.649 19.306  0.6564971 0.0000014  6000.11424  0.412  0.446 4.523  0.322 2.953
OGLE-LMC-RRLYR-00004  18.808 19.340  0.5123843 0.0000016  6000.02014  0.598  0.420 4.098  0.194 2.098
OGLE-LMC-RRLYR-00005  18.942 19.613  0.6433519 0.0000034  6000.18740  0.246  0.340 4.663  0.148 3.103
OGLE-LMC-RRLYR-00006  18.766 19.458  0.6000192 0.0000014  6000.19342  0.469  0.481 4.334  0.346 2.740
OGLE-LMC-RRLYR-00007  18.866 19.482  0.5528561 0.0000012  6000.51544  0.643  0.397 4.063  0.334 1.883
OGLE-LMC-RRLYR-00008  18.674 19.394  0.7877152 0.0000031  6000.77369  0.331  0.381 4.884  0.249 3.589
OGLE-LMC-RRLYR-00010  18.813 19.472  0.5940743 0.0000016  6000.22061  0.408  0.434 4.417  0.326 2.837
OGLE-LMC-RRLYR-00011  18.878 19.499  0.5535754 0.0000014  6000.01902  0.508  0.417 4.260  0.295 2.477
OGLE-LMC-RRLYR-00012  18.695 19.328  0.6095621 0.0000030  6000.48251  0.362  0.339 4.124  0.174 2.363
OGLE-LMC-RRLYR-00014  18.954 19.660  0.6394931 0.0000037  6000.00659  0.243  0.320 4.885  0.164 3.277
OGLE-LMC-RRLYR-00016  19.028 19.696  0.5983911 0.0000013  6000.01842  0.489  0.466 4.318  0.357 2.759
OGLE-LMC-RRLYR-00017  18.863 19.448  0.5759649 0.0000019  6000.51362  0.478  0.422 4.183  0.223 2.407
OGLE-LMC-RRLYR-00018  18.599 19.192  0.6416959 0.0000008  6000.63803  0.726  0.535 4.289  0.372 2.575
OGLE-LMC-RRLYR-00019  19.237 19.754  0.4252321 0.0000009  6000.21967  0.631  0.406 4.003  0.217 2.028
OGLE-LMC-RRLYR-00022  18.801 19.363  0.5152344 0.0000007  6000.41185  0.791  0.441 4.185  0.388 2.012
OGLE-LMC-RRLYR-00023  18.956 19.494  0.5460330 0.0000007  6000.47939  0.778  0.444 4.138  0.371 2.156
OGLE-LMC-RRLYR-00024  18.799 19.464  0.5733862 0.0000030  6000.53375  0.420  0.350 4.405  0.153 2.585
OGLE-LMC-RRLYR-00025  18.783 19.409  0.6001144 0.0000023  6000.24986  0.476  0.462 4.294  0.326 2.741
OGLE-LMC-RRLYR-00026  18.817 19.424  0.6334783 0.0000013  6000.40413  0.568  0.515 4.552  0.351 2.902
OGLE-LMC-RRLYR-00027  18.502 19.184  0.7938821 0.0000030  6000.51991  0.377  0.433 4.736  0.264 3.648
OGLE-LMC-RRLYR-00028  18.969 19.611  0.5833642 0.0000011  6000.09751  0.550  0.436 4.416  0.340 2.766
OGLE-LMC-RRLYR-00030  18.656 19.253  0.6732960 0.0000030  6000.63657  0.519  0.438 4.279  0.288 2.256
OGLE-LMC-RRLYR-00031  18.871 19.511  0.6379759 0.0000071  6000.00084  0.124  0.000   -    0.000   -  
OGLE-LMC-RRLYR-00033  18.994 19.550  0.4726573 0.0000005  6000.33106  0.848  0.476 4.112  0.355 2.040
OGLE-LMC-RRLYR-00034  18.858 19.616  0.5000082 0.0000013  6000.45291  0.650  0.429 4.179  0.278 2.088
OGLE-LMC-RRLYR-00036  18.917 19.563  0.6093299 0.0000020  6000.28562  0.369  0.406 4.449  0.268 3.071
OGLE-LMC-RRLYR-00037  18.747 19.439  0.6705868 0.0000040  6000.09621  0.268  0.357 4.367  0.173 2.984
OGLE-LMC-RRLYR-00039  18.870 19.499  0.6212986 0.0000015  6000.58574  0.435  0.475 4.429  0.301 2.805
OGLE-LMC-RRLYR-00040  19.037    -    0.6202899 0.0000015  6000.13211  0.359  0.442 4.802  0.000   -  
OGLE-LMC-RRLYR-00041  18.907 19.542  0.6265605 0.0000024  6000.06033  0.344  0.443 4.491  0.252 2.936
OGLE-LMC-RRLYR-00043  18.885 19.463  0.5626543 0.0000022  6000.14498  0.451  0.365 4.121  0.227 2.118
OGLE-LMC-RRLYR-00044  18.798 19.428  0.6391325 0.0000031  6000.48541  0.257  0.305 4.716  0.166 3.532
OGLE-LMC-RRLYR-00045  18.852 19.519  0.5864853 0.0000015  6000.34699  0.614  0.561 4.248  0.339 2.622
OGLE-LMC-RRLYR-00047  19.015 19.584  0.4794796 0.0000005  6000.22269  0.799  0.500 4.169  0.344 2.200
OGLE-LMC-RRLYR-00048  18.887 19.388  0.4997337 0.0000010  6000.31641  0.637  0.409 3.984  0.255 1.745
OGLE-LMC-RRLYR-00049  18.990 19.513  0.4815891 0.0000004  6000.42529  0.820  0.468 4.120  0.336 1.959
OGLE-LMC-RRLYR-00050  18.980 19.586  0.5647871 0.0000008  6000.32516  0.612  0.443 4.126  0.346 2.432
OGLE-LMC-RRLYR-00051  18.918 19.518  0.5510255 0.0000013  6000.19076  0.669  0.445 4.149  0.341 2.097
OGLE-LMC-RRLYR-00056  18.991 19.509  0.5158582 0.0000007  6000.09367  0.743  0.503 4.140  0.392 2.363
OGLE-LMC-RRLYR-00057  18.705 19.389  0.6898053 0.0000023  6000.01794  0.402  0.419 4.417  0.300 2.712
OGLE-LMC-RRLYR-00058  19.026 19.654  0.5859015 0.0000034  6000.39471  0.420  0.395 4.352  0.228 2.598
OGLE-LMC-RRLYR-00059  18.965 19.557  0.5284450 0.0000006  6000.03319  0.754  0.461 4.190  0.346 2.204
OGLE-LMC-RRLYR-00060  19.010 19.560  0.4660085 0.0000004  6000.12686  0.852  0.489 4.014  0.351 1.912
OGLE-LMC-RRLYR-00061  18.847 19.355  0.5038376 0.0000005  6000.06671  0.850  0.419 4.077  0.356 1.745
OGLE-LMC-RRLYR-00062  18.920 19.566  0.6146955 0.0000025  6000.24170  0.331  0.386 4.610  0.235 3.384
OGLE-LMC-RRLYR-00064  18.753 19.422  0.6185946 0.0000019  6000.32260  0.370  0.406 4.496  0.277 2.911
OGLE-LMC-RRLYR-00066  18.735 19.384  0.6314186 0.0000028  6000.55579  0.298  0.387 4.720  0.197 3.061
OGLE-LMC-RRLYR-00068  18.872 19.328  0.5513866 0.0000011  6000.42771  0.675  0.413 4.084  0.353 2.190
OGLE-LMC-RRLYR-00069  18.867 19.431  0.5047516 0.0000007  6000.02216  0.676  0.458 4.110  0.268 2.066
OGLE-LMC-RRLYR-00070  18.978 19.495  0.5354892 0.0000013  6000.40570  0.513  0.363 4.269  0.247 2.310
OGLE-LMC-RRLYR-00071  18.853 19.364  0.5553131 0.0000008  6000.41983  0.602  0.504 4.414  0.335 2.750
OGLE-LMC-RRLYR-00072  18.879 19.549  0.6261742 0.0000020  6000.58137  0.394  0.410 4.537  0.268 3.044
OGLE-LMC-RRLYR-00073  18.817 19.463  0.5381377 0.0000020  6000.35942  0.451  0.351 3.977  0.206 2.119
OGLE-LMC-RRLYR-00074  18.610 19.297  0.7916951 0.0000063  6000.50321  0.157  0.270 5.137  0.000   -  
OGLE-LMC-RRLYR-00075  18.925 19.635  0.6015445 0.0000026  6000.31519  0.507  0.374 4.245  0.246 2.326
OGLE-LMC-RRLYR-00076  18.925 19.481  0.5245832 0.0000020  6000.44944  0.509  0.425 4.099  0.296 2.158
OGLE-LMC-RRLYR-00079  18.947 19.536  0.5647915 0.0000014  6000.29195  0.485  0.433 4.270  0.308 2.505
OGLE-LMC-RRLYR-00080  18.857 19.414  0.5174634 0.0000017  6000.34020  0.530  0.405 4.262  0.223 2.300
OGLE-LMC-RRLYR-00081  18.795 19.375  0.6079591 0.0000008  6000.35846  0.762  0.511 4.275  0.350 2.585
OGLE-LMC-RRLYR-00082  18.727 19.267  0.5654446 0.0000008  6000.00994  0.656  0.472 4.160  0.386 2.329
OGLE-LMC-RRLYR-00083  18.850 19.410  0.5076190 0.0000005  6000.26894  0.796  0.455 4.113  0.358 2.050
OGLE-LMC-RRLYR-00084  18.687 19.241  0.5976970 0.0000016  6000.13700  0.489  0.439 4.388  0.291 2.531
OGLE-LMC-RRLYR-00086  18.721 19.296  0.5678120 0.0000021  6000.42667  0.469  0.325 4.129  0.163 1.611
OGLE-LMC-RRLYR-00087  18.965 19.491  0.5745107 0.0000014  6000.19265  0.562  0.469 4.341  0.319 2.517
OGLE-LMC-RRLYR-00088  19.048    -    0.5006926 0.0000007  6000.25601  0.606  0.455 4.835  0.000   -  
OGLE-LMC-RRLYR-00091  19.005 19.537  0.5317659 0.0000006  6000.07628  0.707  0.450 4.202  0.398 2.235
OGLE-LMC-RRLYR-00093  18.651 19.284  0.6502791 0.0000019  6000.43599  0.396  0.417 4.572  0.291 3.167
OGLE-LMC-RRLYR-00094  18.726 19.215  0.5252005 0.0000031  6000.40008  0.404  0.411 4.040  0.257 2.089
OGLE-LMC-RRLYR-00098  18.883 19.419  0.5399812 0.0000007  6000.42534  0.679  0.494 4.216  0.398 2.488
OGLE-LMC-RRLYR-00099  18.839 19.415  0.5570761 0.0000006  6000.15293  0.660  0.536 4.273  0.371 2.469
OGLE-LMC-RRLYR-00101  18.684 19.303  0.5689476 0.0000012  6000.17572  0.563  0.482 4.310  0.333 2.580
OGLE-LMC-RRLYR-00102  18.814 19.419  0.5253487 0.0000046  6000.15328  0.354  0.241 4.354  0.118 2.595
OGLE-LMC-RRLYR-00103  18.943 19.569  0.6181759 0.0000016  6000.23097  0.422  0.481 4.447  0.287 2.887
OGLE-LMC-RRLYR-00104  18.602 19.288  0.7625623 0.0000048  6000.42936  0.192  0.258 4.543  0.000   -  
OGLE-LMC-RRLYR-00105  18.640 19.290  0.6420187 0.0000017  6000.34657  0.539  0.391 4.379  0.300 2.629
OGLE-LMC-RRLYR-00107  18.921 19.466  0.5105290 0.0000005  6000.18987  0.789  0.459 4.115  0.346 1.954
OGLE-LMC-RRLYR-00108  18.842 19.508  0.6141133 0.0000027  6000.44033  0.372  0.539 4.658  0.204 3.411
OGLE-LMC-RRLYR-00109  18.767 19.386  0.5233079 0.0000041  6000.50795  0.422  0.386 3.460  0.346 1.346
OGLE-LMC-RRLYR-00110  18.648    -    0.6269256 0.0000048  6000.45944  0.336  0.440 4.506  0.225 3.109
OGLE-LMC-RRLYR-00111  18.831 19.316  0.4844885 0.0000007  6000.23424  0.674  0.427 4.119  0.275 1.986
OGLE-LMC-RRLYR-00112  18.970 19.556  0.5836028 0.0000011  6000.41896  0.574  0.493 4.263  0.359 2.601
OGLE-LMC-RRLYR-00113  18.896 19.415  0.4898061 0.0000005  6000.45340  0.896  0.466 4.165  0.350 2.086
OGLE-LMC-RRLYR-00114  18.835 19.499  0.6177467 0.0000039  6000.59903  0.217  0.357 4.427  0.165 2.517
OGLE-LMC-RRLYR-00115  19.234    -    0.4282699 0.0000012  6000.10756  0.770  0.526 3.968  0.399 2.198
OGLE-LMC-RRLYR-00116  18.813 19.454  0.6449607 0.0000029  6000.57973  0.244  0.358 4.581  0.160 3.552
OGLE-LMC-RRLYR-00118  18.710 19.299  0.5758786 0.0000007  6000.53011  0.590  0.459 4.159  0.364 2.203
OGLE-LMC-RRLYR-00120  18.861 19.413  0.5974721 0.0000012  6000.35360  0.489  0.502 4.510  0.327 2.810
OGLE-LMC-RRLYR-00121  18.646 19.129  0.5652354 0.0000007  6000.37745  0.753  0.454 4.121  0.356 2.209
OGLE-LMC-RRLYR-00122  18.912 19.582  0.6073888 0.0000014  6000.41626  0.501  0.446 4.458  0.373 2.827
OGLE-LMC-RRLYR-00123  18.793 19.262  0.5005945 0.0000004  6000.44762  0.795  0.438 4.107  0.355 2.049
OGLE-LMC-RRLYR-00124  18.615 19.246  0.7034882 0.0000018  6000.59584  0.485  0.488 4.675  0.285 3.254
OGLE-LMC-RRLYR-00125  19.049 19.516  0.4345586 0.0000004  6000.28214  0.866  0.555 4.100  0.358 2.214
OGLE-LMC-RRLYR-00129  18.951 19.573  0.5779718 0.0000057  6000.12541  0.122  0.224 4.819  0.000   -  
OGLE-LMC-RRLYR-00130  18.762 19.305  0.5699947 0.0000013  6000.34030  0.627  0.430 4.226  0.357 2.222
OGLE-LMC-RRLYR-00131  18.978 19.562  0.5521035 0.0000019  6000.54330  0.474  0.390 4.473  0.221 2.917
OGLE-LMC-RRLYR-00132  18.844 19.496  0.6287973 0.0000023  6000.25471  0.377  0.432 4.592  0.258 3.094
OGLE-LMC-RRLYR-00133  18.655 19.274  0.6030541 0.0000022  6000.46370  0.344  0.421 4.485  0.266 2.944
OGLE-LMC-RRLYR-00137  18.758 19.474  0.5996948 0.0000008  6000.24844  0.733  0.466 4.269  0.371 2.302
OGLE-LMC-RRLYR-00138  18.796 19.305  0.5535607 0.0000007  6000.33166  0.665  0.478 4.182  0.374 2.308
OGLE-LMC-RRLYR-00139  18.734 19.382  0.6199906 0.0000008  6000.19797  0.642  0.499 4.227  0.398 2.523
OGLE-LMC-RRLYR-00142  18.680 19.352  0.6419179 0.0000041  6000.50179  0.174  0.299 4.647  0.000   -  
OGLE-LMC-RRLYR-00144  18.874 19.460  0.5122609 0.0000004  6000.01311  0.828  0.426 4.127  0.345 1.965
OGLE-LMC-RRLYR-00145  18.821 19.447  0.6144388 0.0000013  6000.13652  0.431  0.397 4.452  0.283 2.738
OGLE-LMC-RRLYR-00146  19.018 19.566  0.4813849 0.0000004  6000.42106  0.867  0.478 4.045  0.389 2.176
OGLE-LMC-RRLYR-00147  18.763 19.405  0.6463457 0.0000031  6000.52549  0.218  0.291 4.624  0.158 3.406
OGLE-LMC-RRLYR-00148  18.769 19.343  0.6145614 0.0000008  6000.41003  0.777  0.503 4.205  0.358 2.349
OGLE-LMC-RRLYR-00149  18.477 19.085  0.7683521 0.0000117  6000.32104  0.089  0.000   -    0.000   -  
OGLE-LMC-RRLYR-00151  19.154 19.620  0.4121528 0.0000033  6000.39072  0.296  0.206 3.978  0.000   -  
OGLE-LMC-RRLYR-00152  18.805 19.422  0.6183489 0.0000011  6000.15718  0.611  0.491 4.325  0.297 2.575
OGLE-LMC-RRLYR-00153  18.961 19.512  0.5264919 0.0000008  6000.12130  0.695  0.539 4.194  0.321 2.500
OGLE-LMC-RRLYR-00154  18.570 19.133  0.6388653 0.0000006  6000.43820  0.696  0.509 4.161  0.375 2.409
OGLE-LMC-RRLYR-00155  18.801 19.398  0.5419487 0.0000026  6000.06831  0.471  0.417 4.222  0.261 2.246
OGLE-LMC-RRLYR-00156  18.826 19.399  0.5826317 0.0000013  6000.01917  0.545  0.498 4.331  0.331 2.606
OGLE-LMC-RRLYR-00157  18.958 19.569  0.5847236 0.0000013  6000.17524  0.582  0.476 4.336  0.363 2.521
OGLE-LMC-RRLYR-00158  18.718 19.330  0.5888954 0.0000009  6000.32399  0.732  0.420 4.116  0.406 2.131
OGLE-LMC-RRLYR-00159  18.843 19.481  0.6503241 0.0000024  6000.51320  0.359  0.431 4.525  0.261 3.145
OGLE-LMC-RRLYR-00161  18.596 19.077  0.5668616 0.0000011  6000.30403  0.645  0.440 4.150  0.330 2.142
OGLE-LMC-RRLYR-00162  18.863 19.431  0.5799315 0.0000008  6000.25541  0.525  0.440 4.275  0.393 2.695
OGLE-LMC-RRLYR-00163  18.925 19.491  0.5548246 0.0000009  6000.46737  0.635  0.480 4.247  0.385 2.545
OGLE-LMC-RRLYR-00165  18.939 19.613  0.5483532 0.0000014  6000.11399  0.524  0.458 4.152  0.345 2.131
OGLE-LMC-RRLYR-00167  18.683 19.215  0.5820119 0.0000012  6000.38885  0.531  0.369 4.208  0.218 1.973
OGLE-LMC-RRLYR-00168  19.064 19.554  0.4607223 0.0000005  6000.39729  0.782  0.514 4.260  0.378 2.400
OGLE-LMC-RRLYR-00169  18.897 19.432  0.5094502 0.0000005  6000.26403  0.757  0.487 4.187  0.396 2.458
OGLE-LMC-RRLYR-00170  18.891 19.391  0.5085793 0.0000008  6000.38244  0.693  0.415 4.174  0.293 2.163
OGLE-LMC-RRLYR-00171  18.833 19.404  0.5623337 0.0000006  6000.20498  0.711  0.547 4.183  0.404 2.501
OGLE-LMC-RRLYR-00174  18.772 19.351  0.5568345 0.0000009  6000.33150  0.589  0.458 4.227  0.358 2.398
OGLE-LMC-RRLYR-00175  18.836 19.448  0.5744352 0.0000009  6000.43256  0.577  0.491 4.327  0.384 2.501
OGLE-LMC-RRLYR-00176  18.747 19.423  0.7076411 0.0000027  6000.32564  0.398  0.459 4.562  0.226 3.149
OGLE-LMC-RRLYR-00177  18.191 18.830  0.8246817 0.0000032  6000.39945  0.258  0.376 4.318  0.206 3.024
OGLE-LMC-RRLYR-00178  18.863 19.486  0.6148598 0.0000015  6000.28840  0.383  0.332 4.298  0.214 2.547
OGLE-LMC-RRLYR-00179  18.876 19.423  0.4996545 0.0000010  6000.11764  0.830  0.485 4.119  0.413 2.143
OGLE-LMC-RRLYR-00180  18.923 19.556  0.5244030 0.0000009  6000.51403  0.706  0.445 4.312  0.330 2.142
OGLE-LMC-RRLYR-00182  18.920 19.506  0.5767936 0.0000027  6000.28929  0.463  0.419 4.373  0.297 2.243
OGLE-LMC-RRLYR-00185  18.959 19.637  0.6115359 0.0000047  6000.58072  0.439  0.424 4.546  0.369 2.836
OGLE-LMC-RRLYR-00186  18.961 19.680  0.6275318 0.0000020  6000.36821  0.376  0.456 4.650  0.306 3.167
OGLE-LMC-RRLYR-00187  18.793 19.320  0.5727269 0.0000012  6000.38336  0.720  0.442 4.171  0.327 2.226
OGLE-LMC-RRLYR-00188  18.903    -    0.5143342 0.0000014  6000.46301  0.524  0.448 3.957  0.260 3.029
OGLE-LMC-RRLYR-00189  18.597 19.201  0.6899165 0.0000027  6000.55358  0.261  0.383 4.535  0.202 3.027
OGLE-LMC-RRLYR-00191  18.665 19.277  0.6135156 0.0000023  6000.45745  0.488  0.433 4.228  0.227 1.968
OGLE-LMC-RRLYR-00192  18.954 19.522  0.5011677 0.0000006  6000.27750  0.783  0.515 4.104  0.359 2.229
OGLE-LMC-RRLYR-00193  19.177 19.740  0.4918241 0.0000013  6000.18063  0.401  0.481 4.601  0.263 3.294
OGLE-LMC-RRLYR-00194  18.707 19.259  0.5392208 0.0000005  6000.40343  0.727  0.474 4.147  0.385 2.272
OGLE-LMC-RRLYR-00195  18.676 19.174  0.5835356 0.0000007  6000.50773  0.689  0.485 4.160  0.351 2.353
OGLE-LMC-RRLYR-00198  18.852 19.380  0.5408388 0.0000022  6000.17065  0.506  0.385 4.053  0.210 2.128
OGLE-LMC-RRLYR-00199  18.794 19.387  0.5341337 0.0000011  6000.40156  0.562  0.428 4.269  0.296 2.273
OGLE-LMC-RRLYR-00203  18.758    -    0.4959407 0.0000040  6000.07890  0.505  0.168 4.348  0.067 3.976
OGLE-LMC-RRLYR-00206  18.694 19.343  0.6688596 0.0000022  6000.50578  0.364  0.467 4.430  0.306 2.826
OGLE-LMC-RRLYR-00208  18.839 19.418  0.5899031 0.0000008  6000.25221  0.719  0.492 4.157  0.373 2.267
OGLE-LMC-RRLYR-00209  18.879 19.440  0.5515500 0.0000007  6000.28083  0.664  0.477 4.215  0.368 2.477
OGLE-LMC-RRLYR-00210  18.896 19.465  0.5411139 0.0000006  6000.11657  0.667  0.507 4.150  0.376 2.274
OGLE-LMC-RRLYR-00211  18.980 19.617  0.6103137 0.0000019  6000.40370  0.374  0.495 4.737  0.297 3.140
OGLE-LMC-RRLYR-00212  18.855 19.530  0.6103079 0.0000009  6000.04333  0.540  0.506 4.435  0.352 2.868
OGLE-LMC-RRLYR-00214  18.727 19.258  0.5392698 0.0000006  6000.28065  0.666  0.529 4.234  0.403 2.442
OGLE-LMC-RRLYR-00215  18.679 19.224  0.5814358 0.0000005  6000.00085  0.738  0.404 4.176  0.363 2.035
OGLE-LMC-RRLYR-00216  18.763 19.434  0.6348608 0.0000021  6000.55986  0.327  0.385 4.454  0.236 3.109
OGLE-LMC-RRLYR-00217  18.703    -    0.6923560 0.0000016  6000.03005  0.414  0.451 4.813  0.000   -  
OGLE-LMC-RRLYR-00219  18.593 19.243  0.7139044 0.0000024  6000.26948  0.340  0.397 4.695  0.210 3.217
OGLE-LMC-RRLYR-00220  18.869 19.389  0.5897793 0.0000017  6000.23395  0.509  0.459 4.557  0.319 2.923
OGLE-LMC-RRLYR-00221  18.948 19.486  0.5632101 0.0000007  6000.07104  0.688  0.465 4.202  0.364 2.471
OGLE-LMC-RRLYR-00222  18.779    -    0.6479070 0.0000036  6000.38291  0.194  0.000   -    0.713 0.628
OGLE-LMC-RRLYR-00223  18.911 19.329  0.4850531 0.0000023  6000.14392  0.391  0.164 3.839  0.000   -  
OGLE-LMC-RRLYR-00224  19.081 19.689  0.6191645 0.0000037  6000.13180  0.214  0.284 5.247  0.000   -  
OGLE-LMC-RRLYR-00225  18.605 19.135  0.6058517 0.0000015  6000.23760  0.515  0.422 4.283  0.278 2.398
OGLE-LMC-RRLYR-00226  19.136    -    0.5072564 0.0000033  6000.07469  0.732  0.543 4.518  0.352 2.458
OGLE-LMC-RRLYR-00228  18.875 19.520  0.5646512 0.0000011  6000.48045  0.534  0.401 4.178  0.350 2.402
OGLE-LMC-RRLYR-00229  18.754 19.260  0.5612599 0.0000006  6000.11140  0.698  0.459 4.254  0.397 2.242
OGLE-LMC-RRLYR-00230  18.620 19.161  0.5913296 0.0000007  6000.37053  0.597  0.505 4.281  0.372 2.567
OGLE-LMC-RRLYR-00231  18.704 19.328  0.6732659 0.0000013  6000.44365  0.520  0.501 4.523  0.316 3.003
OGLE-LMC-RRLYR-00232  18.847 19.469  0.5792621 0.0000009  6000.21739  0.553  0.421 4.227  0.382 2.575
OGLE-LMC-RRLYR-00234  19.029 19.673  0.5579761 0.0000013  6000.03228  0.414  0.459 4.556  0.267 3.058
OGLE-LMC-RRLYR-00235  18.713 19.298  0.6054467 0.0000012  6000.32697  0.502  0.403 4.230  0.318 2.182
OGLE-LMC-RRLYR-00236  18.839 19.429  0.5775327 0.0000008  6000.17785  0.588  0.479 4.181  0.389 2.563
OGLE-LMC-RRLYR-00238  18.626 19.283  0.7263411 0.0000022  6000.56538  0.317  0.399 4.697  0.220 3.296
OGLE-LMC-RRLYR-00239  19.017 19.532  0.5113321 0.0000007  6000.50753  0.781  0.502 4.181  0.373 2.345
OGLE-LMC-RRLYR-00240  18.478 19.102  0.7313028 0.0000019  6000.29311  0.284  0.388 4.774  0.226 3.638
OGLE-LMC-RRLYR-00241  18.672 19.313  0.6104153 0.0000017  6000.26140  0.582  0.471 4.292  0.311 2.444
OGLE-LMC-RRLYR-00244  18.804 19.298  0.5540512 0.0000008  6000.44972  0.661  0.439 4.213  0.338 2.234
OGLE-LMC-RRLYR-00245  18.915 19.500  0.5309557 0.0000007  6000.17299  0.577  0.482 4.144  0.319 2.291
OGLE-LMC-RRLYR-00246  18.794 19.423  0.6402607 0.0000069  6000.02163  0.119  0.141   -    0.000   -  
OGLE-LMC-RRLYR-00248  18.792 19.341  0.5406411 0.0000009  6000.07892  0.689  0.512 4.255  0.323 2.400
OGLE-LMC-RRLYR-00249  19.054 19.635  0.4949618 0.0000009  6000.46082  0.735  0.532 4.062  0.354 2.015
OGLE-LMC-RRLYR-00251  18.471 19.057  0.6743627 0.0000013  6000.31575  0.635  0.516 4.319  0.359 2.603
OGLE-LMC-RRLYR-00254  18.598 19.145  0.5120625 0.0000004  6000.26219  0.828  0.467 4.124  0.368 2.193
OGLE-LMC-RRLYR-00256  18.877 19.457  0.5620141 0.0000013  6000.12915  0.491  0.410 4.262  0.285 2.310
OGLE-LMC-RRLYR-00257  18.761 19.239  0.5380273 0.0000008  6000.05014  0.566  0.425 4.131  0.281 2.414
OGLE-LMC-RRLYR-00258  18.721 19.251  0.5530398 0.0000005  6000.36521  0.771  0.446 4.143  0.355 2.110
OGLE-LMC-RRLYR-00261  18.603 19.208  0.5995131 0.0000013  6000.21341  0.382  0.425 4.566  0.275 3.127
OGLE-LMC-RRLYR-00262  18.740 19.356  0.6247944 0.0000012  6000.09441  0.470  0.480 4.475  0.327 2.961
OGLE-LMC-RRLYR-00263  18.728 19.311  0.5997012 0.0000008  6000.28155  0.554  0.482 4.382  0.358 2.756
OGLE-LMC-RRLYR-00264  18.687 19.288  0.5936420 0.0000007  6000.37245  0.554  0.460 4.416  0.361 2.603
OGLE-LMC-RRLYR-00265  18.741 19.337  0.5806229 0.0000013  6000.08442  0.549  0.463 4.409  0.348 2.785
OGLE-LMC-RRLYR-00266  18.695 19.283  0.6371147 0.0000016  6000.16662  0.413  0.405 4.255  0.324 2.561
OGLE-LMC-RRLYR-00268  19.076 19.741  0.5158789 0.0000007  6000.50582  0.714  0.491 4.053  0.358 2.105
OGLE-LMC-RRLYR-00269  19.000 19.596  0.5970420 0.0000015  6000.29105  0.424  0.468 4.797  0.261 3.336
OGLE-LMC-RRLYR-00271  18.870 19.374  0.4938864 0.0000005  6000.05398  0.817  0.465 4.124  0.373 2.025
OGLE-LMC-RRLYR-00272  18.837 19.543  0.5234328 0.0000016  6000.16545  0.556  0.422 4.264  0.220 2.124
OGLE-LMC-RRLYR-00273  18.836 19.389  0.5183759 0.0000021  6000.14574  0.412  0.534 4.353  0.369 2.721
OGLE-LMC-RRLYR-00274  18.689 19.387  0.6513290 0.0000034  6000.27678  0.212  0.352 4.640  0.100 3.549
OGLE-LMC-RRLYR-00275  18.935 19.611  0.6438613 0.0000039  6000.32260  0.231  0.335 4.937  0.127 3.468
OGLE-LMC-RRLYR-00276  19.015 19.534  0.4841570 0.0000012  6000.40705  0.778  0.483 4.177  0.326 2.238
OGLE-LMC-RRLYR-00277  19.200 19.729  0.4552595 0.0000006  6000.05472  0.779  0.551 4.345  0.345 2.601
OGLE-LMC-RRLYR-00278  18.785 19.407  0.5829676 0.0000019  6000.51228  0.479  0.483 4.252  0.352 2.755
OGLE-LMC-RRLYR-00279  18.900 19.511  0.5835063 0.0000011  6000.23743  0.511  0.493 4.297  0.329 2.541
OGLE-LMC-RRLYR-00280  18.829 19.412  0.5884266 0.0000015  6000.47697  0.420  0.408 4.315  0.237 2.684
OGLE-LMC-RRLYR-00283  18.979 19.529  0.5383360 0.0000007  6000.18567  0.717  0.478 4.244  0.386 2.439
