Star,HJD-2400000.0,Magnitude,Uncertainty in Magnitude,Passband
AB UMa,56754.4846,11.244000000000002,0.023,B
AB UMa,56792.2093,11.138,0.022000000000000002,B
AB UMa,56792.2115,11.149000000000001,0.022000000000000002,B
AB UMa,56792.2137,11.148,0.022000000000000002,B
AB UMa,56792.2159,11.148,0.022000000000000002,B
AB UMa,56792.218,11.159,0.022000000000000002,B
AB UMa,56792.2203,11.168,0.022000000000000002,B
AB UMa,56792.2224,11.17,0.022000000000000002,B
AB UMa,56792.2246,11.184000000000001,0.022000000000000002,B
AB UMa,56792.2268,11.187999999999999,0.022000000000000002,B
AB UMa,56792.229,11.194,0.022000000000000002,B
AB UMa,56792.2313,11.2,0.022000000000000002,B
AB UMa,56792.2334,11.197000000000001,0.022000000000000002,B
AB UMa,56792.2356,11.195,0.022000000000000002,B
AB UMa,56792.2875,11.290999999999999,0.023,B
AB UMa,56792.2898,11.302,0.023,B
AB UMa,56792.292,11.302,0.023,B
AB UMa,56792.2943,11.300999999999998,0.023,B
AB UMa,56792.2966,11.3,0.023,B
AB UMa,56792.2988,11.307,0.023,B
AB UMa,56792.3011,11.311,0.024,B
AB UMa,56792.3034,11.32,0.024,B
AB UMa,56792.3057,11.335,0.024,B
AB UMa,56792.308,11.315999999999999,0.024,B
AB UMa,56792.3102,11.325999999999999,0.024,B
AB UMa,56792.3125,11.342,0.024,B
AB UMa,56792.3148,11.338,0.024,B
AB UMa,56792.3172,11.339,0.024,B
AB UMa,56792.3194,11.335,0.024,B
AB UMa,56792.3216,11.344000000000001,0.024,B
AB UMa,56792.3239,11.355,0.024,B
AB UMa,56792.3262,11.353,0.024,B
AB UMa,56792.3286,11.36,0.024,B
AB UMa,56811.2607,11.258,0.023,B
AB UMa,56811.2628,11.254000000000001,0.023,B
AB UMa,56811.265,11.245,0.023,B
AB UMa,56811.2672,11.225999999999999,0.023,B
AB UMa,56811.2693,11.229000000000001,0.023,B
AB UMa,56811.2715,11.229000000000001,0.023,B
AB UMa,56811.2738,11.204,0.023,B
AB UMa,56811.2759,11.219000000000001,0.023,B
AB UMa,56811.2781,11.204,0.023,B
AB UMa,56811.2802,11.195,0.023,B
AB UMa,56811.2824,11.182,0.023,B
AB UMa,56811.2846,11.196,0.023,B
AB UMa,56811.2867,11.2,0.023,B
AB UMa,56811.2889,11.164000000000001,0.023,B
AB UMa,56811.291,11.172,0.023,B
AB UMa,56811.2932,11.17,0.023,B
AB UMa,56811.2953,11.145,0.023,B
AB UMa,56811.2975,11.151,0.023,B
AB UMa,56811.2996,11.147,0.022000000000000002,B
AB UMa,56728.1856,11.398,0.028999999999999998,B
AB UMa,56728.1921,11.417,0.028999999999999998,B
AB UMa,56728.1941,11.407,0.03,B
AB UMa,56728.1961,11.395,0.027999999999999997,B
AB UMa,56728.1982,11.41,0.027999999999999997,B
AB UMa,56728.2002,11.436,0.027999999999999997,B
AB UMa,56728.2022,11.437000000000001,0.028999999999999998,B
AB UMa,56728.2043,11.419,0.028999999999999998,B
AB UMa,56728.2063,11.418,0.028999999999999998,B
AB UMa,56728.2083,11.432,0.028999999999999998,B
AB UMa,56728.2103,11.424000000000001,0.03,B
AB UMa,56728.2123,11.43,0.031,B
AB UMa,56728.2143,11.459000000000001,0.03,B
AB UMa,56728.2163,11.44,0.027999999999999997,B
AB UMa,56728.2183,11.447000000000001,0.027000000000000003,B
AB UMa,56728.2203,11.436,0.027999999999999997,B
AB UMa,56728.2223,11.439,0.027000000000000003,B
AB UMa,56728.2243,11.446,0.027999999999999997,B
AB UMa,56728.2263,11.448,0.027999999999999997,B
AB UMa,56728.2283,11.475999999999999,0.027999999999999997,B
AB UMa,56728.2303,11.458,0.027999999999999997,B
AB UMa,56728.2498,11.482000000000001,0.026000000000000002,B
AB UMa,56728.2519,11.484000000000002,0.027000000000000003,B
AB UMa,56728.2539,11.49,0.027000000000000003,B
AB UMa,56728.256,11.5,0.027000000000000003,B
AB UMa,56728.258,11.491,0.027000000000000003,B
AB UMa,56728.26,11.485,0.027000000000000003,B
AB UMa,56728.2621,11.507,0.027000000000000003,B
AB UMa,56728.2641,11.491,0.027000000000000003,B
AB UMa,56728.2661,11.498,0.027000000000000003,B
AB UMa,56728.2682,11.5,0.027000000000000003,B
AB UMa,56728.2702,11.5,0.026000000000000002,B
AB UMa,56728.2722,11.502,0.027000000000000003,B
AB UMa,56728.2743,11.511,0.027000000000000003,B
AB UMa,56728.2763,11.512,0.027000000000000003,B
AB UMa,56728.2783,11.51,0.027000000000000003,B
AB UMa,56728.2804,11.517999999999999,0.027000000000000003,B
AB UMa,56728.2825,11.520999999999999,0.027000000000000003,B
AB UMa,56728.2845,11.501,0.027000000000000003,B
AB UMa,56728.2865,11.512,0.026000000000000002,B
AB UMa,56728.2886,11.52,0.027000000000000003,B
AB UMa,56728.2906,11.529000000000002,0.027000000000000003,B
AB UMa,56728.2927,11.524000000000001,0.027000000000000003,B
AB UMa,56728.2947,11.520999999999999,0.027000000000000003,B
AB UMa,56728.2967,11.525,0.027000000000000003,B
AB UMa,56728.2987,11.52,0.026000000000000002,B
AB UMa,56728.3007,11.532,0.026000000000000002,B
AB UMa,56728.3027,11.53,0.026000000000000002,B
AB UMa,56728.3047,11.535,0.026000000000000002,B
AB UMa,56728.3068,11.527000000000001,0.026000000000000002,B
AB UMa,56728.3088,11.537,0.027000000000000003,B
AB UMa,56728.3108,11.532,0.027000000000000003,B
AB UMa,56728.3128,11.530999999999999,0.026000000000000002,B
AB UMa,56728.3149,11.537,0.027000000000000003,B
AB UMa,56728.317,11.54,0.027000000000000003,B
AB UMa,56728.319,11.544,0.027000000000000003,B
AB UMa,56728.3209,11.546,0.026000000000000002,B
AB UMa,56728.3229,11.552,0.027000000000000003,B
AB UMa,56728.3249,11.552,0.027000000000000003,B
AB UMa,56728.327,11.539000000000001,0.027000000000000003,B
AB UMa,56728.3931,11.59,0.027999999999999997,B
AB UMa,56728.3951,11.595,0.027999999999999997,B
AB UMa,56728.3971,11.600999999999999,0.027000000000000003,B
AB UMa,56728.3991,11.585,0.027999999999999997,B
AB UMa,56728.4011,11.591,0.027999999999999997,B
AB UMa,56728.4032,11.603,0.027999999999999997,B
AB UMa,56728.4059,11.607999999999999,0.027999999999999997,B
AB UMa,56728.4079,11.614,0.027999999999999997,B
AB UMa,56728.4099,11.593,0.027000000000000003,B
AB UMa,56728.4119,11.612,0.027000000000000003,B
AB UMa,56728.4138,11.609000000000002,0.027000000000000003,B
AB UMa,56728.4305,11.620999999999999,0.033,B
AB UMa,56728.4326,11.619000000000002,0.035,B
AB UMa,56728.4347,11.610999999999999,0.031,B
AB UMa,56728.4367,11.604000000000001,0.03,B
AB UMa,56728.4388,11.6,0.033,B
AB UMa,56728.4409,11.604000000000001,0.032,B
AB UMa,56728.443,11.607999999999999,0.031,B
AB UMa,56728.445,11.607999999999999,0.032,B
AB UMa,56728.447,11.606,0.03,B
AB UMa,56728.4491,11.607000000000001,0.031,B
AB UMa,56728.4512,11.607000000000001,0.028999999999999998,B
AB UMa,56728.4532,11.585999999999999,0.035,B
AB UMa,56728.4552,11.562999999999999,0.035,B
AB UMa,56728.4573,11.607999999999999,0.035,B
AB UMa,56728.4593,11.575,0.034,B
AB UMa,56728.4614,11.587,0.031,B
AB UMa,56728.4634,11.589,0.034,B
AB UMa,56728.4655,11.55,0.031,B
AB UMa,56728.4676,11.548,0.034,B
AB UMa,56728.4696,11.562000000000001,0.03,B
AB UMa,56728.4716,11.552999999999999,0.027000000000000003,B
AB UMa,56728.4737,11.538,0.027000000000000003,B
AB UMa,56728.4758,11.526,0.027999999999999997,B
AB UMa,56728.4778,11.519,0.03,B
AB UMa,56728.4798,11.51,0.027999999999999997,B
AB UMa,56728.4819,11.495,0.034,B
AB UMa,56728.484,11.502,0.03,B
AB UMa,56728.486,11.493,0.033,B
AB UMa,56793.376,11.083,0.027000000000000003,B
AB UMa,56793.3783,11.089,0.027000000000000003,B
AB UMa,56793.3807,11.102,0.027000000000000003,B
AB UMa,56793.383,11.107000000000001,0.027000000000000003,B
AB UMa,56793.3854,11.105,0.027000000000000003,B
AB UMa,56793.3878,11.097000000000001,0.027999999999999997,B
AB UMa,56793.3901,11.125,0.027000000000000003,B
AB UMa,56793.3925,11.100999999999999,0.027000000000000003,B
AB UMa,56793.3948,11.118,0.026000000000000002,B
AB UMa,56793.3972,11.13,0.027000000000000003,B
AB UMa,56793.3996,11.155,0.028999999999999998,B
AB UMa,56793.4019,11.12,0.028999999999999998,B
AB UMa,56793.4043,11.167,0.03,B
AB UMa,56793.4067,11.159,0.03,B
AB UMa,56793.409,11.14,0.031,B
AB UMa,56793.4114,11.114,0.03,B
AB UMa,56793.4144,11.145,0.036000000000000004,B
AB UMa,56796.3342,11.078,0.026000000000000002,B
AB UMa,56796.3365,11.085,0.025,B
AB UMa,56796.3389,11.072000000000001,0.026000000000000002,B
AB UMa,56796.3412,11.069,0.026000000000000002,B
AB UMa,56796.3436,11.062000000000001,0.026000000000000002,B
AB UMa,56796.3459,11.050999999999998,0.027000000000000003,B
AB UMa,56796.3483,11.062000000000001,0.027000000000000003,B
AB UMa,56796.3506,11.079,0.027000000000000003,B
AB UMa,56796.353,11.062000000000001,0.026000000000000002,B
AB UMa,56796.3561,11.074000000000002,0.027999999999999997,B
AB UMa,56796.3584,11.074000000000002,0.027000000000000003,B
AB UMa,56796.3608,11.069,0.027000000000000003,B
AB UMa,56796.3631,11.073,0.027999999999999997,B
AB UMa,56796.3655,11.082,0.028999999999999998,B
AB UMa,56796.3678,11.072000000000001,0.028999999999999998,B
AB UMa,56754.486,10.261,0.016,I
AB UMa,56792.2108,10.237,0.015,I
AB UMa,56792.213,10.221,0.015,I
AB UMa,56792.2152,10.244000000000002,0.015,I
AB UMa,56792.2173,10.25,0.015,I
AB UMa,56792.2196,10.245,0.015,I
AB UMa,56792.2217,10.245999999999999,0.015,I
AB UMa,56792.2239,10.245,0.015,I
AB UMa,56792.2261,10.244000000000002,0.015,I
AB UMa,56792.2283,10.251,0.015,I
AB UMa,56792.2306,10.255999999999998,0.015,I
AB UMa,56792.2327,10.255999999999998,0.015,I
AB UMa,56792.2349,10.247,0.015,I
AB UMa,56792.2371,10.255999999999998,0.015,I
AB UMa,56792.289,10.28,0.015,I
AB UMa,56792.2913,10.272,0.016,I
AB UMa,56792.2936,10.277999999999999,0.016,I
AB UMa,56792.2958,10.276,0.015,I
AB UMa,56792.2981,10.279000000000002,0.016,I
AB UMa,56792.3004,10.277999999999999,0.016,I
AB UMa,56792.3027,10.276,0.016,I
AB UMa,56792.305,10.29,0.016,I
AB UMa,56792.3073,10.277000000000001,0.016,I
AB UMa,56792.3095,10.287,0.016,I
AB UMa,56792.3118,10.277999999999999,0.016,I
AB UMa,56792.3141,10.286,0.016,I
AB UMa,56792.3164,10.3,0.016,I
AB UMa,56792.3187,10.296,0.016,I
AB UMa,56792.3209,10.294,0.016,I
AB UMa,56792.3232,10.296,0.016,I
AB UMa,56792.3255,10.294,0.016,I
AB UMa,56792.3278,10.314,0.016,I
AB UMa,56792.3301,10.305,0.016,I
AB UMa,56811.2621,10.333,0.016,I
AB UMa,56811.2643,10.325,0.016,I
AB UMa,56811.2664,10.32,0.016,I
AB UMa,56811.2686,10.315999999999999,0.016,I
AB UMa,56811.2708,10.317,0.016,I
AB UMa,56811.2731,10.294,0.016,I
AB UMa,56811.2752,10.290999999999999,0.016,I
AB UMa,56811.2774,10.299000000000001,0.015,I
AB UMa,56811.2795,10.3,0.015,I
AB UMa,56811.2817,10.29,0.016,I
AB UMa,56811.2838,10.290999999999999,0.016,I
AB UMa,56811.286,10.290999999999999,0.016,I
AB UMa,56811.2882,10.3,0.016,I
AB UMa,56811.2903,10.296,0.016,I
AB UMa,56811.2925,10.286,0.016,I
AB UMa,56811.2946,10.28,0.015,I
AB UMa,56811.2968,10.277999999999999,0.016,I
AB UMa,56811.299,10.275,0.015,I
AB UMa,56811.3011,10.267999999999999,0.015,I
AB UMa,56728.1869,10.317,0.018000000000000002,I
AB UMa,56728.1934,10.312000000000001,0.019,I
AB UMa,56728.1955,10.331,0.019,I
AB UMa,56728.1975,10.328,0.018000000000000002,I
AB UMa,56728.1996,10.324000000000002,0.018000000000000002,I
AB UMa,56728.2016,10.309000000000001,0.018000000000000002,I
AB UMa,56728.2036,10.325999999999999,0.019,I
AB UMa,56728.2057,10.327,0.019,I
AB UMa,56728.2077,10.318,0.019,I
AB UMa,56728.2097,10.325999999999999,0.019,I
AB UMa,56728.2117,10.334000000000001,0.02,I
AB UMa,56728.2136,10.335,0.019,I
AB UMa,56728.2157,10.33,0.018000000000000002,I
AB UMa,56728.2177,10.322000000000001,0.018000000000000002,I
AB UMa,56728.2197,10.347999999999999,0.018000000000000002,I
AB UMa,56728.2218,10.34,0.018000000000000002,I
AB UMa,56728.2237,10.335999999999999,0.017,I
AB UMa,56728.2257,10.356,0.018000000000000002,I
AB UMa,56728.2278,10.34,0.018000000000000002,I
AB UMa,56728.2297,10.339,0.018000000000000002,I
AB UMa,56728.2317,10.343,0.018000000000000002,I
AB UMa,56728.2512,10.35,0.017,I
AB UMa,56728.2533,10.353,0.017,I
AB UMa,56728.2554,10.349,0.017,I
AB UMa,56728.2574,10.349,0.017,I
AB UMa,56728.2594,10.370999999999999,0.017,I
AB UMa,56728.2614,10.360999999999999,0.017,I
AB UMa,56728.2635,10.365,0.017,I
AB UMa,56728.2655,10.36,0.017,I
AB UMa,56728.2675,10.374,0.017,I
AB UMa,56728.2696,10.364,0.017,I
AB UMa,56728.2716,10.368,0.017,I
AB UMa,56728.2736,10.377,0.017,I
AB UMa,56728.2757,10.373,0.017,I
AB UMa,56728.2777,10.360999999999999,0.017,I
AB UMa,56728.2798,10.366,0.017,I
AB UMa,56728.2818,10.38,0.017,I
AB UMa,56728.2839,10.363,0.017,I
AB UMa,56728.2859,10.378,0.017,I
AB UMa,56728.288,10.384,0.017,I
AB UMa,56728.29,10.384,0.017,I
AB UMa,56728.292,10.382,0.018000000000000002,I
AB UMa,56728.2941,10.380999999999998,0.017,I
AB UMa,56728.296,10.387,0.017,I
AB UMa,56728.2981,10.379000000000001,0.017,I
AB UMa,56728.3001,10.378,0.017,I
AB UMa,56728.3021,10.392999999999999,0.017,I
AB UMa,56728.3041,10.407,0.017,I
AB UMa,56728.3061,10.384,0.017,I
AB UMa,56728.3082,10.399000000000001,0.017,I
AB UMa,56728.3102,10.386,0.017,I
AB UMa,56728.3122,10.39,0.017,I
AB UMa,56728.3143,10.397,0.017,I
AB UMa,56728.3163,10.394,0.017,I
AB UMa,56728.3184,10.397,0.017,I
AB UMa,56728.3203,10.395999999999999,0.017,I
AB UMa,56728.3223,10.401,0.017,I
AB UMa,56728.3243,10.390999999999998,0.017,I
AB UMa,56728.3263,10.395,0.017,I
AB UMa,56728.3284,10.398,0.017,I
AB UMa,56728.3944,10.457,0.018000000000000002,I
AB UMa,56728.3965,10.468,0.018000000000000002,I
AB UMa,56728.3985,10.448,0.018000000000000002,I
AB UMa,56728.4006,10.463,0.018000000000000002,I
AB UMa,56728.4026,10.462,0.018000000000000002,I
AB UMa,56728.4046,10.460999999999999,0.018000000000000002,I
AB UMa,56728.4073,10.460999999999999,0.018000000000000002,I
AB UMa,56728.4093,10.470999999999998,0.018000000000000002,I
AB UMa,56728.4112,10.465,0.018000000000000002,I
AB UMa,56728.4132,10.47,0.018000000000000002,I
AB UMa,56728.4152,10.469000000000001,0.018000000000000002,I
AB UMa,56728.4319,10.494000000000002,0.022000000000000002,I
AB UMa,56728.434,10.495999999999999,0.022000000000000002,I
AB UMa,56728.4361,10.485999999999999,0.02,I
AB UMa,56728.4382,10.487,0.02,I
AB UMa,56728.4402,10.48,0.021,I
AB UMa,56728.4423,10.5,0.021,I
AB UMa,56728.4444,10.495,0.021,I
AB UMa,56728.4464,10.498,0.02,I
AB UMa,56728.4485,10.494000000000002,0.02,I
AB UMa,56728.4505,10.491,0.02,I
AB UMa,56728.4525,10.469000000000001,0.021,I
AB UMa,56728.4546,10.511,0.024,I
AB UMa,56728.4567,10.482000000000001,0.023,I
AB UMa,56728.4587,10.474,0.024,I
AB UMa,56728.4607,10.507,0.021,I
AB UMa,56728.4628,10.49,0.02,I
AB UMa,56728.4648,10.488,0.023,I
AB UMa,56728.4669,10.458,0.021,I
AB UMa,56728.469,10.469000000000001,0.021,I
AB UMa,56728.471,10.470999999999998,0.019,I
AB UMa,56728.4731,10.477,0.018000000000000002,I
