Star,Mean B Magnitude,Uncertainty in Mean B Magnitude,Mean V Magnitude,Uncertainty in Mean V Magnitude,Mean I Magnitude,Uncertainty in Mean I Magnitude
AB UMa,11.359000000000002,0.009000000000000001,10.912,0.009000000000000001,10.342,0.009000000000000001
AE Boo,10.887,0.009000000000000001,10.64,0.009000000000000001,10.254000000000001,0.009000000000000001
AM Tuc,11.918,0.006,11.626,0.006,11.187999999999999,0.006
AN Ser,11.321,0.008,10.935,0.008,10.446,0.008
AP Ser,11.368,0.008,11.129000000000001,0.008,10.765,0.008
AV Peg,10.862,0.008,10.470999999999998,0.008,9.971,0.008
BB Pup,12.585999999999999,0.006999999999999999,12.159,0.006999999999999999,11.602,0.006999999999999999
BH Peg,10.899000000000001,0.005,10.425999999999998,0.005,9.812999999999999,0.005
BX Leo,11.831,0.006,11.584000000000001,0.006,11.21,0.006
CS Eri,9.244,0.006,9.01,0.006,8.657,0.006
CU Com,13.654000000000002,0.009000000000000001,13.345999999999998,0.009000000000000001,12.873,0.009000000000000001
DH Peg,9.8,0.01,9.52,0.01,9.113,0.01
DX Del,10.359000000000002,0.006999999999999999,9.927,0.006999999999999999,9.367,0.006999999999999999
HK Pup,11.761,0.005,11.312000000000001,0.005,10.707,0.005
MT Tel,9.187999999999999,0.006999999999999999,8.966000000000001,0.006999999999999999,8.607999999999999,0.006999999999999999
RR Cet,10.075,0.006,9.722999999999999,0.006,9.219,0.006
RR Gem,11.689,0.011000000000000001,11.349,0.011000000000000001,10.874,0.011000000000000001
RR Leo,11.0,0.006999999999999999,10.716,0.006999999999999999,10.28,0.006999999999999999
RR Lyr,8.101,0.006,7.716,0.006,7.206,0.006999999999999999
RU Psc,10.458,0.004,10.162,0.004,9.729,0.004
RU Scl,10.555,0.004,10.238,0.004,9.805,0.004
RV CrB,11.618,0.008,11.383,0.006999999999999999,11.012,0.006999999999999999
RV Oct,11.386,0.006999999999999999,10.953,0.006999999999999999,10.335,0.006999999999999999
RV UMa,10.979000000000001,0.021,10.710999999999999,0.021,10.335999999999999,0.021
RX Eri,10.083,0.003,9.675,0.003,9.12,0.003
RZ Cep,9.907,0.02,9.396,0.011000000000000001,8.747,0.013999999999999999
ST Boo,11.265,0.012,10.94,0.012,10.484000000000002,0.012
ST CVn,11.591,0.01,11.337,0.01,10.949000000000002,0.01
SU Dra,10.124,0.006999999999999999,9.781,0.006999999999999999,9.286,0.006999999999999999
SV Eri,10.357000000000001,0.004,9.949,0.004,9.379,0.004
SV Hya,10.849,0.006,10.538,0.006,10.059,0.006
SV Scl,11.579,0.004,11.368,0.004,11.007,0.004
SW And,10.097000000000001,0.006,9.692,0.006,9.169,0.008
SW Dra,10.815,0.006999999999999999,10.470999999999998,0.006999999999999999,9.977,0.006999999999999999
SX UMa,11.04,0.01,10.847999999999999,0.01,10.532,0.01
T Sex,10.294,0.008,10.032,0.008,9.673,0.008
TT Lyn,10.217,0.011000000000000001,9.853,0.011000000000000001,9.318,0.011000000000000001
TU UMa,10.156,0.006999999999999999,9.816,0.006999999999999999,9.318999999999999,0.006999999999999999
TV Boo,11.179,0.009000000000000001,10.985999999999999,0.009000000000000001,10.652000000000001,0.009000000000000001
TW Her,11.554,0.005,11.249,0.005,10.817,0.005
UU Vir,10.868,0.006999999999999999,10.561,0.006999999999999999,10.118,0.006999999999999999
UV Oct,9.844,0.006999999999999999,9.471,0.006999999999999999,8.94,0.006999999999999999
UY Boo,11.28,0.009000000000000001,10.927,0.009000000000000001,10.427999999999999,0.009000000000000001
UY Cam,11.685,0.009000000000000001,11.507,0.009000000000000001,11.207,0.027999999999999997
UY Cyg,11.515,0.017,11.095999999999998,0.017,10.495999999999999,0.017
V Ind,10.282,0.006,9.972000000000001,0.006,9.509,0.006
V0440 Sgr,10.703,0.008,10.312000000000001,0.008,9.805,0.008
V0675 Sgr,10.706,0.006999999999999999,10.298,0.006999999999999999,9.72,0.006999999999999999
VX Her,10.978,0.009000000000000001,10.689,0.009000000000000001,10.244000000000002,0.009000000000000001
W Crt,11.844000000000001,0.006999999999999999,11.530999999999999,0.006999999999999999,11.099,0.006999999999999999
WY Ant,11.217,0.004,10.850999999999999,0.004,10.324000000000002,0.004
X Ari,10.061,0.006,9.562000000000001,0.006,8.868,0.006999999999999999
XX And,11.017999999999999,0.009000000000000001,10.675999999999998,0.009000000000000001,10.145,0.009000000000000001
XZ Cyg,9.902999999999999,0.008,9.645,0.008,9.237,0.008
YZ Cap,11.56,0.006999999999999999,11.3,0.006999999999999999,10.902000000000001,0.006999999999999999
