Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
OGLE-LMC-RRLYR-00001,17.770039000000008,0.03,-0.19739585364147402,0
OGLE-LMC-RRLYR-00002,17.922724000000002,0.03,-0.20376025789702756,1
OGLE-LMC-RRLYR-00003,17.685181,0.03,-0.18276718801590214,2
OGLE-LMC-RRLYR-00004,18.027556,0.03,-0.29040418596838696,3
OGLE-LMC-RRLYR-00005,17.957643,0.03,-0.191551412108996,4
OGLE-LMC-RRLYR-00006,17.750836,0.03,-0.22183485241528958,5
OGLE-LMC-RRLYR-00007,17.962328,0.03,-0.2573878942079315,6
OGLE-LMC-RRLYR-00008,17.61776,0.03,-0.10363077416704981,7
OGLE-LMC-RRLYR-00010,17.846246999999995,0.03,-0.22615923504900742,8
OGLE-LMC-RRLYR-00011,17.966993000000002,0.03,-0.2568232174704339,9
OGLE-LMC-RRLYR-00012,17.766389,0.03,-0.2149820434278929,10
OGLE-LMC-RRLYR-00014,17.918298,0.03,-0.1941641371088482,11
OGLE-LMC-RRLYR-00016,18.048043999999994,0.03,-0.22301487445113674,12
OGLE-LMC-RRLYR-00017,18.004804999999998,0.03,-0.23960398220316168,13
OGLE-LMC-RRLYR-00018,17.729069,0.03,-0.19267073554606098,14
OGLE-LMC-RRLYR-00019,18.478561000000003,0.03,-0.3713739588084986,15
OGLE-LMC-RRLYR-00022,17.976545999999995,0.03,-0.2879951486928185,16
OGLE-LMC-RRLYR-00023,18.166753999999997,0.03,-0.2627811095208692,17
OGLE-LMC-RRLYR-00024,17.823445,0.03,-0.24155276366712636,18
OGLE-LMC-RRLYR-00025,17.864658000000006,0.03,-0.22176595202825936,19
OGLE-LMC-RRLYR-00026,17.926531,0.03,-0.1982682574209025,20
OGLE-LMC-RRLYR-00027,17.501505999999996,0.03,-0.10024399016906119,21
OGLE-LMC-RRLYR-00028,18.027186,0.03,-0.23406022625904224,22
OGLE-LMC-RRLYR-00030,17.780200999999998,0.03,-0.17179396563466534,23
OGLE-LMC-RRLYR-00031,17.932119999999998,0.03,-0.1951957267564256,24
OGLE-LMC-RRLYR-00033,18.178348,0.03,-0.3254536302166633,25
OGLE-LMC-RRLYR-00034,17.746014000000002,0.03,-0.30102287329288124,26
OGLE-LMC-RRLYR-00036,17.969318000000005,0.03,-0.21514751039283783,27
OGLE-LMC-RRLYR-00037,17.731836,0.03,-0.1735449995853714,28
OGLE-LMC-RRLYR-00039,17.947257000000004,0.03,-0.2066996250010161,29
OGLE-LMC-RRLYR-00041,17.975454999999997,0.03,-0.20303698764256786,30
OGLE-LMC-RRLYR-00043,18.037074000000004,0.03,-0.24975835775132055,31
OGLE-LMC-RRLYR-00044,17.873789999999996,0.03,-0.19440909793917452,32
OGLE-LMC-RRLYR-00045,17.873511000000004,0.03,-0.2317428688151033,33
OGLE-LMC-RRLYR-00047,18.180277,0.03,-0.3192298656484775,34
OGLE-LMC-RRLYR-00048,18.152033,0.03,-0.30126136252350816,35
OGLE-LMC-RRLYR-00049,18.222758999999993,0.03,-0.317323351200862,36
OGLE-LMC-RRLYR-00050,18.090998000000003,0.03,-0.24811523133089283,37
OGLE-LMC-RRLYR-00051,18.037799999999997,0.03,-0.2588283026853563,38
OGLE-LMC-RRLYR-00056,18.231094,0.03,-0.28746966159134235,39
OGLE-LMC-RRLYR-00057,17.701571999999995,0.03,-0.1612734731290927,40
OGLE-LMC-RRLYR-00058,18.104724,0.03,-0.23217539012887337,41
OGLE-LMC-RRLYR-00059,18.096536,0.03,-0.2770002069175515,42
