Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V3,11.209089999999998,0.03,-0.2952680809728724,0
V5,10.680969999999999,0.03,-0.205929655445471,1
V7,10.90366,0.03,-0.30208468260845733,2
V8,10.87767,0.03,-0.29394515471798977,3
V9,10.833,0.03,-0.24268409529999602,4
V10,10.986350000000002,0.03,-0.3091684273537441,5
V12,11.014319999999998,0.03,-0.35055824594393664,6
V16,10.798990000000002,0.03,-0.2655616250010757,7
V18,10.86833,0.03,-0.3198531056379405,8
V19,10.913,0.03,-0.32992950552166767,9
V21,10.648990000000001,0.03,-0.32605118336411076,10
V25,10.688989999999997,0.03,-0.212727453405958,11
V26,10.832339999999999,0.03,-0.26662826544304014,12
V27,10.668989999999997,0.03,-0.21323558469592271,13
V32,10.367619999999999,0.03,-0.2372428728315566,14
V33,10.686350000000001,0.03,-0.2112411212187305,15
V34,10.93625,0.03,-0.2558635475987528,16
V36,10.90366,0.03,-0.26655460769641764,17
V52,10.297620000000002,0.03,-0.06778108264803016,18
