Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V001,23.25588546798029,0.03,-0.21467016498923297,0
V003,23.4402290640394,0.03,-0.25181197299379954,1
V004,23.54029433497537,0.03,-0.2684112348132613,2
V005,23.230241379310343,0.03,-0.15304467498017607,3
V006,23.130767241379303,0.03,-0.22112552799726048,4
V008,23.24414532019703,0.03,-0.19586056766464957,5
V011,23.142476600985226,0.03,-0.1804560644581313,6
V012,23.327030788177332,0.03,-0.23507701535011147,7
V013,23.342362068965517,0.03,-0.2358238676096693,8
V014,23.4678854679803,0.03,-0.266000713461613,9
V018,23.48710221674876,0.03,-0.2692177243336109,10
V021,23.258288177339896,0.03,-0.16367588429324834,11
V023,23.35492857142856,0.03,-0.23210238398190938,12
V024,23.263826354679797,0.03,-0.21467016498923297,13
V025,23.1447302955665,0.03,-0.16621562534352105,14
V028,23.41208374384236,0.03,-0.2218487496163564,15
V030,23.366235221674877,0.03,-0.22841251911874466,17
V032,23.190584975369447,0.03,-0.16941133131485567,18
V033,23.302247536945796,0.03,-0.23507701535011147,19
V034,23.611842364532013,0.03,-0.2924298239020636,20
V037,23.101507389162553,0.03,-0.12378215940835775,22
V041,23.43022290640394,0.03,-0.23732143627256383,23
V042,23.492541871921176,0.03,-0.28735029837278864,24
V045,23.463312807881774,0.03,-0.22329881601158919,25
V047,23.056043103448264,0.03,-0.20134935455473107,26
V049,23.44553571428571,0.03,-0.25103713874383854,27
V050,23.310222906403933,0.03,-0.1778319206319825,28
V053,23.073513546798026,0.03,-0.15614457737683893,29
V054,23.29013916256157,0.03,-0.21324857785443882,30
V055,23.36488546798029,0.03,-0.22329881601158919,31
V057,23.523860837438413,0.03,-0.294992040666664,32
V060,23.429674876847283,0.03,-0.24718356881172854,33
V061,23.293578817733987,0.03,-0.2388241868442685,34
V063,23.472517241379308,0.03,-0.28066871301627333,35
V064,23.475674876847282,0.03,-0.28399665636520083,36
V065,23.45356034482758,0.03,-0.26121944151563087,37
V067,23.614179802955675,0.03,-0.3169529617611504,38
V068,23.416910098522166,0.03,-0.28735029837278864,39
V069,23.392523399014788,0.03,-0.21041928783557454,40
V074,23.470402709359604,0.03,-0.27245874297144357,41
V075,23.486910098522166,0.03,-0.27736607746618774,42
V076,23.278795566502463,0.03,-0.19449914184159983,43
V077,23.408408866995078,0.03,-0.2196826878598487,44
V078,23.107705665024632,0.03,-0.1106982974936897,45
V079,22.960501231527086,0.03,-0.10072681268239624,46
V080,23.394030788177346,0.03,-0.2588484011482149,47
V082,23.47410221674876,0.03,-0.28819277095880896,49
V083,23.421789408866992,0.03,-0.2502636844309389,50
V084,23.597848522167478,0.03,-0.324221658325915,51
V088,23.693142857142853,0.03,-0.3223930472795068,52
V089,23.271030788177335,0.03,-0.2395775165767879,53
V091,23.288247536945814,0.03,-0.1824346304402192,54
V096,23.383770935960584,0.03,-0.21183162885883233,55
V099,23.30757881773398,0.03,-0.22475374025976358,56
V101,23.472644088669945,0.03,-0.27818938478745336,57
V102,23.49486699507388,0.03,-0.30627305107635305,58
V106,23.50821674876847,0.03,-0.31247103878536564,60
V108,23.47122906403942,0.03,-0.2749054789185309,61
V109,23.16833743842364,0.03,-0.19586056766464957,62
V110,23.497770935960595,0.03,-0.3098039199714863,63
V111,23.248133004926107,0.03,-0.20134935455473107,64
V112,23.802619458128078,0.03,-0.3381873144627388,65
V113,23.321464285714285,0.03,-0.19044028536473223,66
V114,23.77495689655171,0.03,-0.3516399890190684,67
V117,23.315464285714278,0.03,-0.2218487496163564,68
V119,23.03362807881773,0.03,-0.13312218566250114,70
V120,23.080850985221673,0.03,-0.1917890270757779,71
V121,23.414102216748766,0.03,-0.2388241868442685,72
V122,23.042814039408853,0.03,-0.14266750356873156,73
V124,23.426783251231527,0.03,-0.2588484011482149,74
V125,23.274681034482754,0.03,-0.20690839982341983,75
V126,23.283229064039404,0.03,-0.16494389827988373,76
V127,23.461662561576343,0.03,-0.24488773360492885,77
