Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
OGLE-SMC-RRLYR-0001,18.295962000000003,0.03,-0.25273233343064244,0
OGLE-SMC-RRLYR-0002,18.134069,0.03,-0.225633421084909,1
OGLE-SMC-RRLYR-0003,18.257196000000004,0.03,-0.18663287572676363,2
OGLE-SMC-RRLYR-0005,18.187937,0.03,-0.2477478274627696,3
OGLE-SMC-RRLYR-0006,18.198885999999998,0.03,-0.2618663720357165,4
OGLE-SMC-RRLYR-0008,18.298673,0.03,-0.19868089302461261,5
OGLE-SMC-RRLYR-0010,18.498962000000002,0.03,-0.257253429370326,6
OGLE-SMC-RRLYR-0011,18.259794999999997,0.03,-0.2249255245810748,7
OGLE-SMC-RRLYR-0012,18.302865999999998,0.03,-0.20368097654791495,8
OGLE-SMC-RRLYR-0013,18.135932000000004,0.03,-0.17316196380169174,9
OGLE-SMC-RRLYR-0014,18.279267,0.03,-0.21868639464505218,10
OGLE-SMC-RRLYR-0015,18.245799999999996,0.03,-0.2146751487249976,11
OGLE-SMC-RRLYR-0016,17.078821,0.03,-0.1844898581275912,12
OGLE-SMC-RRLYR-0018,18.602895999999998,0.03,-0.2511892845814417,13
OGLE-SMC-RRLYR-0019,17.972327999999994,0.03,-0.17470912532168253,14
OGLE-SMC-RRLYR-0022,18.488226000000004,0.03,-0.22713297997292048,15
OGLE-SMC-RRLYR-0023,18.277424,0.03,-0.23060745911159014,16
OGLE-SMC-RRLYR-0025,17.890983,0.03,-0.19184455007493234,17
OGLE-SMC-RRLYR-0027,18.240815,0.03,-0.24246337973847773,18
OGLE-SMC-RRLYR-0029,18.227876000000002,0.03,-0.22642307586954796,19
OGLE-SMC-RRLYR-0030,18.196353,0.03,-0.21049536653551462,20
OGLE-SMC-RRLYR-0031,18.448561,0.03,-0.27424733878090096,21
OGLE-SMC-RRLYR-0033,18.151728999999992,0.03,-0.21816157895500965,22
OGLE-SMC-RRLYR-0036,18.248545999999997,0.03,-0.28214425417053973,23
OGLE-SMC-RRLYR-0039,18.361013,0.03,-0.2339349507966793,24
OGLE-SMC-RRLYR-0041,18.318409000000006,0.03,-0.22533518034660863,25
OGLE-SMC-RRLYR-0042,18.083937000000002,0.03,-0.242386043471234,26
OGLE-SMC-RRLYR-0043,18.378023000000002,0.03,-0.20444822483527753,27
OGLE-SMC-RRLYR-0044,17.753714000000006,0.03,-0.19908677760824892,28
OGLE-SMC-RRLYR-0045,18.599358,0.03,-0.29135028441189936,29
OGLE-SMC-RRLYR-0046,18.065724000000007,0.03,-0.13625696993597133,30
OGLE-SMC-RRLYR-0047,18.301824999999997,0.03,-0.25243850673735985,31
OGLE-SMC-RRLYR-0048,17.847887000000007,0.03,-0.22837452919879664,32
OGLE-SMC-RRLYR-0049,18.196505000000002,0.03,-0.23120470816139463,33
OGLE-SMC-RRLYR-0051,12.533240999999995,0.03,-0.13248460685727853,34
OGLE-SMC-RRLYR-0052,16.612984,0.03,-0.2268083021138741,35
OGLE-SMC-RRLYR-0053,18.459353,0.03,-0.25456854606398255,36
OGLE-SMC-RRLYR-0054,18.389739000000002,0.03,-0.23508955186661196,37
OGLE-SMC-RRLYR-0056,18.01447,0.03,-0.22162406035530463,38
OGLE-SMC-RRLYR-0057,18.250738999999996,0.03,-0.1998941125600735,39
OGLE-SMC-RRLYR-0058,18.424683,0.03,-0.2437623933018944,40
OGLE-SMC-RRLYR-0059,18.745292,0.03,-0.33097010898566737,41
OGLE-SMC-RRLYR-0060,18.253211,0.03,-0.2321348461137129,42
OGLE-SMC-RRLYR-0063,18.573693,0.03,-0.33251211816281895,43
OGLE-SMC-RRLYR-0064,18.506687999999997,0.03,-0.2641441123382333,44
OGLE-SMC-RRLYR-0066,17.949144999999998,0.03,-0.24588944443109337,45
OGLE-SMC-RRLYR-0068,18.218003000000003,0.03,-0.1967119233519075,46
OGLE-SMC-RRLYR-0069,18.149738999999997,0.03,-0.19964803369294562,47
OGLE-SMC-RRLYR-0072,18.039748999999997,0.03,-0.2552906850508275,48
OGLE-SMC-RRLYR-0075,18.384155,0.03,-0.2818903495292587,49
OGLE-SMC-RRLYR-0076,18.226733999999997,0.03,-0.1777043326683938,50
OGLE-SMC-RRLYR-0077,18.160404,0.03,-0.21869961658376946,51
OGLE-SMC-RRLYR-0078,18.110216,0.03,-0.19712403945879678,52
OGLE-SMC-RRLYR-0079,18.137266999999998,0.03,-0.16576437190359786,53
OGLE-SMC-RRLYR-0080,18.275109000000004,0.03,-0.2993066645204649,54
OGLE-SMC-RRLYR-0082,18.195475000000002,0.03,-0.18193894516044284,55
OGLE-SMC-RRLYR-0083,18.21247,0.03,-0.22154998541838786,56
OGLE-SMC-RRLYR-0084,18.238759,0.03,-0.24155352108832098,57
OGLE-SMC-RRLYR-0085,18.176129999999993,0.03,-0.17085659186165753,58
OGLE-SMC-RRLYR-0087,18.178880999999997,0.03,-0.22934663149382079,59
