Star,Wesenheit Magnitude,Log Period,Star Code
V001,24.069540000000003,-0.24158947483392126,0
V002,24.14327999999998,-0.24448438942364206,1
V004,24.14828000000001,-0.21345149673652009,2
V005,24.03976,-0.23271954143623078,3
V008,23.630700000000008,-0.10669783386166937,4
V010,24.297340000000002,-0.23650851359517824,5
V011,24.0825,-0.32030526423224315,6
V012,23.755139999999997,-0.2052142295923064,7
V013,24.190320000000014,-0.2884836799216115,8
V015,23.663059999999994,-0.15056150081696598,9
V016,23.70998,-0.19163611732136876,10
V017,23.906380000000002,-0.19486944596370673,11
V019,24.224519999999988,-0.24988085110948544,12
V020,24.163359999999994,-0.2394480303852417,13
V021,24.070320000000013,-0.2757599410428504,14
V022,23.82884,-0.19393309414627688,15
V023,23.796340000000008,-0.2095739615794216,16
V024,23.932740000000006,-0.2462027781317149,17
V025,23.976059999999997,-0.19162733996492437,18
V027,23.542360000000002,-0.2741754647812661,19
V029,24.11413999999999,-0.28080694812850476,20
V030,23.942280000000018,-0.21337766610649078,21
V031,24.03267999999999,-0.24389000089633725,22
V032,24.058439999999997,-0.24158947483392126,23
V033,23.982179999999993,-0.22558089026571357,24
V035,24.005579999999988,-0.22638837719925203,25
V036,24.01248,-0.5473675370469545,26
V037,24.113799999999994,-0.2569949579057849,27
V038,24.297279999999994,-0.27320000924117677,28
V039,23.926779999999997,-0.20871493967135538,29
V040,24.046559999999992,-0.30367684469978407,30
V041,24.086540000000007,-0.23952642915048714,31
V042,24.17024,-0.2699922575959084,32
V043,23.98642000000001,-0.24453395854086937,33
V044,24.124519999999986,-0.2732106002495479,34
V046,23.971080000000008,-0.2966225876364547,35
V047,23.673080000000006,-0.09375545911842634,36
V048,22.934120000000004,-0.20008262995723772,37
V049,24.257739999999995,-0.2584462028817968,38
V051,23.847580000000015,-0.17642232091210266,39
V052,24.18024,-0.250684570863363,40
V055,23.91086000000001,-0.22060770604433003,41
V056,24.019660000000002,-0.25067451518092804,42
V057,23.87110000000001,-0.15954954021376722,43
V059,23.945879999999985,-0.22407443383652234,44
V060,23.88963999999999,-0.2358471828316247,45
V062,23.848439999999982,-0.18511972159895115,46
V063,23.64364,-0.18564749247621748,47
V064,23.81317999999999,-0.19501980362106147,48
V065,23.785359999999994,-0.17134993651378252,49
V066,23.82961999999999,-0.17869965786075753,50
V067,23.809819999999988,-0.2456656721812104,51
V068,23.966899999999995,-0.22902073536424614,52
V069,23.89268000000001,-0.23873329467668594,53
V070,23.69464,-0.19346567420190877,54
V072,24.050819999999995,-0.2622608824456745,55
V073,24.01446000000002,-0.23537125918248464,56
V074,23.933340000000005,-0.20918079388564276,57
V075,24.016799999999996,-0.24931913097086697,58
V076,23.69292000000001,-0.14733941952055288,59
V077,24.16196,-0.3161699299055219,60
V078,23.870560000000015,-0.2081948697448987,61
V079,24.104879999999987,-0.2784851135680918,62
V080,24.113039999999998,-0.22604619943494147,63
V081,23.836740000000002,-0.19501980362106147,64
V083,23.86984,-0.20676560822285964,65
V086,23.994780000000013,-0.253985328705215,66
V087,23.830239999999986,-0.245218590749897,67
V088,23.637799999999995,-0.12232144743215669,68
V089,23.73373999999999,-0.16035737136149822,69
V090,23.624419999999997,-0.09238439481277662,70
V091,23.978280000000005,-0.22704497244044755,71
V092,23.6974,-0.15752434029903198,72
V094,24.116640000000004,-0.2756640702054615,73
V095,23.47622000000001,-0.07947580051715256,74
V096,24.103919999999995,-0.2844109411266027,75
V098,23.859660000000012,-0.22450972705427305,76
V099,24.07308000000001,-0.2894721245019085,77
V100,23.936879999999984,-0.25123799226283,78
V101,23.941120000000016,-0.23851812533409553,79
V103,23.72381999999999,-0.1841782496060221,80
V104,24.270339999999987,-0.2791502969010354,81
V105,23.856820000000013,-0.19363318200120366,82
V106,23.764079999999993,-0.1924092201996126,83
V108,23.947740000000014,-0.20103234928169933,84
V111,24.04521999999999,-0.27132945773669054,85
V115,23.791939999999986,-0.20099647308396792,86
V119,23.662740000000003,-0.15554084896156165,87
V120,23.802720000000004,-0.1841782496060221,88
V121,23.87317999999999,-0.1934304176331415,89
V122,23.62338,-0.10867289089756225,90
V123,24.005359999999992,-0.20673834323950066,91
V124,23.81494,-0.18721728672856564,92
V125,24.047280000000008,-0.20676560822285964,93
V127,23.959859999999995,-0.2336371001245129,94
V128,24.154559999999993,-0.28487850954195215,95
V129,23.8224,-0.2678424342729039,96
V130,24.460319999999992,-0.35198224396351857,97
V131,23.95998000000001,-0.23820534192476306,98
V132,23.830180000000002,-0.20096956788043788,99
V133,23.86097999999998,-0.19103966082347407,100
V136,23.66884,-0.16470786641505994,101
V137,23.9892,-0.21791378697460412,102
V138,23.924979999999994,-0.2544618182944477,103
V139,23.984999999999992,-0.22708306639130293,104
V140,23.93079999999999,-0.20994001879779478,105
V141,23.73224000000001,-0.17153426683751014,106
V142,23.883380000000013,-0.20918079388564276,107
V144,23.9362,-0.2442564443269943,108
V145,23.949639999999977,-0.20866929457503824,109
V146,24.15832,-0.2902534879711123,110
V149,23.979359999999993,-0.21119610801008534,111
