Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V001,24.60220452799997,0.06,-0.2814983111327257,0
V002,23.76284950199999,0.06,-0.20342566678957033,1
V003,23.93054427599998,0.06,-0.13489602535887207,2
V004,25.874455987999962,0.06,-0.29929628285498067,3
V008,22.190573141999998,0.06,-0.20342566678957033,4
V010,24.006861951999973,0.06,-0.23657200643706275,5
V011,25.817421466,0.06,-0.2298847052128984,6
V012,26.168906279999998,0.06,-0.2196826878598487,7
V015,24.815813658,0.06,-0.24872089601665776,8
V016,24.199145105999982,0.06,-0.23210238398190938,9
V017,24.030303943999975,0.06,-0.1857524042680798,10
V020,24.844375815999985,0.06,-0.3115801779972894,11
V022,24.262273571999998,0.06,-0.24260397120697574,12
V023,24.356917223999986,0.06,-0.24565166428898116,13
V024,25.251984946000004,0.06,-0.25103713874383854,14
V027,24.959337143999974,0.06,-0.2055119533408304,15
V029,25.19607888999998,0.06,-0.17392519729917355,16
V030,24.570255649999993,0.06,-0.18842499412940666,17
V031,25.560327521999977,0.06,-0.3169529617611504,18
V032,24.221265271999993,0.06,-0.2410881076020265,19
V033,23.860493153999982,0.06,-0.23358715288760054,20
V034,24.34575008599998,0.06,-0.21183162885883233,21
V037,24.684414487999977,0.06,-0.29929628285498067,22
V038,23.77012850599998,0.06,-0.21609642072726507,23
V039,25.12286892999999,0.06,-0.26440110030182007,24
V040,24.397522203999987,0.06,-0.22329881601158919,25
V043,24.162625769999988,0.06,-0.27572413039921095,26
V046,24.635204527999996,0.06,-0.20273245916928356,27
V047,24.005102283999992,0.06,-0.2041199826559248,28
V048,26.55808171799998,0.06,-0.22841251911874466,29
V049,24.60676668599999,0.06,-0.23657200643706275,30
V050,24.274471081999987,0.06,-0.22621355501880647,31
V051,24.260758385999974,0.06,-0.2596373105057561,32
V052,24.118625769999998,0.06,-0.2433638917541519,33
V053,23.95438128799998,0.06,-0.21609642072726507,34
V054,23.652484853999994,0.06,-0.2006594505464183,35
V055,24.68892967399998,0.06,-0.2924298239020636,36
V056,24.07626112199997,0.06,-0.14206473528057098,37
V057,24.27663821999998,0.06,-0.16941133131485567,38
V058,24.991306771999998,0.06,-0.29929628285498067,39
V059,24.963019467999978,0.06,-0.2218487496163564,40
V061,25.092547103999994,0.06,-0.1972262747080243,41
V062,24.845895151999994,0.06,-0.21896306137886817,42
V063,25.374246027999995,0.06,-0.27572413039921095,43
V064,24.57568104199998,0.06,-0.22841251911874466,44
V065,24.870302621999986,0.06,-0.24260397120697574,45
V066,24.633685191999973,0.06,-0.22621355501880647,46
V069,26.392480887999973,0.06,-0.22329881601158919,47
V071,24.555200378000006,0.06,-0.2410881076020265,48
V072,24.95238411599998,0.06,-0.3187587626244128,49
V073,24.22535091599997,0.06,-0.1592667653881933,50
V075,24.31920037799997,0.06,-0.22329881601158919,51
V076,24.180067761999993,0.06,-0.1985962899826449,52
V077,25.564284699999984,0.06,-0.26121944151563087,53
V079,24.035509753999982,0.06,-0.25414480482627105,54
V081,24.007703113999987,0.06,-0.29413628771608075,55
V082,24.169711413999995,0.06,-0.16621562534352105,56
V083,24.566367515999996,0.06,-0.21896306137886817,57
V084,24.45619622799998,0.06,-0.2298847052128984,58
V085,24.308277721999975,0.06,-0.28232949699773785,59
V086,24.788976645999988,0.06,-0.294992040666664,60
V087,24.151303943999988,0.06,-0.22112552799726048,61
V088,24.90025564999998,0.06,-0.2628073572952627,62
V090,23.887857801999985,0.06,-0.24412514432750865,63
V091,22.99237430999998,0.06,-0.20690839982341983,64
V094,23.99374178599998,0.06,-0.2358238676096693,65
V095,25.56344353799999,0.06,-0.2652001704111531,66
V096,23.41419754999998,0.06,-0.19586056766464957,67
V097,24.847779136,0.06,-0.2557070168773237,68
V098,24.907903451999985,0.06,-0.16052195262580163,69
V099,24.088904774000003,0.06,-0.25181197299379954,70
V100,23.555085683999994,0.06,-0.22914798835785583,71
V102,24.362603697999994,0.06,-0.29157909986528724,72
V103,24.32063406999999,0.06,-0.21681130892474243,73
V106,25.053547103999993,0.06,-0.22841251911874466,74
V107,24.709654819999976,0.06,-0.2907300390241692,75
V111,24.620328843999992,0.06,-0.22112552799726048,76
V113,24.22139373799999,0.06,-0.21253952548158497,77
V114,25.39259822599999,0.06,-0.27901425584626094,78
V117,24.28263406999999,0.06,-0.1972262747080243,79
V118,25.402280549999993,0.06,-0.27083521030722996,80
V122,25.140791585999985,0.06,-0.2652001704111531,81
V123,23.977140955999992,0.06,-0.2588484011482149,82
V124,24.745053989999974,0.06,-0.27002571430044436,83
V125,24.69229017199998,0.06,-0.1938200260161128,84
V126,24.44483987999999,0.06,-0.2557070168773237,85
V129,24.057029089999975,0.06,-0.20690839982341983,86
V130,24.215149255999993,0.06,-0.24565166428898116,87
V131,25.062426937999984,0.06,-0.28903688100472424,88
V133,24.585732163999968,0.06,-0.24565166428898116,89
V134,24.19534676599998,0.06,-0.25414480482627105,90
V137,24.949306771999986,0.06,-0.2433638917541519,91
V139,23.668124356000007,0.06,-0.23210238398190938,92
V140,24.142350916,0.06,-0.2749054789185309,93
V141,24.71677913599997,0.06,-0.1784864715952269,94
V143,24.20987440199997,0.06,-0.2636034977233575,95
V144,24.17203323999999,0.06,-0.18442225167573273,96
V145,23.38819339999998,0.06,-0.23136189875238547,97
V146,24.873306771999975,0.06,-0.2636034977233575,98
V147,23.707562197999984,0.06,-0.20690839982341983,99
V148,24.073540125999976,0.06,-0.22694530663573742,100
V149,24.85737166600001,0.06,-0.24184537803261005,101
V151,24.942830257999983,0.06,-0.18442225167573273,102
V152,24.560406187999984,0.06,-0.2395775165767879,103
V155,24.549135483999997,0.06,-0.27736607746618774,104
V156,23.768814979999995,0.06,-0.28735029837278864,105
V157,24.25099871799999,0.06,-0.25181197299379954,106
V158,24.10622659999999,0.06,-0.24641694110709336,107
V163,24.665565025999978,0.06,-0.2588484011482149,108
V164,25.140031917999995,0.06,-0.22767829327708017,109
V165,24.401076061999984,0.06,-0.18442225167573273,110
V167,24.065020789999995,0.06,-0.20971483596675833,111
V168,24.337277721999975,0.06,-0.25414480482627105,112
V170,25.635812335999983,0.06,-0.27083521030722996,113
V171,25.489967024000002,0.06,-0.321481620959886,114
V172,24.371518054,0.06,-0.29328221766324125,115
V174,25.323357893999983,0.06,-0.3106911408763798,116
V180,24.399131334000003,0.06,-0.2410881076020265,117
V181,25.00527224999999,0.06,-0.007446482167864384,118
V185,24.522200378000004,0.06,-0.2765443279648142,119
V186,24.281951745999983,0.06,-0.24488773360492885,120
V190,25.592928352,0.06,-0.24872089601665776,121
V192,24.491839879999993,0.06,-0.20901152491118416,122
V193,25.09686477999998,0.06,-0.2967086218813386,123
V194,24.65012303399998,0.06,-0.25103713874383854,124
V195,24.766937973999983,0.06,-0.2596373105057561,125
V197,24.69929847199998,0.06,-0.24949160514865382,126
V198,25.465808185999993,0.06,-0.26042765554990815,127
V202,25.10911341199999,0.06,-0.24260397120697574,128
V204,24.405239049999995,0.06,-0.24184537803261005,129
V205,24.251196227999966,0.06,-0.24718356881172854,130
V206,25.17516453399999,0.06,-0.1979107421182673,131
V207,24.376599547999987,0.06,-0.2984320149440726,132
V208,24.264269421999995,0.06,-0.14266750356873156,133
V209,24.847015318,0.06,-0.24412514432750865,134
V210,24.640689341999988,0.06,-0.18775530319963074,135
V211,25.411520881999998,0.06,-0.23136189875238547,136
V212,23.839493153999996,0.06,-0.1778319206319825,137
V215,23.927973817999987,0.06,-0.23433144524098595,138
V216,25.277280549999993,0.06,-0.26760624017703144,139
V217,25.46124602799997,0.06,-0.20690839982341983,140
V220,24.048106433999994,0.06,-0.22475374025976358,141
V221,24.896019467999977,0.06,-0.25414480482627105,142
V223,24.56948768199999,0.06,-0.32882715728491674,143
V224,24.54089515199997,0.06,-0.1778319206319825,144
V225,23.880698963999997,0.06,-0.11238269966426384,145
V227,23.860269422000005,0.06,-0.22329881601158919,146
V228,25.771610675999984,0.06,-0.2006594505464183,147
V229,23.739814979999995,0.06,-0.22475374025976358,148
V230,25.559284699999985,0.06,-0.266000713461613,149
V231,25.197362043999973,0.06,-0.2358238676096693,150
V232,25.152748763999977,0.06,-0.18775530319963074,151
V233,23.359515225999974,0.06,-0.26760624017703144,152
V234,24.197466932,0.06,-0.21609642072726507,153
V235,24.73508851199999,0.06,-0.23136189875238547,154
V238,24.832294322000006,0.06,-0.28399665636520083,155
V239,25.34728469999998,0.06,-0.14630178822382556,156
V240,25.205671419999987,0.06,-0.28819277095880896,157
V241,24.45144071,0.06,-0.3169529617611504,158
V244,24.713371665999986,0.06,-0.28483264215154214,159
V247,25.326834408,0.06,-0.22841251911874466,160
V248,24.059265271999976,0.06,-0.12033079436794646,161
V249,25.15643523799999,0.06,-0.1972262747080243,162
V250,24.92290345199997,0.06,-0.2814983111327257,163
V251,24.817534653999985,0.06,-0.20342566678957033,164
V252,24.825170005999983,0.06,-0.27572413039921095,165
V253,24.086745935999982,0.06,-0.23136189875238547,166
V256,24.73969349199998,0.06,-0.2564902352715703,167
V258,24.83113963399997,0.06,-0.18775530319963074,168
V260,24.481243199999987,0.06,-0.23358715288760054,169
V261,24.323114733999972,0.06,-0.3089185078770315,170
V262,24.498165856000007,0.06,-0.3205721033878811,171
V263,24.39371971399999,0.06,-0.23732143627256383,172
V264,25.553971173999983,0.06,-0.24565166428898116,173
V265,24.335719713999985,0.06,-0.21324857785443882,174
V266,24.978710091999993,0.06,-0.28399665636520083,175
V267,24.951542954,0.06,-0.24641694110709336,176
V268,24.558805357999987,0.06,-0.26121944151563087,177
V269,24.901942123999984,0.06,-0.23210238398190938,178
V270,24.029866101999975,0.06,-0.28399665636520083,179
V271,23.529081533999985,0.06,-0.21324857785443882,180
V274,24.246831579999988,0.06,-0.17069622716897506,181
V275,24.63129432199999,0.06,-0.2865094569060575,182
V276,25.59300984599998,0.06,-0.3098039199714863,183
V277,24.84102361799997,0.06,-0.29413628771608075,184
V279,24.959654819999976,0.06,-0.22841251911874466,185
V281,24.631131333999992,0.06,-0.23284413391781958,186
V283,25.937545781999972,0.06,-0.23136189875238547,187
V284,24.23623489999999,0.06,-0.2732727909734278,188
V285,25.75817698399997,0.06,-0.3187587626244128,189
V286,24.15083157999999,0.06,-0.27736607746618774,190
V292,24.967903451999984,0.06,-0.2628073572952627,191
V293,24.581852329999986,0.06,-0.2740883677049518,192
V296,25.066589926,0.06,-0.29413628771608075,193
V297,25.046426937999996,0.06,-0.28399665636520083,194
V299,24.63629432199999,0.06,-0.10846254232743553,195
V300,24.126908923999995,0.06,-0.2410881076020265,196
V303,24.634007017999984,0.06,-0.22767829327708017,197
V305,25.115551253999996,0.06,-0.22475374025976358,198
V306,24.696817807999977,0.06,-0.2479515521805615,199
V307,24.467839879999993,0.06,-0.28399665636520083,200
V308,24.893263949999987,0.06,-0.33068311943388784,201
V309,23.716252821999976,0.06,-0.294992040666664,202
V310,24.775573325999986,0.06,-0.27083521030722996,203
V311,25.17956370399998,0.06,-0.2557070168773237,204
V314,24.359788757999972,0.06,-0.34198860334288755,205
V315,21.775573141999995,0.06,-0.27164621797877153,206
V317,24.89774461399999,0.06,-0.29929628285498067,207
V318,24.68013133399999,0.06,-0.28483264215154214,208
V321,24.310548426000008,0.06,-0.25414480482627105,209
V322,24.144067762000002,0.06,-0.27572413039921095,210
V323,24.205711413999982,0.06,-0.12378215940835775,211
V324,23.86588817399999,0.06,-0.25414480482627105,212
V325,24.07867274199998,0.06,-0.2865094569060575,213
V326,24.27452220399999,0.06,-0.2732727909734278,214
V327,24.526239049999994,0.06,-0.26760624017703144,215
V329,23.920501453999975,0.06,-0.21183162885883233,216
V331,24.683616148000002,0.06,-0.3115801779972894,217
V332,24.67488685199998,0.06,-0.23657200643706275,218
V333,24.791341293999988,0.06,-0.19517932127883766,219
V334,23.758651991999994,0.06,-0.2395775165767879,220
V336,25.06271009199998,0.06,-0.1784864715952269,221
V338,24.1622266,0.06,-0.2395775165767879,222
V339,24.153870251999976,0.06,-0.21609642072726507,223
V341,24.68573216399997,0.06,-0.2652001704111531,224
V342,24.542848179999986,0.06,-0.24565166428898116,225
V343,25.314074739999988,0.06,-0.2218487496163564,226
V346,25.83222395599998,0.06,-0.2502636844309389,227
V347,24.791011167999976,0.06,-0.23136189875238547,228
V348,24.85486062999998,0.06,-0.324221658325915,229
V349,25.697851007999997,0.06,-0.26440110030182007,230
V350,24.267114733999986,0.06,-0.2572748686953018,231
V351,25.143761213999998,0.06,-0.20760831050174613,232
V352,22.481704435999994,0.06,-0.29328221766324125,233
V354,25.253512581999992,0.06,-0.24872089601665776,234
V356,24.098874401999993,0.06,-0.26121944151563087,235
V359,25.209516731999994,0.06,-0.3018994543766101,236
V362,24.876062289999993,0.06,-0.21041928783557454,237
V363,25.618808186000006,0.06,-0.2692177243336109,238
