Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V01,24.32587399999998,0.06,-0.23732143627256383,0
V07,24.33614999999999,0.06,-0.1857524042680798,1
V08,24.346644,0.06,-0.22914798835785583,2
V09,24.385251999999994,0.06,-0.2395775165767879,3
V11,24.43083400000001,0.06,-0.27245874297144357,4
V12,24.160844000000008,0.06,-0.26042765554990815,5
V14,24.57955799999999,0.06,-0.26121944151563087,6
V15,24.463122000000002,0.06,-0.20481541031757602,7
V16,24.227266,0.06,-0.27164621797877153,8
V17,24.373309999999986,0.06,-0.2557070168773237,9
V18,24.195484,0.06,-0.2740883677049518,10
V19,24.14659799999999,0.06,-0.2182446253475311,11
V20,24.077438,0.06,-0.22841251911874466,12
V21,24.27022399999998,0.06,-0.3098039199714863,13
V22,24.30434,0.06,-0.28483264215154214,14
V23,24.175598000000004,0.06,-0.1719849357760232,15
V24,24.12735199999999,0.06,-0.22694530663573742,16
V25,24.200424,0.06,-0.20342566678957033,17
V26,24.229583999999985,0.06,-0.2907300390241692,18
V27,24.415528000000005,0.06,-0.22257317761068865,19
V29,24.333384000000002,0.06,-0.27083521030722996,20
V31,23.919452,0.06,-0.1890957193312996,21
V32,24.312716000000005,0.06,-0.14448084433219982,22
V33,24.231962000000014,0.06,-0.24641694110709336,23
V35,24.142235999999997,0.06,-0.21896306137886817,24
V36,24.561992,0.06,-0.2684112348132613,25
V37,24.407903999999995,0.06,-0.16052195262580163,26
V38,24.02988800000001,0.06,-0.26121944151563087,27
V39,24.577455999999998,0.06,-0.21467016498923297,28
V41,24.163382000000006,0.06,-0.2907300390241692,29
V42,24.152467999999992,0.06,-0.22475374025976358,30
V43,23.970131999999996,0.06,-0.23136189875238547,31
V45,24.688646,0.06,-0.2628073572952627,32
V46,24.576137999999997,0.06,-0.1857524042680798,33
V47,24.418817999999998,0.06,-0.24412514432750865,34
V49,24.309454000000002,0.06,-0.2636034977233575,35
V50,24.284526000000007,0.06,-0.21183162885883233,36
V51,24.363757999999986,0.06,-0.21681130892474243,37
V53,24.36676000000001,0.06,-0.23284413391781958,38
V54,24.706181999999988,0.06,-0.28567024025476695,39
V55,24.240525999999996,0.06,-0.23210238398190938,40
V56,24.367033999999983,0.06,-0.2549252084179425,41
V57,24.299221999999986,0.06,-0.24184537803261005,42
V58,24.482296000000012,0.06,-0.18442225167573273,43
V59,24.357903999999984,0.06,-0.19654288435158612,44
V60,24.15951000000001,0.06,-0.22914798835785583,45
V61,24.389177999999994,0.06,-0.27818938478745336,46
V62,24.268672000000002,0.06,-0.1911141326401879,47
V63,24.35731,0.06,-0.1864190114318081,48
V64,24.40374600000001,0.06,-0.26680273489343054,49
V66,24.389150000000004,0.06,-0.1985962899826449,50
V68,24.17031,0.06,-0.22621355501880647,51
V70,24.118670000000005,0.06,-0.2765443279648142,52
V71,24.015640000000005,0.06,-0.2628073572952627,53
V72,24.697384000000017,0.06,-0.23807216157947098,54
V73,24.535093999999983,0.06,-0.1804560644581313,55
V74,24.480978000000025,0.06,-0.2502636844309389,56
V75,24.116509999999998,0.06,-0.22257317761068865,57
V76,24.443571999999982,0.06,-0.27736607746618774,58
V77,24.34610599999999,0.06,-0.24488773360492885,59
V78,24.086393999999988,0.06,-0.3187587626244128,60
V79,24.46631,0.06,-0.19449914184159983,61
V82,24.050943999999994,0.06,-0.2564902352715703,62
V85,23.897479999999998,0.06,-0.1864190114318081,63
V87,24.173264000000003,0.06,-0.22257317761068865,64
V88,24.563456000000013,0.06,-0.20690839982341983,65
V89,24.350859999999994,0.06,-0.20273245916928356,66
V92,24.22336600000001,0.06,-0.1797985405143598,67
V94,24.12078599999999,0.06,-0.23732143627256383,68
V95,24.228990000000007,0.06,-0.26121944151563087,69
V96,23.88906,0.06,-0.17134010346468015,70
V97,24.49335399999999,0.06,-0.21183162885883233,71
V98,24.224772,0.06,-0.24949160514865382,72
V99,24.085872,0.06,-0.21609642072726507,73
V100,24.074365999999998,0.06,-0.17652577082969897,74
V101,24.12078599999999,0.06,-0.22548303427145044,75
V102,24.196727999999997,0.06,-0.20690839982341983,76
V104,24.271511999999994,0.06,-0.28066871301627333,77
V105,24.303107999999995,0.06,-0.28066871301627333,78
V106,23.98788599999999,0.06,-0.26440110030182007,79
V107,24.554889999999993,0.06,-0.22914798835785583,80
V108,24.19225,0.06,-0.24260397120697574,81
V110,24.08368400000001,0.06,-0.19654288435158612,82
V111,24.342136000000014,0.06,-0.15614457737683893,83
V112,24.117017999999995,0.06,-0.22402566887063094,84
V113,24.095756000000016,0.06,-0.29328221766324125,85
V114,24.24067199999998,0.06,-0.208309350979882,86
V115,24.262177999999995,0.06,-0.24260397120697574,87
V116,24.349702000000004,0.06,-0.23433144524098595,88
V118,24.368166000000016,0.06,-0.29157909986528724,89
