Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V1,23.95216000000001,0.03,-0.21623930425607593,0
V2,24.187379999999997,0.03,-0.2628869056940387,1
V3,24.298539999999996,0.03,-0.21133678687914254,2
V6,24.159700000000008,0.03,-0.21538270736712464,3
V7,24.13622,0.03,-0.21353252325971747,4
V9,23.865639999999992,0.03,-0.24093681183951277,5
V10,24.12738,0.03,-0.14266750356873156,6
V11,24.259699999999995,0.03,-0.22453519065426075,7
V12,24.35028,0.03,-0.2623303726433581,8
V13,24.095639999999992,0.03,-0.13942244875558446,9
V14,24.137379999999997,0.03,-0.2395775165767879,10
V15,23.88506,0.03,-0.22841251911874466,11
V16,24.24564000000001,0.03,-0.21467016498923297,12
V17,24.178539999999995,0.03,-0.24603413413483965,13
V19,24.117960000000004,0.03,-0.2388241868442685,14
V21,24.03028,0.03,-0.2502636844309389,15
V22,24.14795999999999,0.03,-0.18375870000821692,16
V24,24.158539999999995,0.03,-0.27002571430044436,17
V25,23.863319999999998,0.03,-0.19586056766464957,18
V27,24.05795999999999,0.03,-0.2620126736665692,19
V28,24.118539999999996,0.03,-0.2479515521805615,20
V29,23.822740000000007,0.03,-0.19928292171761497,21
V33,24.108539999999994,0.03,-0.2388241868442685,22
V34,24.22970000000001,0.03,-0.25375512827980173,23
V35,23.732740000000007,0.03,-0.23732143627256383,24
V36,24.130860000000006,0.03,-0.2458046118101616,25
V37,23.97622,0.03,-0.15539858037365334,26
V38,24.290860000000006,0.03,-0.17392519729917355,27
V39,24.241439999999997,0.03,-0.239125361947811,28
V40,24.077379999999998,0.03,-0.20690839982341983,29
V41,24.158539999999995,0.03,-0.20901152491118416,30
V44,24.21028,0.03,-0.21112488422458328,31
V45,24.534919999999993,0.03,-0.23158391178366836,32
V47,24.473180000000003,0.03,-0.19914550849643908,33
V48,24.197960000000002,0.03,-0.1989394701521445,34
V49,24.351439999999997,0.03,-0.22767829327708017,35
V50,24.8384,0.03,-0.23732143627256383,36
V51,24.009699999999995,0.03,-0.19579239491795858,37
V52,24.03796,0.03,-0.20460666506871064,38
V54,23.793319999999998,0.03,-0.1972262747080243,39
V55,24.072017999999993,0.03,-0.16685288808721488,40
V57,24.187379999999997,0.03,-0.24412514432750865,41
V59,24.516659999999998,0.03,-0.19246497193114673,42
V62,23.84389999999999,0.03,-0.27270279719641255,43
V63,23.96738,0.03,-0.2607441967314894,44
