Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V1,23.594480000000008,0.03,-0.20964445358561357,0
V5,24.29970000000001,0.03,-0.2183882175068499,1
V7,23.629259999999995,0.03,-0.23672178898102136,2
V8,23.88622,0.03,-0.22192113806254501,3
V9,24.058540000000008,0.03,-0.16052195262580163,4
V10,24.07622,0.03,-0.2057908836535035,5
V14,23.35332000000001,0.03,-0.17327747983100789,6
V15,24.765500000000003,0.03,-0.24833605373901332,7
V16,24.218540000000008,0.03,-0.23054882059796242,8
V17,24.26028,0.03,-0.18137827362411105,9
V18,24.109120000000004,0.03,-0.23709647150094282,10
V19,24.193760000000008,0.03,-0.2089412564081746,11
V20,23.757960000000004,0.03,-0.2508823376436777,12
V23,23.44622,0.03,-0.25414480482627105,13
V24,24.152020000000004,0.03,-0.24063437834407134,14
V25,23.85622,0.03,-0.1456939581989194,15
V26,24.036800000000007,0.03,-0.2568823747852584,16
V28,23.7539,0.03,-0.23136189875238555,17
V30,24.039120000000004,0.03,-0.25641184984009613,18
V31,24.302020000000002,0.03,-0.2669633170664205,19
V33,24.40434,0.03,-0.2602694714352825,20
V34,24.079120000000003,0.03,-0.25344363858963087,21
V37,23.88911999999999,0.03,-0.22213837582375812,22
V41,24.2826,0.03,-0.23003219867055757,23
V43,23.955639999999992,0.03,-0.21559669824699157,24
V45,23.990280000000002,0.03,-0.27449673114068446,25
V46,24.48144,0.03,-0.23247310059161805,26
V47,24.12795999999999,0.03,-0.27629810600873217,27
V50,23.855640000000008,0.03,-0.19037295810595026,28
V52,23.73912,0.03,-0.24972308484600736,29
V53,23.95911999999999,0.03,-0.22329881601158919,30
V54,24.233180000000004,0.03,-0.24003014244569276,31
V55,24.35317999999999,0.03,-0.2057908836535035,32
V56,24.220280000000002,0.03,-0.23702150913225697,33
V57,24.6784,0.03,-0.27107835362714067,34
V58,24.118539999999996,0.03,-0.2680085509810705,35
V59,23.87795999999999,0.03,-0.2218487496163564,36
V60,23.927960000000002,0.03,-0.23747147755300016,37
V63,23.598539999999996,0.03,-0.2201871368294196,38
V64,24.152020000000004,0.03,-0.25672547648806665,39
V65,23.90622,0.03,-0.21932272556663196,40
V66,23.02694,0.03,-0.13176713157753506,41
V67,24.50201999999999,0.03,-0.2501864147070622,42
V69,24.198539999999994,0.03,-0.24298376526869944,43
V72,24.05738,0.03,-0.2050938934831959,44
V73,24.3526,0.03,-0.18548604763176182,45
V74,23.774480000000008,0.03,-0.2505729008782511,46
V77,24.22970000000001,0.03,-0.27523275435368966,47
V81,23.758539999999996,0.03,-0.2521999091356312,48
V83,24.12028,0.03,-0.24964591123729193,49
V84,23.301,0.03,-0.1786175002527009,50
V85,24.28738,0.03,-0.25375512827980173,51
V86,23.944479999999995,0.03,-0.2633645023131787,52
V87,24.02970000000001,0.03,-0.14770303417307457,53
V88,23.846800000000005,0.03,-0.21731243176503362,54
V89,24.15376000000001,0.03,-0.22878009805046637,55
V90,24.354919999999993,0.03,-0.22482661457521325,56
