Star,Wesenheit Magnitude,Log Period,Star Code
V002,23.703500000000002,-0.21511601283817183,0
V003,23.892240000000005,-0.223554546594107,1
V004,23.942200000000003,-0.19157467955124255,2
V005,23.75647999999999,-0.12720502003879794,3
V006,23.950159999999997,-0.2399480651579251,4
V007,23.922220000000003,-0.22232819052936678,5
V008,23.988039999999998,-0.2114165272808669,6
V011,23.895740000000004,-0.08395988528531552,7
V012,23.816679999999998,-0.19404782119328168,8
V014,24.017940000000003,-0.2082039884135664,9
V015,24.204180000000004,-0.2360318650693972,10
V016,24.27083999999999,-0.2544212456299523,11
V018,24.19986,-0.24239771306640515,12
V019,24.081640000000004,-0.19251475002916077,13
V020,23.82836000000001,-0.1333090687734599,14
V021,24.058059999999998,-0.20006473067226227,15
V022,23.97218,-0.17778898996046086,16
V023,24.22354,-0.21337766610649078,17
V024,23.927780000000002,-0.16149414093013162,18
V026,23.996899999999997,-0.20320839135741064,19
V027,24.154339999999983,-0.1676879714706446,20
V028,23.8612,-0.3488068376679753,21
V030,24.117819999999995,-0.23506073318048956,22
V031,24.274220000000003,-0.24837787384392468,23
V032,23.988380000000003,-0.11377856716910571,24
V033,24.06626,-0.20889756804553627,25
V035,24.07408000000001,-0.19550661181657097,26
V036,24.102719999999994,-0.22817969889540246,27
V037,24.043819999999997,-0.21052635287188023,28
V038,23.958880000000004,-0.20032434253578976,29
V039,23.87838000000001,-0.1934304176331415,30
V043,24.423519999999993,-0.3123516720622389,31
V044,23.645259999999993,-0.11192629573080166,32
V045,23.81672000000001,-0.1594354226418912,33
V046,24.075659999999996,-0.22082356768567915,34
V047,23.817719999999994,-0.1997337268956546,35
V048,23.774659999999987,-0.14374783745604053,36
V049,23.890980000000003,-0.14514147469564906,37
V051,23.95883999999999,-0.220382573446284,38
V054,24.09752,-0.3210377431820166,39
V055,24.056019999999993,-0.22424471400955445,40
V056,23.941159999999996,-0.23978132292258897,41
V057,24.1313,-0.2694249294512917,42
V058,24.118980000000004,-0.2848893892177971,43
V059,23.77381999999999,-0.12362537811397764,44
V060,23.893799999999995,-0.16956097528359648,45
V061,23.88122000000001,-0.17764448004034833,46
V062,24.020500000000002,-0.25698475504729823,47
V063,23.893719999999995,-0.20983016923178102,48
V064,23.863260000000004,-0.16036553894271519,49
V066,24.002640000000003,-0.2694249294512917,50
