Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
3,19.387013,0.03,-0.23757796328633388,0
7,19.453561,0.03,-0.21945796440589957,1
10,19.438692999999997,0.03,-0.23320485946343703,2
22,19.233729,0.03,-0.19513643851774806,3
24,19.239931999999992,0.03,-0.20887191254256207,4
30,19.200053999999998,0.03,-0.2084423257849328,5
32,19.176190999999996,0.03,-0.21108837677578643,6
34,19.568037999999998,0.03,-0.23139770917751049,7
44,19.309140000000003,0.03,-0.20312904646229615,8
49,19.116054,0.03,-0.1665294878370286,9
57,19.307733999999996,0.03,-0.21260924490622898,10
58,19.172794999999997,0.03,-0.20798680191485647,11
60,19.292937000000002,0.03,-0.21508814311453467,12
65,19.23173400000001,0.03,-0.1859450152783524,13
67,19.27047,0.03,-0.21916166708375293,14
68,19.166789999999995,0.03,-0.16829917930482693,15
73,19.344876000000003,0.03,-0.24449239268536668,16
75,19.310206000000004,0.03,-0.22825374774253923,17
84,19.204795,0.03,-0.2099390798993444,18
85,19.183333,0.03,-0.19346405047098733,19
90,19.295606999999997,0.03,-0.19972121675282808,20
92,19.224729000000007,0.03,-0.2005710151351657,22
105,19.184262,0.03,-0.199075856599558,23
116,19.366612000000003,0.03,-0.16538012609365135,24
122,19.173064,0.03,-0.19964782736716521,25
123,19.171597000000006,0.03,-0.1707159799746081,26
124,19.357089000000002,0.03,-0.22788294407403606,27
125,19.239744,0.03,-0.2261431523777093,28
133,19.446287000000005,0.03,-0.21302673275319284,29
135,19.30908899999999,0.03,-0.22847182530782884,30
136,19.144191000000003,0.03,-0.19954893982561406,31
138,19.199130000000004,0.03,-0.19432172223491384,32
141,19.274069000000008,0.03,-0.19699790270460132,33
143,19.297414,0.03,-0.21497007410310362,34
153,19.216002999999997,0.03,-0.18021319068177016,35
159,19.392023000000002,0.03,-0.24021736567972313,37
164,19.20326199999999,0.03,-0.19796582017903994,38
165,19.448424,0.03,-0.23731123534754164,39
170,19.482490000000006,0.03,-0.22914798835785583,40
171,19.156449999999996,0.03,-0.1804560644581313,41
174,19.265932000000003,0.03,-0.18500681747799538,42
176,19.101582,0.03,-0.1165855868490056,43
179,19.145054,0.03,-0.17796635034492939,44
183,19.157738999999996,0.03,-0.21303432199894737,46
185,19.310008000000007,0.03,-0.20696812816353757,47
188,19.377226000000004,0.03,-0.22375128436336902,48
189,19.171135000000003,0.03,-0.15343454118413447,49
191,19.274876000000003,0.03,-0.18689332512331416,50
195,19.224657999999998,0.03,-0.20833180297124848,51
196,19.333952000000007,0.03,-0.1765329439209197,52
200,19.166520999999992,0.03,-0.19562419036132486,54
201,19.136318,0.03,-0.1413163580013633,55
204,19.168323,0.03,-0.19841197692327775,56
208,19.122384,0.03,-0.1827030902006434,57
223,19.101582,0.03,-0.17983993515325802,58
226,19.178328,0.03,-0.17402503168388286,59
227,19.296978,0.03,-0.2522578189272902,60
228,19.158789999999996,0.03,-0.20134320957294438,61
229,19.178597000000003,0.03,-0.17874660213879137,62
