,Galaxy Name,Apparent V Magnitude,Error in Magnitude,V Band Extinction,Absolute V Magnitude
0,Andromeda I,12.7,0.1,0.145,-11.79
1,Andromeda II,11.7,0.2,0.16699999999999998,-12.46
2,Andromeda III,14.4,0.3,0.152,-9.959999999999999
3,Andromeda XI,17.5,1.2,0.21899999999999997,-6.829999999999998
4,Andromeda XIII,18.1,1.2,0.226,-6.52
5,Andromeda XV,14.6,0.3,0.128,-9.820000000000002
6,Andromeda XVI,14.4,0.3,0.182,-9.319999999999999
7,Andromeda XXVIII,15.6,0.9,0.247,-8.83
8,Bootes I,12.8,0.2,0.047,-6.309999999999999
9,Carina I,11.0,0.5,0.16899999999999998,-9.07
10,Carina II,13.3,0.1,0.513,-4.559999999999999
11,Cetus,13.2,0.2,0.055,-11.260000000000002
12,Coma Berenices,14.1,0.5,0.046,-4.029999999999999
13,Crater II,12.15,0.02,0.083,-8.15
14,Draco,10.6,0.2,0.07400000000000001,-8.979999999999999
15,ESO294-G010,15.3,0.3,0.016,-11.099999999999998
16,ESO410-G005,14.9,0.3,0.037000000000000005,-11.429999999999998
17,Fornax,7.4,0.3,0.057999999999999996,-13.270000000000001
18,Grus I,17.1,0.3,0.023,-3.41
19,IC 1613,9.2,0.1,0.068,-15.2
20,Leo A,12.4,0.2,0.057,-12.08
21,Leo I,10.0,0.3,0.099,-12.059999999999999
22,Leo P,16.8,0.2,0.071,-9.239999999999998
23,Leo T,15.1,0.5,0.086,-7.959999999999999
24,NGC 147,9.5,0.1,0.473,-14.649999999999999
25,NGC 185,9.2,0.1,0.505,-14.75
26,Phoenix I,13.2,0.4,0.044000000000000004,-9.89
27,Phoenix II,17.3,0.4,0.034,-2.710000000000001
28,Sculptor,8.6,0.5,0.05,-11.020000000000001
29,Tucana,15.2,0.2,0.085,-9.54
