Star,Log Period,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Star Code
Star 1404,-0.5284149458148103,18.7043,0.02,0
Star 1405,-0.5198492747267196,18.7548,0.02,1
Star 1406,-0.431211787684653,18.4662,0.02,2
Star 1407,-0.35271485497463334,18.429,0.02,3
Star 1408,-0.36602684421032644,18.4971,0.02,4
Star 1409,-0.412401270278755,18.3987,0.02,5
Star 1410,-0.3531063758322548,18.2672,0.02,6
Star 1411,-0.3534002482796267,18.3014,0.02,7
Star 1412,-0.5332806283184014,18.5764,0.02,8
Star 1413,-0.49120103459609504,18.6025,0.02,9
Star 1414,-0.41184038361690795,18.5423,0.02,10
Star 1415,-0.37654395193006623,18.537,0.02,11
Star 1416,-0.4523483416400308,18.5712,0.02,12
Star 1417,-0.3510548178343275,18.3425,0.02,13
Star 1418,-0.5377517846450026,18.7223,0.02,14
Star 1419,-0.4329736338409396,18.3691,0.02,15
Star 1420,-0.43050904565121695,18.4471,0.02,16
Star 1421,-0.4281747509591709,18.3437,0.02,17
Star 1422,-0.3639134848969273,18.2625,0.02,18
Star 1423,-0.47768620484333263,18.5446,0.02,19
Star 1424,-0.49661793652626735,18.7589,0.02,20
Star 1425,-0.48518670500071465,18.4026,0.02,21
Star 1426,-0.3776823391661557,18.3672,0.02,22
Star 1427,-0.46571999479491855,18.6441,0.02,23
Star 1428,-0.4639468448407953,18.5647,0.02,24
Star 1429,-0.5237482039929664,18.7735,0.02,25
Star 1430,-0.42585293584927725,18.5166,0.02,26
Star 1431,-0.4243503852447807,18.5611,0.02,27
Star 1432,-0.4736607226101559,18.5122,0.02,28
Star 1433,-0.47664379334520723,18.6155,0.02,29
Star 1434,-0.4438181533470888,18.3941,0.02,30
Star 1435,-0.43866005854109874,18.5334,0.02,31
Star 1436,-0.44879405625209373,18.5953,0.02,32
Star 1437,-0.5221555236612417,18.6794,0.02,33
Star 1438,-0.44225225835853177,18.4447,0.02,34
Star 1439,-0.5380515047962382,18.6108,0.02,35
Star 1440,-0.45075144314594406,18.5502,0.02,36
Star 1441,-0.5398541825082498,18.6702,0.02,37
Star 1442,-0.5165553519014647,18.5871,0.02,38
Star 1443,-0.4225082001627747,18.4605,0.02,39
Star 1444,-0.5227340045751474,18.675,0.02,40
Star 1445,-0.37202001017002,18.3523,0.02,41
Star 1446,-0.5350635708782673,18.6677,0.02,42
Star 1447,-0.47638358094562927,18.6412,0.02,43
Star 1448,-0.3609121289162627,18.4927,0.02,44
Star 1449,-0.4788619162959637,18.616,0.02,45
Star 1450,-0.544850478820172,18.7764,0.02,46
Star 1451,-0.3639134848969273,18.4172,0.02,47
Star 1452,-0.46092390120722343,18.5912,0.02,48
Star 1453,-0.4996262856466261,18.5715,0.02,49
Star 1454,-0.5120136688706066,18.7885,0.02,50
Star 1455,-0.4327383076461256,18.4149,0.02,51
Star 1456,-0.39083262569798016,18.4568,0.02,52
Star 1457,-0.3584267468218246,18.451,0.02,53
Star 1458,-0.46597389394386496,18.4469,0.02,54
Star 1459,-0.4405722002405102,18.4304,0.02,55
Star 1460,-0.5397036732425246,18.6976,0.02,56
Star 1461,-0.3621101834192095,18.3835,0.02,57
Star 1462,-0.48704892002750944,18.6325,0.02,58
Star 1463,-0.35497093527885754,18.3857,0.02,59
Star 1464,-0.38426031138084504,18.4723,0.02,60
Star 1465,-0.4406919890929875,18.5732,0.02,61
Star 1466,-0.4409316659654632,18.4622,0.02,62
Star 1467,-0.4871822414351269,18.5291,0.02,63
Star 1468,-0.5320960534771997,18.6929,0.02,64
Star 1469,-0.4778166823813137,18.6547,0.02,65
Star 1470,-0.540758335121918,18.7828,0.02,66
Star 1471,-0.5263670731261589,18.6903,0.02,67
Star 1472,-0.46686371172136115,18.6949,0.02,68
Star 1473,-0.5166980476418329,18.6411,0.02,69
Star 1474,-0.478469658721289,18.584,0.02,70
Star 1475,-0.36572430537405604,18.5061,0.02,71
Star 1476,-0.49811950624494133,18.5839,0.02,72
Star 1477,-0.3689623034632596,18.411,0.02,73
Star 1478,-0.4687766254669732,18.5141,0.02,74
Star 1479,-0.4905286478974515,18.6293,0.02,75
Star 1480,-0.3633115520467173,18.3869,0.02,76
Star 1481,-0.3962062958630371,18.5088,0.02,77
Star 1482,-0.5331323796458906,18.7838,0.02,78
Star 1483,-0.4732731326853644,18.7085,0.02,79
Star 1484,-0.3992448503603819,18.3879,0.02,80
Star 1485,-0.4881166390211256,18.5744,0.02,81
Star 1486,-0.46941614035488227,18.5445,0.02,82
