,Star,Log Period,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Distance Modulus,Uncertainty in Distance Modulus,Metallicity,Star Code
0,AB UMa,-0.2221520437120682,9.545073999999998,0.009000000000000001,9.997760774408178,0.045944319657498484,-0.49,0
1,AN Ser,-0.28227006428720297,9.754612000000003,0.008,9.975239357018104,0.0531955963946416,-0.07,1
2,AV Peg,-0.40851833651363645,9.275321999999992,0.008,9.13038139458654,0.028531669963879767,-0.08,2
3,BH Peg,-0.19314671319252863,8.979565999999997,0.005,9.638144220564692,0.0463596504872081,-1.22,4
4,DX Del,-0.3254909089878608,8.605943999999994,0.006999999999999999,8.79298901975646,0.020967451138137888,-0.39,5
5,RR Cet,-0.2572520943557897,8.646584000000006,0.006,8.943519700222437,0.031932047379314085,-1.45,7
6,RR Leo,-0.3444838356532483,9.847527999999997,0.006999999999999999,9.825704725193525,0.05548078401046495,-1.6,9
7,RU Scl,-0.3068404659994043,9.268614,0.004,9.489485467631988,0.06067924070584353,-1.27,11
8,RV Oct,-0.24324031414801367,9.628886,0.006999999999999999,9.982285025711903,0.028417631336422708,-1.71,12
9,RX Eri,-0.23117977001808754,8.427336000000002,0.003,8.837654590805222,0.03209396433514934,-1.33,14
10,SU Dra,-0.18017977656471143,8.732106000000002,0.006999999999999999,9.371967193694458,0.026230748460462843,-1.8,16
11,SV Eri,-0.14639121099923086,8.701336000000001,0.004,9.330811027324138,0.04218305062576755,-1.7,17
12,SV Hya,-0.32007921363934044,9.586962,0.006,9.705343349463767,0.0581183722708756,-1.5,18
13,SW And,-0.3543221420188453,8.453510000000001,0.006,8.499784861568516,0.03471273223489345,-0.24,19
14,SW Dra,-0.24437670415176363,9.419047999999995,0.006999999999999999,9.881616108816376,0.04284806697517187,-1.12,20
15,TT Lyn,-0.22370980724590014,8.739887999999997,0.011,9.171087429106946,0.02657651444810877,-1.56,21
16,TU UMa,-0.2536315180084685,8.776280000000002,0.006999999999999999,8.988767760356078,0.03847392333918605,-1.51,22
17,UU Vir,-0.32275002708798844,9.622193999999999,0.006999999999999999,9.487431889301774,0.0902903000559208,-0.87,24
18,UV Oct,-0.26553621877516176,8.330366000000001,0.006999999999999999,8.682610966399132,0.01634419291476932,-1.74,25
19,V Ind,-0.3191192861667862,9.024019999999998,0.006,9.132845740108516,0.03116200346394066,-1.5,28
20,V0440 Sgr,-0.32104587898703396,9.116322,0.008,9.283567842275293,0.03695614818908744,-1.4,29
21,V0675 Sgr,-0.19226931290675137,9.050336000000001,0.006999999999999999,9.632582084510501,0.03855221331766804,-2.28,30
22,VX Her,-0.3416452741940381,9.805238000000001,0.009000000000000001,9.913288527998288,0.06318180921851228,-1.58,31
23,X Ari,-0.18630369520671122,8.036057999999997,0.006,8.64192691907008,0.02458579159273841,-2.43,34
24,XZ Cyg,-0.33105587984693996,8.856035999999996,0.008,9.000749746385374,0.022556999159292518,-1.44,36
