,Star,Log Period,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Distance Modulus,Uncertainty in Distance Modulus,Metallicity,Star Code
0,AB UMa,-0.2221520437120682,9.50581,0.009000000000000001,9.965467445880291,0.04059579225846531,-0.49,0
1,AE Boo,-0.37484113108710815,9.687737999999998,0.009000000000000001,9.65906710326919,0.07423837297491484,-1.39,1
2,AM Tuc,-0.2646862449571796,10.545454000000003,0.006,11.220622133637544,0.11428802155348729,-1.49,2
3,AN Ser,-0.28227006428720297,9.728636999999999,0.008,9.943279943521112,0.046886502629816605,-0.07,3
4,AP Ser,-0.34046218543984885,10.231012000000002,0.008,10.539520434547597,0.11135755946237225,-1.58,4
5,AV Peg,-0.40851833651363645,9.237500000000002,0.008,9.10867865959501,0.025330107310945288,-0.08,5
6,BB Pup,-0.3182624667580053,10.784881,0.006999999999999999,11.00989804255231,0.062091661258839956,-0.6,6
7,BH Peg,-0.19314671319252863,8.913729000000004,0.005,9.638157926564691,0.041541720763585734,-1.22,7
8,BX Leo,-0.3133865927911382,10.661342000000003,0.006,11.03803796450873,0.14009499416233928,-1.28,8
9,CS Eri,-0.37977763338546355,8.139149,0.006,8.388900718330403,0.031021034421660838,-1.41,9
10,CU Com,-0.39173023297293696,12.179109,0.009000000000000001,12.925129672145909,0.2505545087903375,-2.38,10
11,DH Peg,-0.46559119718617525,8.515931,0.01,8.388891046330405,0.0517017240361014,-0.92,11
12,DX Del,-0.3254909089878608,8.545480000000003,0.006999999999999999,8.774402186330457,0.01856553341415476,-0.39,12
13,HK Pup,-0.13418130175254833,9.819465000000003,0.005,10.46568432452028,0.04622778420490491,-1.11,13
14,MT Tel,-0.3720813239851021,8.082813999999992,0.006999999999999999,8.53871371521762,0.04431576345951549,-1.85,14
15,RR Cet,-0.2572520943557897,8.479631999999997,0.006,8.923591370379967,0.028214149399925764,-1.45,15
16,RR Gem,-0.4008923662294992,10.177175000000002,0.011,10.306545078140408,0.08105384969554784,-0.29,16
17,RR Leo,-0.3444838356532483,9.640388,0.006999999999999999,9.825711311193524,0.049753421951593164,-1.6,17
18,RR Lyr,-0.2465411962085642,6.45783,0.008466999999999999,7.891975685650845,0.5017417309867113,-1.39,18
