,Star,Log Period,Distance Modulus,Uncertainty in Distance Modulus,V-I Wesenheit Magnitude,Uncertainty in V-I Wesenheit Magnitude,B-V Wesenheit Magnitude,Uncertainty in B-V Wesenheit Magnitude,Metallicity,Star Code
0,AB UMa,-0.2221520437120682,9.997764690408179,0.045944319657498484,9.50581,0.009000000000000001,9.545073999999998,0.009000000000000001,-0.49,0
1,AN Ser,-0.28227006428720297,9.975246477018104,0.0531955963946416,9.728636999999999,0.008,9.754612000000003,0.008,-0.07,1
2,AV Peg,-0.40851833651363645,9.13039332058654,0.028531669963879767,9.237500000000002,0.008,9.275321999999992,0.008,-0.08,2
3,BH Peg,-0.19314671319252863,9.638157926564691,0.0463596504872081,8.913729000000004,0.005,8.979565999999997,0.005,-1.22,4
4,DX Del,-0.3254909089878608,8.79300539575646,0.020967451138137888,8.545480000000003,0.006999999999999999,8.605943999999994,0.006999999999999999,-0.39,5
5,RR Cet,-0.2572520943557897,8.943523616222436,0.031932047379314085,8.479631999999997,0.006,8.646584000000006,0.006,-1.45,7
6,RR Leo,-0.3444838356532483,9.825711311193524,0.05548078401046495,9.640388,0.006999999999999999,9.847527999999997,0.006999999999999999,-1.6,9
7,RU Scl,-0.3068404659994043,9.489488671631989,0.06067924070584353,9.169789,0.004,9.268614,0.004,-1.27,11
8,RV Oct,-0.24324031414801367,9.982317065711904,0.028417631336422708,9.428394000000003,0.006999999999999999,9.628886,0.006999999999999999,-1.71,12
9,RX Eri,-0.23117977001808754,8.837664914805224,0.03209396433514934,8.305814999999997,0.003,8.427336000000002,0.003,-1.33,14
10,SU Dra,-0.18017977656471143,9.371968973694457,0.026230748460462843,8.559834999999998,0.006999999999999999,8.732106000000002,0.006999999999999999,-1.8,16
11,SV Eri,-0.14639121099923086,9.33082615732414,0.04218305062576755,8.54281,0.004,8.701336000000001,0.004,-1.7,17
12,SV Hya,-0.32007921363934044,9.705357589463768,0.0581183722708756,9.356306999999997,0.006,9.586962,0.006,-1.5,18
13,SW And,-0.3543221420188453,8.499791625568516,0.03471273223489345,8.401759,0.010934000000000001,8.453510000000001,0.006,-0.24,19
14,SW Dra,-0.24437670415176363,9.881618600816376,0.04284806697517187,9.252302000000004,0.006999999999999999,9.419047999999995,0.006999999999999999,-1.12,20
15,TT Lyn,-0.22370980724590014,9.171090455106945,0.02657651444810877,8.533154999999999,0.011,8.739887999999997,0.011,-1.56,21
16,TU UMa,-0.2536315180084685,8.988771676356077,0.03847392333918605,8.589901000000001,0.006999999999999999,8.776280000000002,0.006999999999999999,-1.51,22
17,UU Vir,-0.32275002708798844,9.487435093301775,0.0902903000559208,9.468119000000002,0.006999999999999999,9.622193999999999,0.006999999999999999,-0.87,24
18,UV Oct,-0.26553621877516176,8.682627164399133,0.01634419291476932,8.161022999999998,0.006999999999999999,8.330366000000001,0.006999999999999999,-1.74,25
19,V Ind,-0.3191192861667862,9.132853394108517,0.03116200346394066,8.829779000000002,0.006,9.024019999999998,0.006,-1.5,28
20,V0440 Sgr,-0.32104587898703396,9.28358297227529,0.03695614818908744,9.061231,0.008,9.116322,0.008,-1.4,29
21,V0675 Sgr,-0.19226931290675137,9.632605224510502,0.03855221331766804,8.872074000000001,0.006999999999999999,9.050336000000001,0.006999999999999999,-2.28,30
22,VX Her,-0.3416452741940381,9.913296359998288,0.06318180921851228,9.591185000000003,0.009000000000000001,9.805238000000001,0.009000000000000001,-1.58,31
23,X Ari,-0.18630369520671122,8.641958959070081,0.02458579159273841,7.849902000000002,0.008466999999999999,8.036057999999997,0.006,-2.43,34
24,XZ Cyg,-0.33105587984693996,9.000766834385376,0.022556999159292518,8.638464,0.008,8.856035999999996,0.008,-1.44,36
