Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V3,16.365466,0.03,-0.2401268543063344,0
V4,16.731394000000005,0.03,-0.31866338212560424,1
V5,16.42876,0.03,-0.23724794996281579,2
V6,16.533505999999996,0.03,-0.2652098401694221,3
V7,16.517572000000005,0.03,-0.22722598963688834,4
V9,16.387703999999996,0.03,-0.22342870981967036,5
V10,16.477155999999994,0.03,-0.230806091279304,6
V13,16.567374000000004,0.03,-0.237578878921709,7
V15,16.598384,0.03,-0.23145701003982913,8
V16,17.047332999999995,0.03,-0.3521027639960489,9
V17,16.775643000000002,0.03,-0.3317811417394254,10
V19,14.769622000000002,0.03,-0.327486988705211,11
V23,16.670323,0.03,-0.28594547564321543,12
V28,16.649921999999997,0.03,-0.2898388436193597,13
V29,16.376196999999998,0.03,-0.22934849466344667,14
V31,16.404957999999993,0.03,-0.18935463466406258,15
V32,16.679937000000002,0.03,-0.28289375567821573,16
V33,16.542354,0.03,-0.30883772423405303,17
V34,16.735465,0.03,-0.2980853221619656,18
V35,16.575176,0.03,-0.27841145915832083,19
V36,16.464633,0.03,-0.22254708447402352,20
V37,16.439957999999994,0.03,-0.20241369874545362,21
V38,16.308699,0.03,-0.2138667447194991,22
V39,16.488760000000003,0.03,-0.22214138895136326,23
V40,16.489769999999996,0.03,-0.23182903495746107,24
V41,16.413435,0.03,-0.20924604399341554,25
V43,16.465759999999996,0.03,-0.2291474730935219,26
V44,16.377273000000002,0.03,-0.20917083057257763,27
V45,16.679521,0.03,-0.31089042029357933,28
V46,16.196070000000002,0.03,-0.21842563106032908,29
V47,16.642784999999993,0.03,-0.2950683101596812,30
V48,16.355425000000004,0.03,-0.1630343116355169,31
V50,16.615251999999995,0.03,-0.24859665474606238,32
V51,16.386811,0.03,-0.21793965672746235,33
V52,16.370217000000004,0.03,-0.19328507410026102,34
V54,16.594181,0.03,-0.24382172421687975,35
V55,16.967232,0.03,-0.370536800440165,36
V57,16.57811,0.03,-0.2623077845148673,37
V58,16.642384,0.03,-0.2606983631120175,38
V59,16.505897,0.03,-0.22226028655927896,39
V60,16.528288,0.03,-0.24444630571964235,40
V61,16.491369,0.03,-0.21902900149049262,41
V62,16.472694,0.03,-0.21213753222483417,42
V63,16.388872000000003,0.03,-0.22904356413152582,43
V68,16.604998,0.03,-0.26641551047276346,44
V69,16.211334000000004,0.03,-0.16532215312788148,45
V76,16.229080000000003,0.03,-0.15058256418247298,46
V77,16.554713999999997,0.03,-0.23889611106267453,47
V80,16.528445,0.03,-0.23378353705838867,48
V82,16.273009000000002,0.03,-0.23122756938413583,49
V83,16.588313,0.03,-0.23787332577756998,50
V84,16.382577,0.03,-0.22205128663865709,51
V85,16.570190999999994,0.03,-0.2835803091289575,52
V87,16.551704,0.03,-0.2556477768903937,53
V88,16.674785,0.03,-0.30779767129770036,54
V89,16.417146,0.03,-0.22831188615569503,55
V90,16.493364000000003,0.03,-0.21249466723296115,56
V92,16.584297,0.03,-0.3145211652322278,57
V93,15.634745000000006,0.03,-0.2532945608181621,58
V94,16.400480999999996,0.03,-0.18318851098269054,59
V95,16.206420000000005,0.03,-0.25304889730686714,60
V96,16.594718999999998,0.03,-0.2509855761089366,61
V98,16.460297999999995,0.03,-0.20454558431143346,62
V118,16.509013999999993,0.03,-0.20290890029876663,63
V119,13.970348999999999,0.03,-0.19693983741930315,64
V120,16.267953000000002,0.03,-0.1329904893087467,65
V121,15.567516999999999,0.03,-0.1261949040326905,66
V123,16.335034000000007,0.03,-0.28916667333424556,67
V124,16.508515999999997,0.03,-0.23443492096439678,68
V125,16.19741,0.03,-0.13457120808186873,69
V127,16.313820999999997,0.03,-0.22761242783016203,70
V128,16.144966999999994,0.03,-0.16784770641461072,71
V129,16.753612,0.03,-0.22036361608132154,72
V130,16.450420000000005,0.03,-0.17003493687392535,73
V131,16.399079999999998,0.03,-0.19669733901051414,74
V132,16.191715000000006,0.03,-0.18038554997145095,75
V136,16.325947999999997,0.03,-0.1583959041761281,76
V137,16.170942999999998,0.03,-0.11044976164983301,77
V139,16.475501,0.03,-0.21694595392930832,78
V140,16.190146,0.03,-0.12595476034914832,79
V143,16.361019000000002,0.03,-0.1753273059928699,80
V158,16.528902000000002,0.03,-0.20887775048981316,81
V159,16.22575,0.03,-0.12964586584746365,82
V160,17.755578,0.03,-0.20194551338533565,83
V161,15.870658999999998,0.03,-0.22757848304089226,84
V162,16.455851000000003,0.03,-0.2215891046701258,85
V163,16.394811,0.03,-0.22983244555104435,86
V164,17.004053000000003,0.03,-0.2888724125543139,87
V165,16.438633,0.03,-0.22352347988836527,88
V168,16.402276999999994,0.03,-0.2549571724182859,89
V171,17.110103,0.03,-0.24292987506091412,90
V172,17.659640000000003,0.03,-0.21766787777378033,91
V176,16.410217000000003,0.03,-0.22344395852893117,92
V177,16.507835999999998,0.03,-0.31152201490997394,93
V178,16.134597999999997,0.03,-0.17929750532162206,94
V180,16.165755,0.03,-0.274625347108421,95
V181,17.490706,0.03,-0.33100389971491045,96
V182,16.297866,0.03,-0.16204012112298746,97
V184,16.146790000000003,0.03,-0.0180756398288744,98
V187,17.151213999999996,0.03,-0.20612823112200082,99
V188,16.495831000000006,0.03,-0.24879289938599902,100
V192,13.278737,0.03,-0.22159231654037034,101
V194,16.007958999999996,0.03,-0.2384469134805937,102
V214,16.431379,0.03,-0.20487341756010394,103
V220,16.809444,0.03,-0.219967968246947,104
V223,16.749748999999998,0.03,-0.3261456972196695,105
V227,15.969124000000006,0.03,-0.29408674848408406,106
V228,14.921918,0.03,-0.27965409759922066,107
V231,15.924171999999999,0.03,-0.27230898599550063,108
V234,16.593281999999995,0.03,-0.25188254382525543,109
V236,14.314257999999999,0.03,-0.24529149453312155,110
V239,16.527511000000004,0.03,-0.22462052118747328,111
V240,18.126277,0.03,-0.2245384899356223,112
V242,18.004506000000003,0.03,-0.21840458284700665,113
V244,14.827042000000006,0.03,-0.21099815228384836,114
V246,12.520048000000003,0.03,-0.201491148265403,115
V247,18.490291000000003,0.03,-0.18645793957123122,116
V250,18.430983,0.03,-0.1670764637947756,117
V251,18.589098000000007,0.03,-0.16160596090258833,118
V252,15.957258,0.03,-0.1374700401783333,119
V253,14.004607000000005,0.03,-0.12847868669008514,120
V254,19.212405,0.03,-0.12635073781629932,121
V263,19.184730000000002,0.03,-0.23274161540199376,122
V285,15.721254,0.03,-0.19822654927156674,123
V289,17.974531,0.03,-0.32428010876751673,124
V293,16.635546000000005,0.03,-0.20812455204556188,125
V295,16.354069,0.03,-0.21338564351800382,126
V296,16.367141000000004,0.03,-0.1922596979261337,127
V308,16.924368,0.03,-0.24260048623551783,128
V310,16.092125,0.03,-0.20987846277348313,129
V324,16.412902000000003,0.03,-0.22961389755778092,130
V330,16.433562000000002,0.03,-0.20003731799208843,131
V338,16.112389999999994,0.03,-0.19471926734170833,132
