Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
scl-CEMV001,18.917210000000004,0.03,-0.3758458387203599,0
scl-CEMV015,18.749754,0.03,-0.18073778920641756,1
scl-CEMV018,18.817292,0.03,-0.2375316586704279,2
scl-CEMV021,18.656997999999998,0.03,-0.17254962743926522,3
scl-CEMV022,18.801489999999998,0.03,-0.23679482670553745,4
scl-CEMV024,19.210458999999997,0.03,-0.269657892472489,5
scl-CEMV025,18.85316,0.03,-0.22708052289622274,6
scl-CEMV030,18.634744000000005,0.03,-0.16133794792529702,7
scl-CEMV031,18.774210999999998,0.03,-0.233884716778586,8
scl-CEMV032,18.924759,0.03,-0.2494335231100262,9
scl-CEMV035,18.593799999999998,0.03,-0.16729225149186272,10
scl-CEMV037,18.576739000000003,0.03,-0.17508117988339636,11
scl-CEMV038,18.819368000000004,0.03,-0.1738648540046215,12
scl-CEMV039,19.437894999999997,0.03,-0.2797083603450102,13
scl-CEMV045,18.908236,0.03,-0.19450321974320417,14
scl-CEMV046,19.199199999999994,0.03,-0.29239746591085164,15
scl-CEMV047,19.084372999999996,0.03,-0.3073558281633256,16
scl-CEMV054,18.704145000000004,0.03,-0.1516543803910293,17
scl-CEMV055,19.311291000000004,0.03,-0.31349117822859124,18
scl-CEMV057,18.750048,0.03,-0.16411286756689814,19
scl-CEMV060,18.875697999999993,0.03,-0.20761797716392436,20
scl-CEMV061,18.971652000000002,0.03,-0.242093823082038,21
scl-CEMV064,18.551465,0.03,-0.13507203026967685,22
scl-CEMV067,19.000987,0.03,-0.28232758344389147,23
scl-CEMV068,18.851535999999996,0.03,-0.18516397436820414,24
scl-CEMV069,18.911165000000004,0.03,-0.3060138704481531,25
scl-CEMV070,18.724947000000004,0.03,-0.1870659313449823,26
scl-CEMV071,18.934967000000004,0.03,-0.231798632316811,27
scl-CEMV072,18.823164999999996,0.03,-0.21348494945887664,28
scl-CEMV076,18.967962000000004,0.03,-0.23486588911911938,29
scl-CEMV077,18.598206,0.03,-0.11134933033300166,30
scl-CEMV078,19.280884999999994,0.03,-0.27740695900344664,31
scl-CEMV081,18.983235999999998,0.03,-0.25182182228391276,32
scl-CEMV084,18.821023000000004,0.03,-0.19242634714579568,33
scl-CEMV085,18.942306999999996,0.03,-0.25041138512327493,34
scl-CEMV086,19.088383,0.03,-0.2772551326883429,35
scl-CEMV087,18.912764000000003,0.03,-0.24491650942988144,36
scl-CEMV088,19.077251,0.03,-0.2894536318317419,37
scl-CEMV091,18.640479999999997,0.03,-0.1155258042826424,38
scl-CEMV092,19.101063000000003,0.03,-0.2643602274504509,39
scl-CEMV094,18.729409,0.03,-0.16170703623372973,40
scl-CEMV095,18.912038,0.03,-0.23055768233398247,41
scl-CEMV096,19.196387999999992,0.03,-0.2985820149038202,42
scl-CEMV097,19.047444000000002,0.03,-0.2953080684526943,43
scl-CEMV099,18.672343000000005,0.03,-0.1765178805661928,44
scl-CEMV106,18.767094,0.03,-0.19419850209297362,45
scl-CEMV108,18.782104,0.03,-0.14871394295353982,46
scl-CEMV110,18.620612,0.03,-0.16398588871234426,47
scl-CEMV111,19.186539999999997,0.03,-0.29443860373952424,48
scl-CEMV114,19.108789,0.03,-0.19735747197429265,49
scl-CEMV116,18.844027999999998,0.03,-0.2168924515856649,50
scl-CEMV120,19.045383,0.03,-0.22814195932302236,51
scl-CEMV123,18.833206,0.03,-0.21542250168956928,52
scl-CEMV125,18.900819999999992,0.03,-0.2799027430948849,53
scl-CEMV126,19.144525000000005,0.03,-0.2850822449142403,54
scl-CEMV132,19.191992,0.03,-0.30057682873687136,55
scl-CEMV135,18.82982,0.03,-0.2947371066941723,56
scl-CEMV137,18.905286999999994,0.03,-0.23607726751105634,57
scl-CEMV139,18.899429000000005,0.03,-0.22753269698479445,58
scl-CEMV142,19.088114000000004,0.03,-0.2678611010395797,59
scl-CEMV143,18.977631999999996,0.03,-0.26791067469127533,60
scl-CEMV144,19.042845,0.03,-0.24703105541233322,61
scl-CEMV145,18.929834999999997,0.03,-0.23432719915788897,62
scl-CEMV146,19.109859999999998,0.03,-0.26905065803714073,63
scl-CEMV147,19.145114000000003,0.03,-0.301179940001016,64
scl-CEMV151,18.725068999999998,0.03,-0.29836933600929016,65
scl-CEMV154,18.541658000000005,0.03,-0.11264324197863915,66
scl-CEMV156,19.019976999999997,0.03,-0.2562046668882703,67
scl-CEMV163,18.531545999999995,0.03,-0.12082920112444244,68
scl-CEMV165,18.908099,0.03,-0.21839654730893832,69
scl-CEMV166,18.930292000000005,0.03,-0.23121935222247764,70
scl-CEMV167,18.998636999999995,0.03,-0.2845657042255456,71
scl-CEMV172,18.634937000000004,0.03,-0.1631167894672815,72
scl-CEMV175,18.874170000000003,0.03,-0.20172560684630578,73
scl-CEMV176,19.103282000000004,0.03,-0.24454440271286557,74
scl-CEMV177,19.002302,0.03,-0.313818906058394,75
scl-CEMV178,19.069976999999998,0.03,-0.27986849233035793,76
scl-CEMV179,18.936708000000003,0.03,-0.2376877782461613,77
scl-CEMV183,18.891617,0.03,-0.21739087402235058,78
scl-CEMV185,18.844292,0.03,-0.220550991907846,79
scl-CEMV191,18.850820000000002,0.03,-0.245329580063777,80
scl-CEMV197,18.954764,0.03,-0.25334805605902383,81
scl-CEMV198,19.106783999999998,0.03,-0.27900172258559874,82
scl-CEMV206,18.672089,0.03,-0.15801519540988615,83
scl-CEMV208,19.025982,0.03,-0.29366847632146675,84
scl-CEMV211,18.993900999999997,0.03,-0.26784098347694296,85
scl-CEMV212,19.228200000000005,0.03,-0.3098149990536666,86
scl-CEMV213,18.70515,0.03,-0.1768703434408122,87
scl-CEMV214,18.705257,0.03,-0.19954976494142598,88
scl-CEMV215,18.684607000000007,0.03,-0.16428578070735902,89
scl-CEMV216,19.455702000000006,0.03,-0.3045827719888968,90
scl-CEMV219,18.940824999999997,0.03,-0.21147698198783402,91
scl-CEMV220,18.978113999999994,0.03,-0.24134573424667802,92
scl-CEMV223,18.863211,0.03,-0.2003968162811198,93
scl-CEMV225,19.085519999999995,0.03,-0.284879705822287,94
scl-CEMV229,18.722535999999995,0.03,-0.1681609280346612,95
scl-CEMV230,18.917896000000006,0.03,-0.2375736102921023,96
scl-CEMV234,19.072713000000004,0.03,-0.26929966680317274,97
scl-CEMV235,19.361615999999998,0.03,-0.3120311705971407,98
scl-CEMV238,18.790078999999995,0.03,-0.19638428657149934,99
scl-CEMV239,18.661210999999998,0.03,-0.1903836624422735,100
scl-CEMV240,18.885627000000003,0.03,-0.24026841311138228,101
scl-CEMV243,19.189992,0.03,-0.25948162410199427,102
scl-CEMV250,18.728952000000007,0.03,-0.133155998220321,103
scl-CEMV253,18.630216,0.03,-0.21389702624367102,104
scl-CEMV255,19.216803999999996,0.03,-0.2958130073886957,105
scl-CEMV256,18.863683,0.03,-0.23394105369544427,106
scl-CEMV259,18.592261999999998,0.03,-0.1453985562170175,107
scl-CEMV260,18.847647000000002,0.03,-0.18931775627427072,108
scl-CEMV262,18.539876000000003,0.03,-0.11909144475636962,109
scl-CEMV263,18.982108999999994,0.03,-0.2605779838442131,110
scl-CEMV267,18.682074000000004,0.03,-0.15930186130981752,111
scl-CEMV269,18.743211,0.03,-0.3143781790471857,112
scl-CEMV271,18.785885999999998,0.03,-0.18805928186009077,113
scl-CEMV272,19.069515000000003,0.03,-0.2987372507520046,114
scl-CEMV274,19.000631999999996,0.03,-0.2720810547840968,115
scl-CEMV275,18.936109000000002,0.03,-0.22675881244314872,116
scl-CEMV276,18.624074000000004,0.03,-0.13491528168026276,117
scl-CEMV277,18.975987,0.03,-0.2090359107390484,118
scl-CEMV279,19.021580999999998,0.03,-0.2779897541051747,119
scl-CEMV280,18.891703000000007,0.03,-0.24391429602304063,120
scl-CEMV287,19.086255999999995,0.03,-0.2912873451951943,121
scl-CEMV288,18.675622,0.03,-0.1774215623855411,122
scl-CEMV290,19.031373000000006,0.03,-0.2575259367621355,123
scl-CEMV291,18.920353000000006,0.03,-0.2326777975817549,124
scl-CEMV293,18.64547,0.03,-0.15895804351139106,125
scl-CEMV294,19.243148999999995,0.03,-0.3036942090842483,126
scl-CEMV295,19.066048,0.03,-0.27471192976782305,127
scl-CEMV299,18.735429000000003,0.03,-0.15021542868681192,128
scl-CEMV300,18.535729,0.03,-0.09321796198104777,129
scl-CEMV305,18.653078999999995,0.03,-0.1713046654498841,130
