Andromeda I, 12.7, 0.1, 0.145, -1.45, 0.04
Andromeda II, 11.7, 0.2, 0.167, -1.64, 0.04
Andromeda III, 14.4, 0.3, 0.152, -1.78, 0.04
Andromeda XI, 17.5, 1.2, 0.219, -2.0, 0.2
Andromeda XIII, 18.1, 1.2, 0.226, -1.9, 0.2
Andromeda XV, 14.6, 0.3, 0.128, -1.8, 0.2
Andromeda XVI, 14.4, 0.3, 0.182, -2.1, 0.2
Andromeda XXVIII, 15.6, 0.9, 0.247, -1.84, 0.15
Bootes I, 12.8, 0.2, 0.047, -2.55, 0.11
Carina I, 11.0, 0.5, 0.169, -1.72, 0.01
Carina II, 13.3, 0.1, 0.513, -1.80, 0.10
Cetus, 13.2, 0.2, 0.055, -1.90, 0.10
Coma Berenices, 14.1, 0.5, 0.046, -2.60, 0.05
Crater II, 12.15, 0.02, 0.083, -1.92, 0.10
Draco, 10.6, 0.2, 0.074, -1.93, 0.01
ESO294-G010, 15.3, 0.3, 0.016, -1.48, 0.17
ESO410-G005, 14.9, 0.3, 0.037, -1.93, 0.20
Fornax, 7.4, 0.3, 0.058, -0.99, 0.01
Grus I, 17.1, 0.3, 0.023, -2.5, 0.3
IC 1613, 9.2, 0.1, 0.068, -1.6, 0.2
Leo A, 12.4, 0.2, 0.057, -1.4, 0.2
Leo I, 10.0, 0.3, 0.099, -1.43, 0.01
Leo P, 16.8, 0.2, 0.071, -1.8, 0.2
Leo T, 15.1, 0.5, 0.086, -1.99, 0.05
NGC 147, 9.5, 0.1, 0.473, -1.1, 0.1
NGC 185, 9.2, 0.1, 0.505, -1.3, 0.1
Phoenix I, 13.2, 0.4, 0.044, -1.37, 0.2
Phoenix II, 17.3, 0.4, 0.034, -2.75, 0.30
Sculptor, 8.6, 0.5, 0.050, -1.68, 0.01
Tucana, 15.2, 0.2, 0.085, -1.95, 0.15
