HJD-2400000.0,Magnitude,Uncertainty in Magnitude,Passband
56423.6640625,27.769000000000002,0.03,u
56423.8125,28.16,0.028999999999999998,u
56423.89453119999,28.089000000000002,0.021,u
56424.71875,27.881999999999998,0.024,u
56424.80859380001,28.105,0.028999999999999998,u
56424.88671880001,28.099,0.025,u
56450.609375,26.713,0.013000000000000001,u
56450.73046880001,27.552,0.015,u
56450.8359375,28.015,0.021,u
56451.61328119999,26.734,0.013999999999999999,u
56451.6953125,27.337,0.012,u
56451.796875,27.849,0.017,u
56452.55078119999,28.201999999999998,0.03,u
56452.55859380001,28.139,0.03,u
56452.734375,27.555999999999997,0.011000000000000001,u
56452.82421880001,27.993000000000002,0.022000000000000002,u
56452.890625,28.09,0.027000000000000003,u
56453.62109380001,26.726999999999997,0.017,u
56453.70703119999,27.462,0.042,u
56453.77734380001,27.878,0.012,u
56453.84765619999,28.203000000000003,0.223,u
56509.484375,27.916999999999998,0.02,u
56509.55078119999,28.141,0.024,u
56509.62109380001,28.134,0.019,u
56509.6875,28.109,0.027999999999999997,u
56510.484375,27.888,0.024,u
56510.546875,28.081999999999997,0.021,u
56510.61328119999,28.156,0.065,u
56510.6796875,28.081999999999997,0.027000000000000003,u
57114.7421875,27.142,0.18600000000000003,u
57114.75,27.212,0.179,u
57114.765625,26.671,0.10099999999999999,u
57114.77734380001,26.982,0.121,u
57114.8046875,27.041999999999998,0.11,u
57114.81640619999,27.256999999999998,0.162,u
57114.828125,27.482,0.166,u
57114.84375,27.375,0.13,u
57114.875,27.601999999999997,0.023,u
57114.90625,28.011,0.192,u
57115.75390619999,26.983,0.14300000000000002,u
57115.765625,26.805,0.099,u
57115.8046875,26.964000000000002,0.124,u
57115.8203125,27.021,0.10099999999999999,u
57115.83203119999,27.465999999999998,0.14800000000000002,u
57115.84375,27.198,0.125,u
57115.859375,27.283,0.129,u
57115.87109380001,27.829,0.161,u
57115.8828125,27.636999999999997,0.2,u
57115.91015619999,27.933000000000003,0.171,u
57116.75,26.908,0.168,u
57116.76171880001,26.758000000000003,0.135,u
57116.7734375,26.866999999999997,0.12300000000000001,u
57116.7890625,26.629,0.107,u
57116.8125,27.065,0.11,u
57116.828125,27.353,0.19,u
57116.83984380001,27.261999999999997,0.166,u
57116.8515625,27.443,0.165,u
57116.87890619999,27.569000000000003,0.198,u
56423.6640625,23.789,0.015,g
56423.8125,24.136999999999997,0.017,g
56424.71875,23.958000000000002,0.016,g
56424.80859380001,24.096,0.015,g
56424.88671880001,24.119,0.015,g
56450.609375,22.95,0.013999999999999999,g
56450.7265625,23.642,0.013000000000000001,g
56450.83203119999,24.019000000000002,0.015,g
56451.61328119999,22.980999999999998,0.013000000000000001,g
56451.6953125,23.489,0.012,g
56451.79296880001,23.894000000000002,0.013000000000000001,g
56452.55078119999,24.229,0.016,g
56452.64453119999,23.138,0.013000000000000001,g
56452.734375,23.63,0.015,g
56452.8203125,23.964000000000002,0.013000000000000001,g
56452.890625,24.154,0.018000000000000002,g
56453.6171875,22.868000000000002,0.015,g
56453.703125,23.48,0.013999999999999999,g
56453.7734375,23.794,0.013999999999999999,g
56453.84765619999,24.017,0.042,g
56453.9140625,24.131,0.025,g
56509.484375,23.893,0.013000000000000001,g
56509.55078119999,24.064,0.013999999999999999,g
56509.62109380001,24.131,0.013000000000000001,g
56509.6875,24.19,0.018000000000000002,g
56510.484375,23.885,0.013999999999999999,g
56510.546875,24.069000000000003,0.013000000000000001,g
56510.61328119999,24.11,0.013999999999999999,g
56510.6796875,24.134,0.015,g
57114.73046880001,23.641,0.027000000000000003,g
57114.734375,23.436,0.033,g
57114.7421875,23.294,0.02,g
57114.75,23.096999999999998,0.022000000000000002,g
57114.77734380001,23.122,0.02,g
57114.7890625,23.209,0.024,g
57114.8046875,23.256999999999998,0.017,g
57114.81640619999,23.373,0.016,g
57114.828125,23.458000000000002,0.013000000000000001,g
57114.84375,23.534000000000002,0.016,g
57114.90625,23.764,0.02,g
57115.7265625,24.055,0.049,g
57115.73046880001,23.728,0.037000000000000005,g
57115.7421875,23.355,0.024,g
57115.75390619999,23.006,0.023,g
57115.78125,23.055999999999997,0.018000000000000002,g
57115.79296880001,23.166999999999998,0.017,g
57115.8046875,23.224,0.018000000000000002,g
57115.8203125,23.355999999999998,0.021,g
57115.83203119999,23.456,0.023,g
57115.84375,23.495,0.025,g
57115.859375,23.601,0.011000000000000001,g
57115.87109380001,23.601,0.021,g
57115.8828125,23.695,0.019,g
57115.91015619999,23.796999999999997,0.017,g
57116.72265619999,24.112,0.055999999999999994,g
57116.73046880001,24.055,0.055,g
57116.73828119999,23.61,0.040999999999999995,g
57116.74609380001,23.377,0.036000000000000004,g
57116.76171880001,23.039,0.025,g
57116.78515619999,23.072,0.02,g
57116.8125,23.328000000000003,0.016,g
57116.82421880001,23.357,0.018000000000000002,g
57116.83984380001,23.449,0.028999999999999998,g
57116.8515625,23.516,0.023,g
57116.8671875,23.612,0.022000000000000002,g
57116.87890619999,23.589000000000002,0.021,g
57116.890625,23.714000000000002,0.017,g
57116.90625,23.746,0.025,g
56423.66015619999,22.366999999999997,0.015,r
56423.80859380001,22.623,0.015,r
56423.890625,22.654,0.016,r
56424.8046875,22.64,0.013000000000000001,r
56424.8828125,22.664,0.013999999999999999,r
56450.60546880001,21.863000000000003,0.011000000000000001,r
56450.72265619999,22.318,0.013999999999999999,r
56450.828125,22.584,0.013000000000000001,r
56451.609375,21.868000000000002,0.013000000000000001,r
56451.69140619999,22.21,0.013000000000000001,r
56451.7890625,22.493000000000002,0.015,r
56452.546875,22.774,0.016,r
56452.640625,21.976999999999997,0.017,r
56452.73046880001,22.305,0.017,r
56452.81640619999,22.54,0.013999999999999999,r
56452.88671880001,22.631999999999998,0.013999999999999999,r
56453.61328119999,21.872,0.013000000000000001,r
56453.69921880001,22.217,0.013000000000000001,r
56453.76953119999,22.426,0.013999999999999999,r
56453.84375,22.616,0.023,r
56453.91015619999,22.603,0.026000000000000002,r
56509.48046880001,22.478,0.013000000000000001,r
56509.54296880001,22.613000000000003,0.016,r
56509.6171875,22.676,0.019,r
56509.6796875,22.67,0.013999999999999999,r
56510.4765625,22.463,0.013999999999999999,r
56510.54296880001,22.604,0.013000000000000001,r
56510.609375,22.65,0.016,r
56510.671875,22.663,0.015,r
57114.734375,22.287,0.016,r
57114.7421875,22.189,0.016,r
57114.76171880001,21.945,0.012,r
57114.77734380001,21.949,0.012,r
57114.7890625,22.026999999999997,0.015,r
57114.80078119999,22.076999999999998,0.013999999999999999,r
57114.81640619999,22.113000000000003,0.013999999999999999,r
57114.828125,22.177,0.017,r
57114.83984380001,22.217,0.015,r
57114.90625,22.378,0.017,r
57115.72265619999,22.664,0.016,r
57115.73046880001,22.396,0.013000000000000001,r
57115.7421875,22.239,0.013999999999999999,r
57115.75,21.959,0.013000000000000001,r
57115.765625,21.893,0.013999999999999999,r
57115.77734380001,21.945999999999998,0.013999999999999999,r
57115.79296880001,21.971,0.016,r
57115.8046875,22.069000000000003,0.015,r
57115.81640619999,22.160999999999998,0.016,r
57115.83203119999,22.174,0.013999999999999999,r
57115.84375,22.205,0.011000000000000001,r
57115.85546880001,22.27,0.013000000000000001,r
57115.87109380001,22.237,0.013999999999999999,r
57115.8828125,22.33,0.011000000000000001,r
57116.72265619999,22.734,0.026000000000000002,r
57116.7265625,22.53,0.021,r
57116.73828119999,22.323,0.016,r
57116.74609380001,22.101999999999997,0.016,r
57116.76171880001,21.901999999999997,0.013999999999999999,r
57116.7734375,21.945999999999998,0.013999999999999999,r
57116.78515619999,21.99,0.013999999999999999,r
57116.80078119999,22.073,0.016,r
57116.8125,22.098000000000003,0.016,r
57116.82421880001,22.15,0.017,r
57116.8359375,22.205,0.015,r
57116.8515625,22.256999999999998,0.016,r
57116.86328119999,22.266,0.015,r
57116.87890619999,22.320999999999998,0.013999999999999999,r
57116.890625,22.369,0.015,r
57116.90234380001,22.405,0.013000000000000001,r
56423.66015619999,21.956999999999997,0.013999999999999999,i
56423.80859380001,22.164,0.013999999999999999,i
56423.890625,22.203000000000003,0.017,i
56424.71484380001,22.058000000000003,0.013000000000000001,i
56424.8046875,22.195,0.017,i
56424.8828125,22.241,0.016,i
56450.60546880001,21.579,0.05,i
56450.7265625,21.909000000000002,0.039,i
56450.83203119999,22.101,0.06,i
56451.609375,21.603,0.013000000000000001,i
56451.69140619999,21.846999999999998,0.021,i
56451.79296880001,22.054000000000002,0.025,i
56452.546875,22.369,0.022000000000000002,i
56452.5546875,22.331999999999997,0.018000000000000002,i
56452.640625,21.671999999999997,0.026000000000000002,i
56452.73046880001,21.898000000000003,0.04,i
56452.81640619999,22.094,0.017,i
56452.88671880001,22.178,0.013000000000000001,i
56453.6171875,21.616,0.016,i
56453.69921880001,21.881999999999998,0.027000000000000003,i
56453.76953119999,21.991,0.013000000000000001,i
