Var   HST   RA(2000.0)   Dec(2000.0)  dist    dist     dist    dist   OGLE-RRLYR-ID         OGLE_ID_I        P             dP          OGLE_ID_V  Type    V       Vmax    Vmin    I       Imax   Imin     Amp_I  Remarks
            [h:m:s]      [deg:':"]    [']     [r_c]    [r_h]   [r_t]                                         [d]           [d]                            [mag]   [mag]   [mag]   [mag]   [mag]  [mag]    [mag]

V1    -     18:55:09.75  -30:28:36.5   1.395   15.504   1.702  0.186  -                     BLG708.09.17174    1.34764031  0.00000749  15149      BLHer   17.223  -       -       16.591  -       -       0.621  -
V2    -     18:55:02.91  -30:27:15.6   1.534   17.048   1.871  0.205  -                     BLG708.18.497      1.09455402  0.00000510  236        BLHer   17.386  -       -       16.762  -       -       0.590  -
V3    -     18:55:02.20  -30:25:46.4   3.028   33.646   3.693  0.404  OGLE-BLG-RRLYR-37571  BLG708.18.1366     0.57527188  0.00000104  685        RRab    18.344  -       -       17.542  -       -       0.579  -
V4    -     18:54:58.91  -30:23:35.2   5.292   58.795   6.453  0.706  OGLE-BLG-RRLYR-37540  BLG708.18.1615     0.48010543  0.00000067  1715       RRab    18.256  -       -       17.638  -       -       0.792  -
V5    -     18:54:53.23  -30:28:01.1   2.310   25.663   2.817  0.308  OGLE-BLG-RRLYR-37518  BLG708.09.17400    0.57909798  0.00000898  16564      RRab    18.205  -       -       17.485  -       -       0.701  -
V6    -     18:55:19.38  -30:31:43.4   4.532   50.357   5.527  0.604  OGLE-BLG-RRLYR-37655  BLG708.09.18093    0.54298791  0.00000528  15612      RRab    18.216  -       -       17.534  -       -       0.592  different period (Pold=0.5384 d)
V7    -     18:55:07.46  -30:31:23.8   2.753   30.585   3.357  0.367  OGLE-BLG-RRLYR-37620  BLG708.09.18132    0.59261687  0.00000142  17331      RRab    18.205  -       -       17.521  -       -       0.509  -
V8    -     18:55:31.21  -30:34:16.5   8.129   90.322   9.913  1.084  -                     BLG708.08.14475    0.35269     0.000001    13511      EW      -       16.231  17.496  -       15.698  16.343  0.645  -
V9    -     18:54:57.89  -30:39:20.9  10.621  118.015  12.953  1.416  OGLE-BLG-RRLYR-37537  BLG708.09.1336     0.59782117  0.00000034  681        RRab    18.085  -       -       17.397  -       -       0.683  field object
