Star,Wesenheit Magnitude,Log Period,Star Code
V001,24.46054,-0.24158947483392126,0
V002,24.505279999999985,-0.24448438942364206,1
V004,24.460280000000008,-0.21345149673652009,2
V005,24.44376,-0.23271954143623078,3
V008,24.085700000000006,-0.10669783386166937,4
V010,24.55834,-0.23650851359517824,5
V011,24.4575,-0.32030526423224315,6
V012,24.136139999999997,-0.2052142295923064,7
V013,24.51832000000001,-0.2884836799216115,8
V015,24.112059999999996,-0.15056150081696598,9
V016,24.17698,-0.19163611732136876,10
V017,24.333380000000002,-0.19486944596370673,11
V019,24.53251999999999,-0.24988085110948544,12
V020,24.507359999999995,-0.2394480303852417,13
V021,24.39832000000001,-0.2757599410428504,14
V022,24.26484,-0.19393309414627688,15
V023,24.207340000000006,-0.2095739615794216,16
V024,24.303740000000005,-0.2462027781317149,17
V025,24.375059999999998,-0.19162733996492437,18
V027,24.036360000000002,-0.2741754647812661,19
V029,24.44513999999999,-0.28080694812850476,20
V030,24.354280000000013,-0.21337766610649078,21
V031,24.404679999999992,-0.24389000089633725,22
V032,24.43444,-0.24158947483392126,23
V033,24.379179999999995,-0.22558089026571357,24
V035,24.41257999999999,-0.22638837719925203,25
V036,24.40448,-0.5473675370469545,26
V037,24.483799999999995,-0.2569949579057849,27
V038,24.60928,-0.27320000924117677,28
V039,24.36378,-0.20871493967135538,29
V040,24.420559999999995,-0.30367684469978407,30
V041,24.477540000000005,-0.23952642915048714,31
V042,24.51624,-0.2699922575959084,32
V043,24.379420000000007,-0.24453395854086937,33
V044,24.48251999999999,-0.2732106002495479,34
V046,24.353080000000006,-0.2966225876364547,35
V047,24.105080000000005,-0.09375545911842634,36
V048,23.532120000000003,-0.20008262995723772,37
V049,24.578739999999996,-0.2584462028817968,38
V051,24.25458000000001,-0.17642232091210266,39
V052,24.52624,-0.250684570863363,40
V055,24.329860000000007,-0.22060770604433003,41
V056,24.40866,-0.25067451518092804,42
V057,24.236100000000008,-0.15954954021376722,43
V059,24.34787999999999,-0.22407443383652234,44
V060,24.29563999999999,-0.2358471828316247,45
V062,24.274439999999988,-0.18511972159895115,46
V063,24.04964,-0.18564749247621748,47
V064,24.26017999999999,-0.19501980362106147,48
V065,24.179359999999996,-0.17134993651378252,49
V066,24.302619999999994,-0.17869965786075753,50
V067,24.26281999999999,-0.2456656721812104,51
V068,24.351899999999997,-0.22902073536424614,52
V069,24.314680000000006,-0.23873329467668594,53
V070,24.15064,-0.19346567420190877,54
V072,24.403819999999996,-0.2622608824456745,55
V073,24.373460000000016,-0.23537125918248464,56
V074,24.344340000000003,-0.20918079388564276,57
V075,24.386799999999997,-0.24931913097086697,58
V076,24.21092000000001,-0.14733941952055288,59
V077,24.49596,-0.3161699299055219,60
V078,24.29456000000001,-0.2081948697448987,61
V079,24.45687999999999,-0.2784851135680918,62
V080,24.52904,-0.22604619943494147,63
V081,24.257740000000002,-0.19501980362106147,64
V083,24.25584,-0.20676560822285964,65
V086,24.38178000000001,-0.253985328705215,66
V087,24.22623999999999,-0.245218590749897,67
V088,24.057799999999997,-0.12232144743215669,68
V089,24.154739999999993,-0.16035737136149822,69
V090,24.06742,-0.09238439481277662,70
V091,24.390280000000004,-0.22704497244044755,71
V092,24.1574,-0.15752434029903198,72
V094,24.472640000000002,-0.2756640702054615,73
V095,23.939220000000006,-0.07947580051715256,74
V096,24.471919999999997,-0.2844109411266027,75
V098,24.29866000000001,-0.22450972705427305,76
V099,24.40508000000001,-0.2894721245019085,77
V100,24.33887999999999,-0.25123799226283,78
V101,24.339120000000012,-0.23851812533409553,79
V103,24.176819999999992,-0.1841782496060221,80
V104,24.58133999999999,-0.2791502969010354,81
V105,24.30982000000001,-0.19363318200120366,82
V106,24.196079999999995,-0.1924092201996126,83
V108,24.36874000000001,-0.20103234928169933,84
V111,24.408219999999993,-0.27132945773669054,85
V115,24.24293999999999,-0.20099647308396792,86
V119,24.083740000000002,-0.15554084896156165,87
V120,24.240720000000003,-0.1841782496060221,88
V121,24.320179999999993,-0.1934304176331415,89
V122,24.05038,-0.10867289089756225,90
V123,24.399359999999994,-0.20673834323950066,91
