ID,Wesenheit Magnitude,Uncertainty in Magnitude (F160W),Log Period,Relative Metallicity
F13,22.236,0.23,1.1705550585212086,0.12700000000000067
F16,21.721999999999998,0.27,1.3001605369513523,0.16600000000000037
F33,20.9009,0.17,1.7851874200293618,0.12599999999999945
F29,22.4996,0.23,1.428620672671939,0.2029999999999994
F20,21.9849,0.18,1.4899584794248346,0.20700000000000074
F12,20.5408,0.2,1.7595923086459748,0.22299999999999898
F11,22.145500000000002,0.27,1.2268575702887234,0.14400000000000013
C068,21.8631,0.18,1.4940153747571439,0.11599999999999966
C056,21.8514,0.19,1.327563260187278,0.1120000000000001
MO021853,24.2824,0.43,0.7892986111594411,0.08900000000000041
MO023973,24.2464,0.31,0.8620120512502166,0.09500000000000064
C015,23.217599999999997,0.28,0.9340942683554804,0.08099999999999952
MO024025,23.5794,0.26,0.9639766099966058,0.09500000000000064
MO022252,23.4566,0.29,0.9919787909945836,0.08999999999999986
C053,22.740000000000002,0.19,1.2629254693318317,0.07499999999999929
F01,21.8249,0.17,1.3756636139608853,0.09500000000000064
C070,21.613699999999998,0.18,1.5092025223311027,0.05799999999999983
MO028606,21.1472,0.15,1.641275757231913,0.10899999999999999
C082,21.0448,0.17,1.6585837154070628,0.08399999999999963
C089,20.4595,0.17,1.9204364065507586,0.08300000000000018
MI144755,22.7149,0.23,1.08278537031645,0.1509999999999998
F10,21.5154,0.18,1.5923988461155638,0.11899999999999977
MI100117,23.4499,0.48,0.8323811602470408,0.21499999999999986
MI085481,23.665399999999998,0.49,0.8605775512444155,0.24099999999999966
MI089375,22.4465,0.59,1.1020905255118367,0.2320000000000011
F02,21.9015,0.24,1.3588862044058692,0.1529999999999987
C033,23.445,0.3,1.0425755124401905,0.16000000000000014
F28,22.427200000000003,0.27,1.2521245525056444,0.19299999999999962
F06,21.190299999999997,0.19,1.5814945422908993,0.15499999999999936
MI099443,23.4906,0.59,0.7978904830583489,0.25
MI097361,23.5001,0.54,0.8172347304254982,0.2569999999999997
