Galaxy,Star,HJD-2400000.0,Magnitude,Uncertainty in Magnitude,Passband
AndI,V001,57266.42578099999,25.254,0.08900000000000001,F475W
AndI,V001,57266.5,25.523000000000003,0.055999999999999994,F475W
AndI,V001,57266.69140599999,25.801,0.040999999999999995,F475W
AndI,V001,57266.765625,25.916999999999998,0.064,F475W
AndI,V001,57267.41796900001,25.175,0.036000000000000004,F475W
AndI,V001,57267.49609400001,25.118000000000002,0.036000000000000004,F475W
AndI,V001,57267.68359400001,25.733,0.062,F475W
AndI,V001,57267.76171900001,25.863000000000003,0.052000000000000005,F475W
AndI,V001,57268.28125,25.768,0.069,F475W
AndI,V001,57268.35546900001,25.831999999999997,0.063,F475W
AndI,V001,57268.890625,25.811,0.054000000000000006,F475W
AndI,V001,57269.41796900001,25.788,0.064,F475W
AndI,V001,57269.33984400001,25.706,0.057999999999999996,F475W
AndI,V001,57269.539062,25.7,0.07200000000000001,F475W
AndI,V001,57268.80859400001,25.72,0.052000000000000005,F475W
AndI,V001,57269.617188,26.000999999999998,0.065,F475W
AndI,V001,57270.46484400001,25.608,0.063,F475W
AndI,V001,57270.54296900001,25.680999999999997,0.08800000000000001,F475W
AndI,V001,57270.664062,25.855999999999998,0.061,F475W
AndI,V001,57270.742188,26.026,0.062,F475W
AndI,V001,57271.66015599999,25.765,0.057999999999999996,F475W
AndI,V001,57271.73828099999,25.904,0.033,F475W
AndI,V001,57266.44140599999,24.713,0.09,F814W
AndI,V001,57266.484375,24.416999999999998,0.11900000000000001,F814W
AndI,V001,57266.70703099999,24.953000000000003,0.067,F814W
AndI,V001,57266.75,25.028000000000002,0.09300000000000001,F814W
AndI,V001,57267.43359400001,24.364,0.043,F814W
AndI,V001,57267.48046900001,24.549,0.064,F814W
AndI,V001,57267.69921900001,24.875999999999998,0.054000000000000006,F814W
AndI,V001,57267.74609400001,25.006999999999998,0.127,F814W
AndI,V001,57268.296875,24.734,0.053,F814W
AndI,V001,57268.33984400001,24.781,0.087,F814W
AndI,V001,57268.82421900001,24.701,0.095,F814W
AndI,V001,57268.875,24.767,0.08,F814W
AndI,V001,57269.35546900001,24.708000000000002,0.079,F814W
AndI,V001,57269.40234400001,24.811,0.062,F814W
AndI,V001,57269.554688,24.983,0.062,F814W
AndI,V001,57269.601562,24.958000000000002,0.111,F814W
AndI,V001,57270.48046900001,24.784000000000002,0.08900000000000001,F814W
AndI,V001,57270.52734400001,24.796999999999997,0.08199999999999999,F814W
AndI,V001,57270.679688,24.86,0.062,F814W
AndI,V001,57270.726562,25.066,0.10400000000000001,F814W
AndI,V001,57271.67578099999,24.759,0.055,F814W
AndI,V001,57271.71875,24.855999999999998,0.078,F814W
AndI,V002,57266.42578099999,25.715,0.076,F475W
AndI,V002,57266.5,25.691,0.06,F475W
AndI,V002,57266.69140599999,25.116,0.059000000000000004,F475W
AndI,V002,57266.765625,25.433000000000003,0.042,F475W
AndI,V002,57267.41796900001,25.500999999999998,0.040999999999999995,F475W
AndI,V002,57267.49609400001,25.791,0.048,F475W
AndI,V002,57267.68359400001,25.639,0.052000000000000005,F475W
AndI,V002,57267.76171900001,25.184,0.073,F475W
AndI,V002,57268.28125,25.427,0.047,F475W
AndI,V002,57268.35546900001,25.099,0.067,F475W
AndI,V002,57268.890625,25.263,0.053,F475W
AndI,V002,57269.41796900001,25.503,0.059000000000000004,F475W
AndI,V002,57269.33984400001,25.795,0.063,F475W
AndI,V002,57269.539062,25.287,0.04,F475W
AndI,V002,57268.80859400001,25.703000000000003,0.046,F475W
AndI,V002,57269.617188,25.462,0.057999999999999996,F475W
AndI,V002,57270.46484400001,25.706,0.055999999999999994,F475W
AndI,V002,57270.54296900001,25.570999999999998,0.045,F475W
AndI,V002,57270.664062,25.281,0.045,F475W
AndI,V002,57270.742188,25.399,0.045,F475W
AndI,V002,57271.66015599999,25.675,0.064,F475W
AndI,V002,57271.73828099999,25.258000000000003,0.053,F475W
AndI,V002,57266.44140599999,24.776999999999997,0.10400000000000001,F814W
AndI,V002,57266.484375,24.79,0.07,F814W
AndI,V002,57266.70703099999,24.604,0.064,F814W
AndI,V002,57266.75,24.598000000000003,0.07200000000000001,F814W
AndI,V002,57267.43359400001,24.737,0.07200000000000001,F814W
AndI,V002,57267.48046900001,24.849,0.083,F814W
AndI,V002,57267.69921900001,24.726999999999997,0.063,F814W
AndI,V002,57267.74609400001,24.755,0.142,F814W
AndI,V002,57268.296875,24.695,0.066,F814W
AndI,V002,57268.33984400001,24.531,0.08800000000000001,F814W
AndI,V002,57268.82421900001,24.826,0.091,F814W
AndI,V002,57268.875,24.781999999999996,0.086,F814W
AndI,V002,57269.35546900001,25.035999999999998,0.115,F814W
AndI,V002,57269.40234400001,25.003,0.08199999999999999,F814W
AndI,V002,57269.554688,24.665,0.07400000000000001,F814W
AndI,V002,57269.601562,24.706,0.102,F814W
AndI,V002,57270.48046900001,24.995,0.069,F814W
AndI,V002,57270.52734400001,24.916,0.095,F814W
AndI,V002,57270.679688,24.465,0.064,F814W
AndI,V002,57270.726562,24.711,0.11900000000000001,F814W
AndI,V002,57271.67578099999,24.776999999999997,0.067,F814W
AndI,V002,57271.71875,24.693,0.096,F814W
AndI,V003,57266.42578099999,25.45,0.045,F475W
AndI,V003,57266.5,25.337,0.064,F475W
AndI,V003,57266.69140599999,25.389,0.052000000000000005,F475W
AndI,V003,57266.765625,25.418000000000003,0.07200000000000001,F475W
AndI,V003,57267.41796900001,25.285,0.052000000000000005,F475W
AndI,V003,57267.49609400001,25.221,0.044000000000000004,F475W
AndI,V003,57267.68359400001,25.378,0.051,F475W
AndI,V003,57267.76171900001,25.2,0.051,F475W
AndI,V003,57268.28125,25.435,0.039,F475W
AndI,V003,57268.35546900001,25.115,0.037000000000000005,F475W
AndI,V003,57268.890625,25.237,0.051,F475W
AndI,V003,57269.41796900001,25.295,0.09300000000000001,F475W
AndI,V003,57269.33984400001,25.42,0.035,F475W
AndI,V003,57269.539062,25.226999999999997,0.051,F475W
AndI,V003,57268.80859400001,25.456999999999997,0.045,F475W
AndI,V003,57269.617188,25.316,0.048,F475W
AndI,V003,57270.46484400001,25.224,0.049,F475W
AndI,V003,57270.54296900001,25.453000000000003,0.049,F475W
AndI,V003,57270.664062,25.21,0.036000000000000004,F475W
AndI,V003,57270.742188,25.173000000000002,0.046,F475W
AndI,V003,57271.66015599999,25.346999999999998,0.047,F475W
AndI,V003,57271.73828099999,25.52,0.043,F475W
AndI,V003,57266.44140599999,25.03,0.094,F814W
AndI,V003,57266.484375,24.809,0.098,F814W
AndI,V003,57266.70703099999,24.755,0.071,F814W
AndI,V003,57266.75,24.969,0.07,F814W
AndI,V003,57267.43359400001,24.79,0.07200000000000001,F814W
AndI,V003,57267.48046900001,24.855,0.067,F814W
AndI,V003,57267.69921900001,24.755,0.07,F814W
AndI,V003,57267.74609400001,24.849,0.11800000000000001,F814W
AndI,V003,57268.296875,24.775,0.084,F814W
AndI,V003,57268.33984400001,24.803,0.075,F814W
AndI,V003,57268.82421900001,24.904,0.07400000000000001,F814W
AndI,V003,57268.875,24.9,0.065,F814W
AndI,V003,57269.35546900001,24.904,0.105,F814W
AndI,V003,57269.40234400001,24.881,0.062,F814W
AndI,V003,57269.554688,24.763,0.08900000000000001,F814W
AndI,V003,57269.601562,24.89,0.11800000000000001,F814W
AndI,V003,57270.48046900001,24.79,0.057999999999999996,F814W
AndI,V003,57270.52734400001,24.823,0.09300000000000001,F814W
AndI,V003,57270.679688,24.795,0.075,F814W
AndI,V003,57270.726562,24.754,0.13,F814W
AndI,V003,57271.67578099999,24.835,0.079,F814W
AndI,V003,57271.71875,24.555999999999997,0.10300000000000001,F814W
AndI,V004,57266.42578099999,24.605,0.035,F475W
AndI,V004,57266.5,25.039,0.040999999999999995,F475W
