Star,Wesenheit Magnitude,Log Period,Star Code
scl-CEMV001,19.170799999999996,-0.3730284280312704,0
scl-CEMV015,19.374540000000007,-0.18126316210489438,1
scl-CEMV021,19.358900000000006,-0.17254948447374654,2
scl-CEMV022,19.480700000000002,-0.23318290773941214,3
scl-CEMV024,19.58656,-0.2696559736848761,4
scl-CEMV025,19.45208,-0.22708306639130293,5
scl-CEMV030,19.26967999999999,-0.1613385794862828,6
scl-CEMV031,19.46023999999999,-0.23387888548532923,7
scl-CEMV032,19.475459999999995,-0.24581480166014524,8
scl-CEMV035,19.371540000000007,-0.16702395643228493,9
scl-CEMV037,19.33726,-0.1750768369168624,10
scl-CEMV038,19.39616,-0.17386187207260811,11
scl-CEMV039,19.617600000000003,-0.2792791598243795,12
scl-CEMV047,19.694200000000006,-0.30956742446416613,13
scl-CEMV051,19.26332,-0.0884630650540364,14
scl-CEMV054,19.33168,-0.15165687284266,15
scl-CEMV057,19.219920000000005,-0.16411429148753642,16
scl-CEMV060,19.46068000000001,-0.2095648141009848,17
scl-CEMV061,19.2945,-0.2478880262111732,18
scl-CEMV064,19.29004,-0.13507776381687775,19
scl-CEMV067,19.64316,-0.2823293139599575,20
scl-CEMV068,19.617780000000003,-0.3102012635280642,21
scl-CEMV069,19.574019999999997,-0.0362493728861036,22
scl-CEMV070,19.48188,-0.187069605814367,23
scl-CEMV071,19.44706,-0.23180391724005772,24
scl-CEMV072,19.54576000000001,-0.21468077340156844,25
scl-CEMV074,19.330540000000003,-0.10923884660932881,26
scl-CEMV076,19.591220000000003,-0.234866767118416,27
scl-CEMV077,19.290340000000008,-0.13162398714814189,28
scl-CEMV081,19.506900000000005,-0.25182236526859014,29
scl-CEMV084,19.469739999999998,-0.19242680672388054,30
scl-CEMV085,19.60694000000001,-0.25041314912750917,31
scl-CEMV086,19.570640000000004,-0.27725399677124496,32
scl-CEMV087,19.461479999999995,-0.24492079194939406,33
scl-CEMV088,19.603199999999998,-0.28945013460811847,34
scl-CEMV091,19.21242000000001,-0.11552826109453866,35
scl-CEMV092,19.511419999999994,-0.2637091368257882,36
scl-CEMV094,19.421999999999997,-0.16171529782590535,37
scl-CEMV095,19.4415,-0.23056367828801724,38
scl-CEMV096,19.71992000000001,-0.2953278997676696,39
scl-CEMV099,19.450639999999996,-0.17651555905846894,40
scl-CEMV106,19.324000000000005,-0.19419789461465498,41
scl-CEMV108,19.265000000000004,-0.14871284170882937,42
scl-CEMV110,19.334260000000008,-0.16398249604844692,43
scl-CEMV111,19.7223,-0.29443725505331464,44
scl-CEMV114,19.635219999999997,-0.19916177474154342,45
scl-CEMV116,19.39188,-0.22303528095667116,46
scl-CEMV120,19.469960000000007,-0.22814150863659322,47
scl-CEMV123,19.469720000000013,-0.21541259585657932,48
scl-CEMV125,19.718,-0.2858369658682503,49
scl-CEMV126,19.589419999999993,-0.28507438541963703,50
scl-CEMV132,19.66532,-0.3005750888274465,51
scl-CEMV137,19.5243,-0.24639191794332685,52
scl-CEMV139,19.544940000000004,-0.22753092078460405,53
scl-CEMV142,19.538199999999996,-0.2678633568365548,54
scl-CEMV143,19.553559999999997,-0.26791566765595437,55
scl-CEMV144,19.63998,-0.24703959883047924,56
scl-CEMV145,19.568019999999997,-0.23432412256267116,57
scl-CEMV151,19.563819999999996,-0.2983586047887953,58
scl-CEMV154,19.28878,-0.11263552165397546,59
scl-CEMV156,19.552819999999997,-0.2562100383114141,60
scl-CEMV163,19.075459999999993,-0.12082749675247265,61
scl-CEMV166,19.594699999999992,-0.23121700621162292,62
scl-CEMV170,19.202619999999996,-0.09046102213609189,63
scl-CEMV172,19.37936,-0.16311857954222136,64
