Star,Period (Days)
scl-CEMV001,0.42087600000000003
scl-CEMV002,0.3059705
scl-CEMV005,0.309746
scl-CEMV006,0.3321113
scl-CEMV008,0.2813182
scl-CEMV010,0.4056391
scl-CEMV012,0.37027709999999997
scl-CEMV014,0.3837578
scl-CEMV015,0.659572
scl-CEMV016,0.3955858
scl-CEMV018,0.5787198
scl-CEMV019,0.3545968
scl-CEMV020,0.36217059999999995
scl-CEMV021,0.6721255
scl-CEMV022,0.5797025
scl-CEMV024,0.537455
scl-CEMV025,0.5928154
scl-CEMV026,0.39345549999999996
scl-CEMV027,0.37008759999999996
scl-CEMV028,0.3203025
scl-CEMV030,0.6897029
scl-CEMV031,0.5836
scl-CEMV032,0.5630753000000001
scl-CEMV033,0.3609695
scl-CEMV034,0.349536
scl-CEMV035,0.6803114
scl-CEMV036,0.33776100000000003
scl-CEMV037,0.668219
scl-CEMV038,0.6700931
scl-CEMV039,0.5251600000000001
scl-CEMV040,0.3107837
scl-CEMV042,0.30277220000000005
scl-CEMV043,0.28570290000000004
scl-CEMV044,0.35508390000000006
scl-CEMV045,0.638994
scl-CEMV046,0.510038
scl-CEMV047,0.49276990000000004
scl-CEMV049,0.36517209999999994
scl-CEMV050,0.3630319
scl-CEMV051,0.780878
scl-CEMV052,0.3310315
scl-CEMV054,0.7052541
scl-CEMV055,0.48585740000000005
scl-CEMV056,0.3792275
scl-CEMV057,0.6853100999999999
scl-CEMV058,0.3509157
scl-CEMV059,0.34878190000000003
scl-CEMV060,0.6199861999999999
scl-CEMV061,0.5726723000000001
scl-CEMV062,0.2787573
scl-CEMV063,0.35805440000000005
scl-CEMV064,0.732703
scl-CEMV065,0.3588774
scl-CEMV066,0.3417124
scl-CEMV067,0.5220023
scl-CEMV068,0.652884
scl-CEMV069,0.49429490000000004
scl-CEMV070,0.650031
scl-CEMV071,0.58641
scl-CEMV072,0.611667
scl-CEMV073,0.28763099999999997
scl-CEMV074,0.7773260000000001
scl-CEMV076,0.582283
scl-CEMV077,0.7738391
scl-CEMV078,0.5279503000000001
scl-CEMV079,0.3568383
scl-CEMV080,0.349982
scl-CEMV081,0.5599873000000001
scl-CEMV083,0.3549074
scl-CEMV084,0.6420570999999999
